"id";"track_name";"artist_name";"acousticness";"danceability";"energy";"instrumentalness";"liveness";"loudness";"speechiness";"tempo";"valence";"year"
1;"Wasted On You";"Morgan Wallen";0.373;0.505;0.657;0.00107;0.126;-5.24;0.0318;196.0;0.252;2021
2;"The Color Violet";"Tory Lanez";0.157;0.645;0.534;0.0;0.0863;-10.8;0.0479;105.02;0.463;2021
3;"Por las Noches";"Peso Pluma";0.31;0.807;0.595;2.44e-05;0.0735;-7.19;0.0325;92.491;0.392;2021
4;"Buy Dirt";"Jordan Davis";0.639;0.586;0.559;0.0;0.0872;-6.725;0.05;177.945;0.437;2021
5;"Fair Trade (with Travis Scott)";"Drake";0.0503;0.666;0.465;0.0;0.215;-8.545;0.26;167.937;0.292;2021
6;"Knife Talk (with 21 Savage ft. Project Pat)";"Drake";0.0635;0.849;0.424;0.0;0.0834;-9.579;0.324;145.887;0.153;2021
7;"family ties (with Kendrick Lamar)";"Baby Keem";0.00588;0.711;0.611;0.0;0.23;-5.453;0.33;134.093;0.144;2021
8;"Pain";"PinkPantheress";0.227;0.829;0.617;0.00306;0.0618;-8.497;0.14;125.605;0.81;2021
9;"deja vu";"Olivia Rodrigo";0.584;0.442;0.612;5.7e-06;0.37;-7.222;0.112;180.917;0.178;2021
10;"Wants and Needs (feat. Lil Baby)";"Drake";0.0618;0.578;0.449;2.17e-06;0.119;-6.349;0.286;136.006;0.1;2021
11;"More Than My Hometown";"Morgan Wallen";0.615;0.62;0.869;0.0;0.131;-5.479;0.0462;126.019;0.597;2021
12;"All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)";"Taylor Swift";0.274;0.631;0.518;0.0;0.088;-8.771;0.0303;93.023;0.205;2021
13;"raining for hours";"ame";0.152;0.231;0.976;0.987;0.48;-27.426;0.0487;96.552;0.00672;2021
14;"traitor";"Olivia Rodrigo";0.691;0.38;0.339;0.0;0.12;-7.885;0.0338;100.607;0.0849;2021
15;"Son Of A Sinner";"Jelly Roll";0.0419;0.365;0.541;2.25e-06;0.281;-7.489;0.0304;86.041;0.329;2021
16;"good 4 u";"Olivia Rodrigo";0.335;0.563;0.664;0.0;0.0849;-5.044;0.154;166.928;0.688;2021
17;"7 Summers";"Morgan Wallen";0.417;0.466;0.786;6.1e-05;0.125;-5.13;0.0328;203.903;0.571;2021
18;"Wildest Dreams (Taylor's Version)";"Taylor Swift";0.0374;0.583;0.67;0.0001;0.126;-7.289;0.0646;140.061;0.498;2021
19;"Freaks";"Surf Curse";3.84e-05;0.345;0.941;0.633;0.0511;-9.918;0.0466;179.626;0.407;2021
20;"2055";"Sleepy Hallow";0.492;0.829;0.512;0.0;0.12;-5.865;0.187;80.511;0.638;2021
21;"favorite crime";"Olivia Rodrigo";0.866;0.369;0.272;0.0;0.147;-10.497;0.0364;172.929;0.218;2021
22;"drivers license";"Olivia Rodrigo";0.768;0.561;0.431;1.42e-05;0.106;-8.81;0.0578;143.875;0.137;2021
23;"Cover Me Up";"Morgan Wallen";0.232;0.549;0.44;7.37e-06;0.107;-8.192;0.0264;128.01;0.214;2021
24;"Sand In My Boots";"Morgan Wallen";0.59;0.403;0.537;0.0;0.112;-6.628;0.031;69.877;0.414;2021
25;"RAPSTAR";"Polo G";0.41;0.789;0.536;0.0;0.129;-6.862;0.242;81.039;0.437;2021
26;"Happier Than Ever";"Billie Eilish";0.767;0.332;0.225;0.00349;0.128;-8.697;0.0348;81.055;0.297;2021
27;"m y . l i f e (with 21 Savage & Morray)";"J. Cole";0.0622;0.597;0.587;0.0;0.214;-7.026;0.137;140.021;0.0753;2021
28;"jealousy, jealousy";"Olivia Rodrigo";0.198;0.695;0.575;0.0;0.0614;-6.334;0.116;163.929;0.699;2021
29;"Shivers";"Ed Sheeran";0.281;0.788;0.859;0.0;0.0424;-2.724;0.0856;141.02;0.822;2021
30;"right where you left me - bonus track";"Taylor Swift";0.769;0.581;0.619;0.000106;0.117;-6.524;0.0282;137.915;0.645;2021
31;"Notion";"The Rare Occasions";0.0673;0.309;0.883;0.00111;0.0849;-3.825;0.0808;159.488;0.312;2021
32;"Ghost";"Justin Bieber";0.185;0.601;0.741;2.91e-05;0.415;-5.569;0.0478;153.96;0.441;2021
33;"You Belong With Me (Taylor’s Version)";"Taylor Swift";0.0623;0.632;0.773;0.0;0.0885;-4.856;0.0346;130.033;0.474;2021
34;"16";"Baby Keem";0.0918;0.701;0.782;2.31e-06;0.124;-4.987;0.138;94.03;0.57;2021
35;"EVERY CHANCE I GET (feat. Lil Baby & Lil Durk)";"DJ Khaled";0.000866;0.477;0.727;0.0;0.108;-4.053;0.286;150.062;0.227;2021
36;"Something About You";"Eyedress";0.0332;0.648;0.781;0.013;0.305;-8.736;0.0271;133.417;0.822;2021
37;"Woman";"Doja Cat";0.0888;0.824;0.764;0.00294;0.117;-4.175;0.0854;107.998;0.881;2021
38;"brutal";"Olivia Rodrigo";0.0311;0.672;0.526;1.37e-06;0.28;-6.446;0.0599;123.999;0.28;2021
39;"LOT OF ME";"Lil Tecca";0.223;0.704;0.537;0.0;0.122;-8.565;0.302;77.444;0.7;2021
40;"Love Story (Taylor’s Version)";"Taylor Swift";0.135;0.626;0.79;3.97e-06;0.0989;-4.302;0.0311;119.082;0.416;2021
41;"23";"Chayce Beckham";0.276;0.626;0.583;0.0;0.141;-7.346;0.0318;87.977;0.428;2021
42;"happier";"Olivia Rodrigo";0.765;0.395;0.443;9.67e-06;0.0839;-9.72;0.133;168.924;0.338;2021
43;"Monëy so big";"Yeat";0.121;0.693;0.575;0.0;0.104;-7.633;0.0906;138.016;0.353;2021
44;"'Til You Can't";"Cody Johnson";0.0513;0.501;0.815;0.0;0.106;-4.865;0.0436;160.087;0.46;2021
45;"Let You Break My Heart Again";"Laufey";0.965;0.299;0.142;0.113;0.111;-15.134;0.0369;76.748;0.123;2021
46;"Tell Em";"Cochise";0.103;0.672;0.717;0.0;0.398;-7.476;0.226;157.905;0.473;2021
47;"METAMORPHOSIS";"INTERWORLD";0.426;0.593;0.641;0.901;0.122;-12.727;0.0992;175.014;0.147;2021
48;"This Bar";"Morgan Wallen";0.0921;0.553;0.884;0.00033;0.0463;-5.306;0.0771;110.074;0.248;2021
49;"Kiss Me More (feat. SZA)";"Doja Cat";0.259;0.764;0.705;8.92e-05;0.12;-3.463;0.0284;110.97;0.781;2021
50;"3:15 (Breathe)";"Russ";0.591;0.451;0.627;0.00958;0.118;-4.59;0.127;74.69;0.77;2021
51;"Something in the Orange";"Zach Bryan";0.555;0.369;0.192;8.35e-06;0.0954;-12.151;0.04;175.212;0.148;2022
52;"Snooze";"SZA";0.141;0.559;0.551;0.0;0.11;-7.231;0.132;143.008;0.392;2022
53;"Jimmy Cooks (feat. 21 Savage)";"Drake";0.000307;0.529;0.673;2.41e-06;0.093;-4.711;0.175;165.921;0.366;2022
54;"Kill Bill";"SZA";0.0521;0.644;0.735;0.144;0.161;-5.747;0.0391;88.98;0.418;2022
55;"Romantic Homicide";"d4vd";0.453;0.571;0.544;0.00805;0.322;-10.613;0.0299;132.052;0.216;2022
56;"Anti-Hero";"Taylor Swift";0.13;0.637;0.643;1.8e-06;0.142;-6.571;0.0519;97.008;0.533;2022
57;"Sun to Me";"Zach Bryan";0.593;0.505;0.27;0.0;0.133;-9.165;0.0333;98.721;0.557;2022
58;"Rich Flex";"Drake";0.0503;0.561;0.52;1.86e-06;0.355;-9.342;0.244;153.15;0.424;2022
59;"Creepin' (with The Weeknd & 21 Savage)";"Metro Boomin";0.417;0.715;0.62;0.0;0.0822;-6.005;0.0484;97.95;0.172;2022
60;"As It Was";"Harry Styles";0.342;0.52;0.731;0.00101;0.311;-5.338;0.0557;173.93;0.662;2022
61;"Stick Season";"Noah Kahan";0.782;0.662;0.488;0.0;0.102;-6.894;0.0682;117.913;0.817;2022
62;"Superhero (Heroes & Villains) [with Future & Chris Brown]";"Metro Boomin";0.152;0.526;0.606;2.36e-06;0.194;-5.3;0.259;116.622;0.492;2022
63;"Oklahoma Smokeshow";"Zach Bryan";0.0958;0.544;0.573;0.0;0.104;-5.694;0.0356;122.977;0.233;2022
64;"Nonsense";"Sabrina Carpenter";0.0268;0.74;0.697;0.0;0.224;-4.912;0.034;138.992;0.732;2022
65;"Karma";"Taylor Swift";0.0734;0.642;0.62;0.0;0.483;-7.091;0.0666;90.02;0.0969;2022
66;"WAIT FOR U (feat. Drake & Tems)";"Future";0.314;0.463;0.642;0.0;0.0686;-4.474;0.34;83.389;0.339;2022
67;"Trance (with Travis Scott & Young Thug)";"Metro Boomin";0.18;0.571;0.549;0.0;0.168;-7.38;0.404;119.497;0.447;2022
68;"Spin Bout U";"Drake";0.01;0.773;0.701;0.0;0.163;-6.386;0.0512;129.963;0.203;2022
69;"Too Many Nights (feat. Don Toliver & with Future)";"Metro Boomin";0.189;0.684;0.671;2.37e-05;0.122;-4.392;0.0464;88.048;0.156;2022
70;"Burn, Burn, Burn";"Zach Bryan";0.897;0.508;0.296;5e-05;0.11;-10.513;0.0755;82.532;0.134;2022
71;"Calm Down (with Selena Gomez)";"Rema";0.382;0.801;0.806;0.000669;0.114;-5.206;0.0381;106.999;0.802;2022
72;"I Ain't Worried";"OneRepublic";0.0826;0.704;0.797;0.000745;0.0546;-5.927;0.0475;139.994;0.825;2022
73;"Me Porto Bonito";"Bad Bunny";0.0901;0.911;0.712;2.68e-05;0.0933;-5.105;0.0817;92.005;0.425;2022
