Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date,Last Appearance
software developer,Onsemi,"Waterloo, ON",,,2023-10-04,2023-10-11
Principal IT Software Engineer,Open Text Corporation,"Waterloo, ON",90589.0,114706.0,2023-10-04,2023-11-22
Senior Mobile Developer,Sun Life,"Waterloo, ON",,,2023-10-04,2023-11-08
"Manager, Software Development",D2L,"Kitchener, ON",102763.0,130122.0,2023-10-04,2023-11-08
Senior Cloud Engineer,Ontario Health,Various locations,92823.0,117535.0,2023-10-04,2023-11-08
Senior DevOps Engineer,ISG Search Inc,Various locations,98974.0,125323.0,2023-10-04,2023-10-18
Senior Industrial Simulation Developer,Clearpath Inc.,"Kitchener, ON",87699.0,111046.0,2023-10-04,2023-10-11
Business Development Manager,MEDA,"Waterloo, ON",79422.0,100566.0,2023-10-04,2023-11-22
CNC 5th Axis Machinist/Programmer,Novy Manufacturing Inc.,"Waterloo, ON",,,2023-10-04,2023-11-15
Software Engineer – DevOps,Magnet Forensics,"Waterloo, ON",81036.0,102610.0,2023-10-04,2023-10-25
Senior Product Security & Cloud Security Engineer,Siemens,"Kitchener, ON",101415.0,128414.0,2023-10-04,2023-11-22
"Senior Team Lead, Software Development",Geotab,"Waterloo, ON",107422.0,136020.0,2023-10-04,2023-11-08
Senior Cloud Engineer,Sun Life,"Waterloo, ON",,,2023-10-04,2023-10-11
Sr. Software Developer- Short-term Contract,ApplyBoard,"Kitchener, ON",77458.0,98079.0,2023-10-04,2023-11-08
Senior Technical Program Manager,Siemens,"Kitchener, ON",108182.0,136983.0,2023-10-04,2023-10-04
"Chief Architect, Cloud & Cybersecurity","Canon Medical Informatics, Inc.","Waterloo, ON",77166.0,97710.0,2023-10-04,2023-11-15
Sr. Principal Software Architect,opentext,"Waterloo, ON",111782.0,141540.0,2023-10-04,2023-11-01
computer numerical control (CNC) Mastercam programmer,HJ Machine & Pattern 2016 Ltd,"Waterloo, ON",,,2023-10-04,2023-10-04
Senior Controls System Software Designer,ATS Automation Tooling Systems,"Cambridge, ON",71279.0,90255.0,2023-10-04,2023-11-22
Senior ASP.NET Application Developer,RKD Web Studios,"Guelph, ON",72638.0,91976.0,2023-10-04,2023-11-22
"Senior .Net Full Stack Developer (onsite Cambridge, ON)",VectorVue,"Kitchener, ON",,,2023-10-04,2023-10-25
CNC Lathe Machinist/Programmer,Novy Manufacturing Inc.,"Waterloo, ON",,,2023-10-04,2023-10-25
Controls System Software Designer- Senior,ATS Automation Tooling Systems,"Cambridge, ON",73339.0,92863.0,2023-10-04,2023-11-08
Electrical/Controls Developer,ISN Technologies,"Waterloo, ON",75447.0,95532.0,2023-10-04,2023-11-22
Senior/Intermediate Unix/Linux Developer,BicDroid Inc.,"Waterloo, ON",74269.0,94042.0,2023-10-04,2023-11-22
CNC Programming Specialist,In-House Solutions,"Kitchener, ON",75093.0,95084.0,2023-10-04,2023-10-04
Sr. Site Reliability Administrator,opentext,"Waterloo, ON",97291.0,123192.0,2023-10-04,2023-11-22
Monitoring Tools Specialist (Sitescope+),opentext,"Waterloo, ON",58861.0,74531.0,2023-10-04,2023-10-11
Lead Embedded Software Developer,Molex,"Waterloo, ON",102585.0,129896.0,2023-10-04,2023-11-22
Lead Network Administrator,Open Text Corporation,"Waterloo, ON",91271.0,115569.0,2023-10-04,2023-10-11
Temenos T24 Developer (Remote),HVN Solutions,"Waterloo, ON",106539.0,134902.0,2023-10-04,2023-11-22
Associate Product Support Specialist,opentext,"Waterloo, ON",52799.0,66856.0,2023-10-04,2023-11-08
Senior Test Automation Developer,LogiSense Corporation,"Kitchener, ON",106510.0,134865.0,2023-10-04,2023-11-01
Senior Direct3D Software Developer,ALLUDO,"Waterloo, ON",109785.0,139013.0,2023-10-04,2023-11-22
Principal Software Developer,Open Text Corporation,"Waterloo, ON",84110.0,106502.0,2023-10-04,2023-10-11
Senior Software Developer,Euna Solutions,"Kitchener, ON",100683.0,127487.0,2023-10-04,2023-10-11
Principal Software Developer,opentext,"Waterloo, ON",84110.0,106502.0,2023-10-04,2023-10-11
"Educational Developer, Indigenous Knowledges",University of Waterloo,"Waterloo, ON",70507.0,89278.0,2023-10-04,2023-11-01
Senior Software Engineer – Platform,Magnet Forensics,"Waterloo, ON",102176.0,129378.0,2023-10-04,2023-10-04
Principal IT Software Engineer,opentext,"Waterloo, ON",90589.0,114706.0,2023-10-04,2023-11-22
Control Systems Software Designer,ATS Automation Tooling Systems,"Cambridge, ON",62955.0,79715.0,2023-10-04,2023-11-08
Health Records Tech Coder,Grand River Hospital,"Kitchener, ON",46065.0,58328.0,2023-10-04,2023-11-22
"Developer, Power Platform",Addenda Capital,"Guelph, ON",69047.0,87428.0,2023-10-04,2023-11-08
Jr. Application Developer,The Judge Group,"Elmira, ON",,,2023-10-04,2023-11-01
Senior Cloud Security Operations Engineer - Remote,Revvity,"Guelph, ON",118613.0,150190.0,2023-10-04,2023-11-15
Employment Counsellor/Job Developer,2nd Chance Employment Counselling,"Fergus, ON",,,2023-10-04,2023-10-04
Software Developer Licensing Team,Magnet Forensics,"Waterloo, ON",89397.0,113197.0,2023-10-04,2023-10-11
RF Developer,Sonova,"Kitchener, ON",63991.0,81027.0,2023-10-04,2023-10-04
Senior Solution Architect (Hybrid Cloud),BMO Financial Group,Various locations,99502.0,125992.0,2023-10-04,2023-10-11
"Lead Developer/Team Lead - MS Stack (Dynamics, Power Platform)",Mayk Ideas,"Kitchener, ON",80581.0,102034.0,2023-10-04,2023-10-18
Master Data Management - Data/Process Analyst,Open Text Corporation,"Waterloo, ON",86934.0,110077.0,2023-10-04,2023-11-22
FPGA Developer,Christie Digital Systems Inc.,"Kitchener, ON",82333.0,104252.0,2023-10-04,2023-11-01
Unreal Engine C++ Developer II - SDK,Mawari,"Waterloo, ON",95624.0,121082.0,2023-10-04,2023-11-22
Software Developer,Magnet Forensics,"Waterloo, ON",74485.0,94315.0,2023-10-04,2023-10-11
