Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date
software developer,Google,"Waterloo, ON",,,2023-10-18
software developer,Aceit Digital Inc.,"Calgary, AB",81120.0,81120.0,2023-10-18
software developer,Titanium Agency Inc,"Waterloo, ON",75000.00,75000.00,2023-10-18
software developer,MUNDAIR CONSULTING LTD.,"Guelph, ON",89960.0,89960.0,2023-10-18
senior software developer,Go Integrations,"Toronto, ON",70000.00,75000.00,2023-10-18
software developer,Mako Financial Technologies Inc.,"Camrose, AB",87320.00,87320.00,2023-10-18
software developer,GLOBAL DEVELOPMENT WORKS LTD.,"Kitchener, ON",90480.0,90480.0,2023-10-18
software developer,Capleo Global,Various locations,,,2023-10-18
software developer,"ClifyX, INC",Various locations,,,2023-10-18
software developer,Capgemini Engineering CA,"Kitchener, ON",,,2023-10-18
software developer,Voiant Group,Various locations,,,2023-10-18
cloud developer,Venuiti,"Waterloo, ON",,,2023-10-18
software developer,LogiSense Corporation,"Kitchener, ON",,,2023-10-18
software developer,VON Canada,"Ottawa, ON",65996.00,71551.00,2023-10-18
