Job Title,Company,Location,Min Salary,Max Salary
Software Developer Co-op (Winter 2024),Ricoh Canada,"Kitchener, ON",62820,79544
Quantum Navigation Software Engineer,Quantum Valley Ideas Lab,"Waterloo, ON",70000,85000
C/C++ Software Engineer,BicDroid Inc,"Waterloo, ON",96572,122281
Full-Stack Software Engineer,Manulife,"Waterloo, ON",102995,130415
Software Developer,ISN Technologies,"Waterloo, ON",75118,95116
Wire EDM Programmer Setup Operator,ODC Tooling and Molds,"Waterloo, ON",49780,63033
"Senior Software Developer, Machine Learning, Google Workspace",Google,"Waterloo, ON",,
Software Quality Engineer,Sun Life,"Waterloo, ON",61000,101000
Software Engineer,Bosch Group,"Waterloo, ON",80148,101486
Software Development Engineer in Test,Sun Life,"Waterloo, ON",61000,101000
Software Developer,Ricoh Canada,"Kitchener, ON",84461,106946
"Staff Software Developer, Google Cloud Platforms",Google,"Waterloo, ON",,
Software Developer,SHOPEDGE SOFTWARE INC,"Kitchener, ON",85000,110000
"Staff Software Engineer, Workspace Abuse and Safety Protections",Google,"Waterloo, ON",,
Software Developer,BicDroid Inc.,"Waterloo, ON",68117,86251
AI Software Development Engineer,"Musashi AI North America, Inc.","Waterloo, ON",84264,106697
"Software Engineering Manager, Group Benefits",Manulife,"Waterloo, ON",88645,112244
Software Engineer,NCR,"Waterloo, ON",108578,137484
Software Developer,D2L,"Kitchener, ON",94983,120269
Software Engineer (Hybrid remote friendly),Imagine Communications,"Waterloo, ON",60766,76943
Software Developer,Flanagan Foodservice,"Kitchener, ON",63404,80283
Firmware Developer- New Graduate,Siemens,"Kitchener, ON",81879,103677
"Senior Software Developer, Google Cloud Compute",Google,"Waterloo, ON",,
Senior Software Developer,Encircle,"Kitchener, ON",103935,131605
Front End Developer (Hybrid remote friendly),Imagine Communications,"Waterloo, ON",56671,71758
CNC Programmer/Operator,Jefferson Elora Corporation,"Elora, ON",64480,
(Junior) C++ Software Developer,MAXON Computer,"Waterloo, ON",53723,68026
software engineer,NAVBLUE INC,"Waterloo, ON",70000,110000
Software Engineer Coop/Intern,Sandvine,"Waterloo, ON",102710,130054
C/C++ Software Developer,BicDroid Inc.,"Waterloo, ON",86516,109548
Full Stack Web Developer,BicDroid Inc.,"Waterloo, ON",63620,80557
Java Developer - LMIA,Venuiti,"Kitchener, ON",90000,90000
IT/ Software Development Technology Consultant for Tax Incentives,KPMG,"Waterloo, ON",57375,72650
Full stack developer (Remote),Applied Brain Research,"Waterloo, ON",70000,100000
Software Developer,MarshallZehr,"Waterloo, ON",78647,99584
Full-Stack Developer,Descartes,"Waterloo, ON",95725,121209
"Product Developer, Software - Advanced Research",Christie Digital Systems Inc.,"Kitchener, ON",76644,97048
Software Developer,ATS Automation Tooling Systems,"Cambridge, ON",82094,103949
Software Engineer,BicDroid Inc.,"Waterloo, ON",80288,101663
Software Developer - Backend,Green Brick Labs,"Kitchener, ON",50677,64169
Senior Software Developer,onsemi,"Waterloo, ON",92591,117241
Java Developer - Canadian Visa Sponsorship Global Talent Stream,Venuiti,"Kitchener, ON",90000,90000
Staff Software Developer,ApplyBoard,"Kitchener, ON",80805,102318
Full Stack Developer,"Cloud DX, Inc.","Kitchener, ON",84746,107308
Senior Integration Developer,Carta,"Waterloo, ON",91155,115422
"Intermediate Technology Specialist, Digital Developer",Equitable,"Waterloo, ON",80521,101958
Life Skills - Content Developer (2 POSITIONS),Anishnabeg Outreach Training and Employment Inc,"Kitchener, ON",60462,76558
Senior Fullstack Software Developer,Geotab,"Waterloo, ON",89881,113809
Software Developer,Brock Solutions,"Kitchener, ON",85753,108582
"Software Developer III, Google Workspace",Google,"Waterloo, ON",,
Senior Java Developer,Descartes,"Waterloo, ON",88394,111926
Software Engineering Manager,onsemi,"Waterloo, ON",93448,118327
Software Engineering Manager,CEDENT,"Waterloo, ON",102184,129388
"Senior Java Developer (onsite Cambridge, ON)",VectorVue,"Kitchener, ON",,
Senior Software Developer - Quantum Compiler/Transpiler,Anyon Systems Inc.,"Waterloo, ON",95899,121430
"Product Developer, Software - Advanced Research",Christie Digital,"Kitchener, ON",78402,99275
Software Engineer - Full Stack,MCAP,"Waterloo, ON",88820,112466
Senior Software Engineer - Archer (Contract),Sun Life,"Waterloo, ON",82000,135000
Full Stack Engineer,ENERZA,"Waterloo, ON",81053,102632
CNC Mill Programmer/Machinist,Novy Manufacturing Inc.,"Waterloo, ON",62400,
Java Developer (Backend),Prospect,"Kitchener, ON",105798,133965
