Job Title,Company,Location,Estimated Salary
software developer,What Jobs,Location Kitchener (ON),Salary not available
software developer,What Jobs,Location Waterloo (ON),Salary not available
software developer Verified,Aceit Digital Inc.,"Location Calgary, AB",Salary: $39.00 hourly
senior software developer Verified,CloudAid Inc,"Location Toronto, ON",Salary: $35.00 hourly
software developer Verified,MUNDAIR CONSULTING LTD.,Location Guelph (ON),Salary: $43.25 hourly
software developer,onsemi,Location Waterloo (ON),Salary not available
software developer,HP Inc.,Location Kitchener (ON),Salary not available
software developer,What Jobs,Location Kitchener (ON),Salary not available
software developer,ALLUDO,Location Waterloo (ON),Salary not available
software developer,Clearpath Robotics,Location Kitchener (ON),Salary not available
software developer Verified,Mako Financial Technologies Inc.,"Location Camrose, AB","Salary: $87,320.00 annually"
software developer Verified,GLOBAL DEVELOPMENT WORKS LTD.,Location Kitchener (ON),Salary: $43.50 hourly
software developer,What Jobs,Location Waterloo (ON),Salary not available
software developer,What Jobs,Location Waterloo (ON),Salary not available
software developer,"ClifyX, INC",Location Various locations,Salary not available
software developer,What Jobs,Location Waterloo (ON),Salary not available
software developer Verified,VON Canada,"Location Ottawa, ON","Salary: $65,996.00 to $71,551.00 annually (to be negotiated)"
