Job Title,Company,Location,Min Salary,Max Salary,Retrieved Date
software developer,Onsemi,"Waterloo, ON",,,2023-10-04
software developer,Pegmatis Inc.,"Kitchener, ON",121828.5,121828.5,2023-10-04
senior software developer,Go Integrations,"Toronto, ON",70000.0,75000.0,2023-10-04
software developer,Pegmatis Inc.,"Guelph, ON",121462.47,121462.47,2023-10-04
software developer,Pegmatis Inc.,"Cambridge, ON",121318.65,121318.65,2023-10-04
software developer,MUNDAIR CONSULTING LTD.,"Guelph, ON",89960.0,89960.0,2023-10-04
software developer,Mako Financial Technologies Inc.,"Camrose, AB",87320.0,87320.0,2023-10-04
software developer,Capleo Global,Various locations,,,2023-10-04
software developer,Virtek Vision,"Waterloo, ON",,,2023-10-04
software developer,GLOBAL DEVELOPMENT WORKS LTD.,"Kitchener, ON",90480.0,90480.0,2023-10-04
software developer,Ford Motor Company,"Waterloo, ON",,,2023-10-04
software developer,Capgemini Engineering CA,"Kitchener, ON",,,2023-10-04
software developer,LogiSense Corporation,"Kitchener, ON",,,2023-10-04
cloud developer,Venuiti,"Waterloo, ON",,,2023-10-04
software developer,Voiant Group,Various locations,,,2023-10-04
software developer,VON Canada,"Ottawa, ON",65996.0,71551.0,2023-10-04
Software Developer,Wrightplan Inc.,"Waterloo, ON",79460.0,100614.0,2023-10-04
"Software Developer III, Google Cloud Networking",Google,"Waterloo, ON",,,2023-10-04
Software Developer in Test,onsemi,"Waterloo, ON",74156.0,93898.0,2023-10-04
Software Developer,MarshallZehr,"Waterloo, ON",78647.0,99584.0,2023-10-04
Software Developer,SHOPEDGE SOFTWARE INC,"Kitchener, ON",,,2023-10-04
Software Engineer,Bosch Group,"Waterloo, ON",80148.0,101486.0,2023-10-04
Software Developer,ISN Technologies,"Waterloo, ON",75118.0,95116.0,2023-10-04
Full stack developer (Remote),Applied Brain Research,"Waterloo, ON",,,2023-10-04
Intermediate Software Developer (Back End - Java),Power TakeOff,"Kitchener, ON",,,2023-10-04
ReactJS Developer,Venuiti,"Waterloo, ON",75527.0,95635.0,2023-10-04
Software Developer,Flanagan Foodservice,"Kitchener, ON",63404.0,80283.0,2023-10-04
AWS/DevOps Engineer,Venuiti,"Kitchener, ON",,,2023-10-04
Software Developer,D2L,"Kitchener, ON",89321.0,113100.0,2023-10-04
Software Engineering Manager,CEDENT,"Waterloo, ON",102184.0,129388.0,2023-10-04
Java Developer - Canadian Visa Sponsorship Global Talent Stream,Venuiti,"Kitchener, ON",,,2023-10-04
Software Developer,ATS Automation Tooling Systems,"Cambridge, ON",82094.0,103949.0,2023-10-04
Backend Developer,Descartes,"Waterloo, ON",87218.0,110438.0,2023-10-04
Software Engineer (Front End Web Application - Angular),Power TakeOff,"Kitchener, ON",,,2023-10-04
"Cloud Technical Solutions Developer, Billing",Google,"Waterloo, ON",,,2023-10-04
Software Developer - Backend,Green Brick Labs,"Kitchener, ON",50677.0,64169.0,2023-10-04
Software Developer (Angular),Descartes,"Waterloo, ON",80088.0,101409.0,2023-10-04
Web developer,QProVibe Inc.,"Waterloo, ON",,,2023-10-04
Software Test Automation Engineer,Nicoya,"Kitchener, ON",95059.0,120366.0,2023-10-04
Software Developer (.NET),Descartes,"Waterloo, ON",82147.0,104016.0,2023-10-04
Web Developer,University of Waterloo,"Waterloo, ON",83252.0,105416.0,2023-10-04
Software Developer,Brock Solutions,"Kitchener, ON",85753.0,108582.0,2023-10-04
Lead Software Developer,Euna Solutions,"Kitchener, ON",119935.0,151864.0,2023-10-04
Intermediate Software Developer,Geotab,"Waterloo, ON",89506.0,113334.0,2023-10-04
Software Developer,BicDroid Inc.,"Waterloo, ON",60513.0,76623.0,2023-10-04
Full Stack Developer - Front End focus,Eleven-X,"Waterloo, ON",83816.0,106130.0,2023-10-04
Software Engineer Coop/Intern,Sandvine,"Waterloo, ON",102710.0,130054.0,2023-10-04
"Staff Software Developer, Google Cloud",Google,"Waterloo, ON",,,2023-10-04
Staff Software Developer,ApplyBoard,"Kitchener, ON",80805.0,102318.0,2023-10-04
"Software Engineering Manager, Group Benefits",Manulife,"Waterloo, ON",88645.0,112244.0,2023-10-04
Software Developer,Canadian Solar,"Guelph, ON",93642.0,118572.0,2023-10-04
Intermediate C++ Software Developer – Integrated Media Block,Christie Digital Systems Inc.,"Kitchener, ON",87571.0,110884.0,2023-10-04
Full Stack Developer,"Cloud DX, Inc.","Kitchener, ON",84746.0,107308.0,2023-10-04
Java Engineer (Backend),Prospect,"Waterloo, ON",75154.0,95162.0,2023-10-04
"Senior Software Engineer, Mobile (Android) - Remote/Hybrid",IMS,"Waterloo, ON",93765.0,118728.0,2023-10-04
Senior Site Reliability Engineering Developer (DevOps),Encircle,"Kitchener, ON",163309.0,206785.0,2023-10-04
"Senior Java Developer (onsite Cambridge, ON)",VectorVue,"Kitchener, ON",,,2023-10-04
Software Developer,Ontario Health,Various locations,86598.0,109653.0,2023-10-04
