Job Title,Company,Location,Min Salary,Max Salary
software developer,Google,"Waterloo, ON",,
software developer,Aceit Digital Inc.,"Calgary, AB",81120.0,81120.0
software developer,Titanium Agency Inc,"Waterloo, ON",75000.0,75000.0
software developer,MUNDAIR CONSULTING LTD.,"Guelph, ON",89960.0,89960.0
senior software developer,Go Integrations,"Toronto, ON",70000.0,75000.0
software developer,Mako Financial Technologies Inc.,"Camrose, AB",87320.0,87320.0
software developer,GLOBAL DEVELOPMENT WORKS LTD.,"Kitchener, ON",90480.0,90480.0
software developer,Capleo Global,Various locations,,
software developer,"ClifyX, INC",Various locations,,
software developer,Capgemini Engineering CA,"Kitchener, ON",,
software developer,Voiant Group,Various locations,,
cloud developer,Venuiti,"Waterloo, ON",,
software developer,LogiSense Corporation,"Kitchener, ON",,
software developer,VON Canada,"Ottawa, ON",65996.0,71551.0
Software Developer,Titanium Agency Inc,"Waterloo, ON",,
"Software Developer II, Site Reliability Development, Google Cloud",Google,"Waterloo, ON",,
Software Test Engineer,Linamar Corp,"Guelph, ON",78451.0,99336.0
Software Developer,ISN Technologies,"Waterloo, ON",75118.0,95116.0
Quantum Navigation Software Engineer,Quantum Valley Ideas Lab,"Waterloo, ON",70000.0,85000.0
"Staff Software Engineer, Workspace Abuse and Safety Protections",Google,"Waterloo, ON",,
Software Engineer,Bosch Group,"Waterloo, ON",80148.0,101486.0
Software Developer,SHOPEDGE SOFTWARE INC,"Kitchener, ON",85000.0,110000.0
Senior Software Developer (Delphi),Descartes,"Waterloo, ON",117005.0,148155.0
Software Developer in Test,onsemi,"Waterloo, ON",74662.0,94539.0
Software Test Developer,D2L,"Kitchener, ON",85933.0,108810.0
Software Engineer II,Sandvine,"Waterloo, ON",99767.0,126327.0
FPGA Developer,Christie Digital,"Kitchener, ON",82097.0,103953.0
Backend Developer,Descartes,"Waterloo, ON",87218.0,110438.0
Full Stack Developer,"Cloud DX, Inc.","Kitchener, ON",84746.0,107308.0
Software Developer - Backend,Green Brick Labs,"Kitchener, ON",50677.0,64169.0
ReactJS Developer,Venuiti,"Waterloo, ON",75527.0,95635.0
"Senior Staff Software Specialist, Google Cloud",Google,"Waterloo, ON",,
Software Engineer Coop/Intern,Sandvine,"Waterloo, ON",102710.0,130054.0
Software Developer,D2L,"Kitchener, ON",89321.0,113100.0
Software Developer,Flanagan Foodservice,"Kitchener, ON",63404.0,80283.0
Software Developer,MarshallZehr,"Waterloo, ON",78647.0,99584.0
Software Developer (Angular),Descartes,"Waterloo, ON",80088.0,101409.0
Software Developer,BicDroid Inc.,"Waterloo, ON",60513.0,76623.0
Software Engineer,MealSuite,"Kitchener, ON",90091.0,114076.0
