Job Title,Company,Location,Estimated Salary
Software Developer,Titanium Agency Inc,"— Waterloo, ON",N/A
Software Developer,ISN Technologies,"— Waterloo, ON","Estimated: $75,118 - $95,116 a year"
Intermediate Software Developer (Back End - Java),Power TakeOff,"— Kitchener, ON","$80,000 - $95,000 a year"
Software Developer,SHOPEDGE SOFTWARE INC,"— Kitchener, ON","$85,000 - $110,000 a year"
Cloud Platform Engineer,Manulife,"— Waterloo, ON","Estimated: $86,965 - $110,118 a year"
ReactJS Developer,Venuiti,"— Waterloo, ON","Estimated: $75,527 - $95,635 a year"
Software Developer,D2L,"— Kitchener, ON","Estimated: $94,983 - $120,269 a year"
Quantum Navigation Software Engineer,Quantum Valley Ideas Lab,"— Waterloo, ON","$70,000 - $85,000 a year"
Jr. Web Development Training & Internship,Prepr,"— Guelph, ON",N/A
Staff Software Developer,ATS Automation Tooling Systems,"— Cambridge, ON","Estimated: $105,998 - $134,217 a year"
Software Developer,MarshallZehr,"— Waterloo, ON","Estimated: $78,647 - $99,584 a year"
Senior Software Developer (Delphi),Descartes,"— Waterloo, ON","Estimated: $117,005 - $148,155 a year"
Software Developer in Test,onsemi,"— Waterloo, ON","Estimated: $74,156 - $93,898 a year"
Software Developer,Flanagan Foodservice,"— Kitchener, ON","Estimated: $63,404 - $80,283 a year"
"Software Engineering Manager, Group Benefits",Manulife,"— Waterloo, ON","Estimated: $88,645 - $112,244 a year"
Software Developer (Angular),Descartes,"— Waterloo, ON","Estimated: $80,088 - $101,409 a year"
Full Stack Developer,"Cloud DX, Inc.","— Kitchener, ON","Estimated: $84,746 - $107,308 a year"
Staff Software Developer,ApplyBoard,"— Kitchener, ON","Estimated: $80,805 - $102,318 a year"
Web Developer,University of Waterloo,"— Waterloo, ON","Estimated: $83,252 - $105,416 a year"
Full stack developer (Remote),Applied Brain Research,"— Waterloo, ON","$70,000 - $100,000 a year"
Software Developer (.NET),Descartes,"— Waterloo, ON","Estimated: $82,147 - $104,016 a year"
CNC Programmer,Artco,"— Kitchener-Waterloo, ON","Estimated: $40,790 - $51,650 a year"
Software Developer,BicDroid Inc.,"— Waterloo, ON","Estimated: $60,513 - $76,623 a year"
Backend Developer,Descartes,"— Waterloo, ON","Estimated: $87,218 - $110,438 a year"
Software Developer,ATS Automation Tooling Systems,"— Cambridge, ON","Estimated: $82,094 - $103,949 a year"
Software Engineer - Design Verification,Ford Motor Company,"— Waterloo, ON","Estimated: $85,527 - $108,296 a year"
"Staff Software Engineer, Workspace Abuse and Safety Protections",Google,"— Waterloo, ON",N/A
Software Engineer Coop/Intern,Sandvine,"— Waterloo, ON","Estimated: $102,710 - $130,054 a year"
Software Developer,Brock Solutions,"— Kitchener, ON","Estimated: $85,753 - $108,582 a year"
