id,PositionFormattedDescription,DepartmentName,PositionURI,PositionTitle,JobCategory,OrganizationName,JobGrade,PositionStartDate,ApplicationCloseDate,PositionLocationDisplay,ApplyURI,QualificationSummary,PositionOfferingType,PositionSchedule,PublicationStartDate,PositionID,PositionEndDate
1,Dynamic Teaser,Department of Justice,https://www.usajobs.gov:443/GetJob/ViewDetails/451842500,Attorney and Assistant United States Attorney,Attorney,"Offices, Boards and Divisions",GS,2023-11-28T11:28:50.2670,2024-11-27T23:59:59.9970,"Washington, District of Columbia",https://www.usajobs.gov:443/GetJob/ViewDetails/451842500?PostingChannelID=,"Given the scope of Justice's legal practice (see component practice areas at https://www.justice.gov/legal-careers/attorneys-vacancies the needs of each organization and section are defined by its respective mission, areas of practice, and the specific skills needed at the time of the vacancy. Generally, as the ""Nation's Litigator,"" Justice seeks attorneys with some litigation experience; however, opportunities also exist for attorneys with other types of experience, such as legislative review, policy formulation, and legal advising. To review the specific requirements, please review the vacancy announcements listed on the Department's web page, https://www.justice.gov/legal-careers/attorneys-vacancies TECHNICAL QUALIFICATIONS: Any attorney who is an active member of the bar of any U.S. jurisdiction and has at least one year post-J.D. legal or other relevant experience is eligible to apply for any experienced attorney position. position. Please review the requirements listed in each vacancy announcement. The list of attorney vacancies is available at https://www.justice.gov/legal-careers/attorneys-vacancies Nevertheless, some attorney positions require greater experience and additional eligibility criteria.",,Full Time,2023-11-28T11:28:50.2670,OARMAV1,2024-11-27T23:59:59.9970
2,Dynamic Teaser,Department of Health and Human Services,https://www.usajobs.gov:443/GetJob/ViewDetails/523056100,General Attorney Advisor,Attorney,Office of the Secretary of Health and Human Services,GS,2023-01-26T00:00:00.0000,2024-01-25T23:59:59.9970,Multiple Locations,https://www.usajobs.gov:443/GetJob/ViewDetails/523056100?PostingChannelID=,"At the GS-11: You must possess a Juris Doctorate (J.D.) or LL.B from an accredited ABA law school and possess active bar status in good standing. At the GS-12: You must possess a Juris Doctorate (J.D.) or LL.B from an accredited ABA law school, active bar status in good standing, and one year of professional legal experience post bar admission equivalent to the GS-11 level.. At the GS-13: You must possess a Juris Doctorate (J.D.) or LL.B from an accredited ABA law school, active bar status in good standing, and two years of professional legal experience post bar admission equivalent to the GS-12 level. At the GS-14: You must possess a Juris Doctorate (J.D.) or LL.B from an accredited ABA law school, active bar status in good standing, and three years of professional legal experience post bar admission equivalent to the GS-13 level. Experience refers to paid and unpaid experience, including volunteer work done through national Service programs (e.g., Peace Corps, AmeriCorps) and other organizations (e.g., professional; philanthropic; religious; community; student; social). Volunteer work helps build critical competencies, knowledge, and skills and can provide valuable training and experience that translates directly to gain employment. You will receive credit for all qualifying experience, including volunteer experience. If such experience is on a part-time basis, you must provide the average number of hours worked per week as well as the beginning and ending dates of the experience so it can be fully credited.",,,2023-01-26T00:00:00.0000,HHS-OGC-ATTY-18-10384453,2024-01-25T23:59:59.9970
3,Dynamic Teaser,Department of the Navy,https://www.usajobs.gov:443/GetJob/ViewDetails/536458000,Attorney,Attorney,Secretary of the Navy Offices (SECNAV),GS,2023-05-18T09:40:14.1870,2024-05-17T23:59:59.9970,Location Negotiable After Selection,https://www.usajobs.gov:443/GetJob/ViewDetails/536458000?PostingChannelID=,"OGC consists of approximately 750 civilian attorneys, 25 uniformed Navy JAGs and Marine Corps Judge Advocates, and over 200 support staff located in 140 offices throughout the United States and overseas. These positions range from GS-11 to GS-15. Approximately 300 civilian attorneys are located in Washington D.C.. The Office of the General Counsel of the Navy provides legal advice to the Secretary of the Navy, the Under Secretary of the Navy, the Assistant Secretaries of the Navy and their staffs, and the multiple components of the Department, to include the Navy and the Marine Corps, in the obligation of an annual budget of over $160 billion and the management of over 900,000 service members and civilians. . Civilian Navy OGC attorneys help clients address legal concerns in virtually every area of the law related to business, including government contracts, public employment ethics, environmental concerns, personal and real property law, personnel law, fiscal issues, intellectual property law, litigation, legislation, cyber and intelligence law. The Office of Personnel Management (OPM) has not issued qualification standards for attorney positions. However, OGC sets minimum qualifications for attorney positions and sets forth these qualifications in each vacancy announcement. The successful candidate: Must be a U.S. citizen Graduated with a J.D. or LL.B from a law school accredited by the American Bar Association An active member in good standing of the bar of the highest court of a State, U.S. Commonwealth, U.S. territory, or the District of Columbia Admitted to practice before a state or federal court Must obtain and maintain a Secret security clearance Patent Attorneys must be members of the U.S. Patent and Trademark Organization A secret or top secret security clearance is a requirement of a position with OGC. Failure to obtain and maintain the required level of clearance may result in the withdrawal of a position offer or removal. If you possess a security clearance, please indicate the level and termination date in your resume.",,,2023-05-18T09:40:14.1870,DE-10526502-19-DF,2024-05-17T23:59:59.9970
4,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/539751800,INVENTORY MANAGEMENT - DHA/EHA ACWA Assessment GS-2010-5,Inventory Management,Air Force Materiel Command,GS,2023-02-16T13:05:17.1900,2024-02-15T23:59:59.9970,Multiple Locations,https://www.usajobs.gov:443/GetJob/ViewDetails/539751800?PostingChannelID=,"Qualifications requirements are not listed on this public notice as this notice is not posted for applications for employment. If you are interested in applying to the DHA public notice for this series, it is located on www.USAJobs.gov under this public notice number: AFMC-10380913-DHA-GS2010-CM",,,2023-02-16T13:05:17.1900,AFMC-10549192-ACWA-GS2010-5,2024-02-15T23:59:59.9970
5,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/539967600,INVENTORY MANAGEMENT - DHA/EHA ACWA Assessment GS-2010-7,Inventory Management,Air Force Materiel Command,GS,2023-02-16T13:41:58.2270,2024-02-15T23:59:59.9970,Multiple Locations,https://www.usajobs.gov:443/GetJob/ViewDetails/539967600?PostingChannelID=,"Qualifications requirements are not listed on this public notice as this notice is not posted for applications for employment. If you are interested in applying to the DHA public notice for this series, it is located on www.USAJobs.gov under this public notice number: AFMC-10380913-DHA-GS2010-CM",,,2023-02-16T13:41:58.2270,AFMC-10554552-ACWA-GS2010-7,2024-02-15T23:59:59.9970
6,Dynamic Teaser,Department of Transportation,https://www.usajobs.gov:443/GetJob/ViewDetails/547366900,Technical Operations (AJW) Airway Transportation Systems Specialist Employee Requested Reassignment,Transportation Specialist,Federal Aviation Administration,FV,2023-08-28T12:19:12.4470,2024-08-27T23:59:59.9970,"FAA Tech Ops 2101 ERR Duty Locations Throughout the Nation, ",https://www.usajobs.gov:443/GetJob/ViewDetails/547366900?PostingChannelID=,"Applicants must possess experience in performing various duties associated with the systems, subsystems, and categories and equipment that support the operation of the National Airspace System (NAS). Group Coverage Standard for Administrative and Management Positions in conjunction with the Individual Occupational Requirements for DOT/FAA Airway Transportation Systems Specialist, FV-2101. QUALIFCATIONS AT THE FV-F LEVEL BASED ON WORK EXPERIENCE: Applicants must document 3 years of full time(40 hours per week) general work experience that provided a basic knowledge of the principles of electronics, mathematics, computers, aeronautics, or related areas, or an understanding, both theoretical and practical, of automated systems operation, integration, management, and maintenance. Experience may have been gained in occupations such as computer specialist, electronics technician, telecommunications specialist, engineer, or other work related to this position. Applicants should include examples of specialized experience in their Work History. Equivalent combinations of education and experience may be qualifying for this position Valid Driver's License is required. Group Coverage Standard for Administrative and Management Positions in conjunction with the Individual Occupational Requirements for DOT/FAA Airway Transportation Systems Specialist, FV-2101. QUALIFCATIONS AT THE FV-G LEVEL BASED ON WORK EXPERIENCE: : Applicants must document 1 year of specialized work experience, equivalent to at least the next lower level, that demonstrates an extensive knowledge of basic electricity and electronic theory; aptitude for solving mathematical problems (algebra, trigonometry); knowledge and ability to use tools, materials, and various types of specialized test equipment for the maintenance, troubleshooting and repairing electronic equipment/systems and experience in the technology, system interrelationships, and management of civilian or military automated aviation, navigation, and electronics systems. Applicants should include examples of specialized experience in their Work History. Equivalent combinations of education and experience may be qualifying for this position. Qualifications for FV-H level: Experience that demonstrates an extensive knowledge of and experience in technology system interrelationships, and management of civilian or military automated aviation, navigation, and electronics systems. Generally, experience at the next lower level Pay Band G/Level II or FG/GS-10/11 or equivalent, meets the minimum qualifications for this position. Qualifications for FV-I level: Experience that demonstrates an extensive knowledge of and experience in technology system interrelationships, and management of civilian or military automated aviation, navigation, and electronics systems. Generally, experience at the next lower level Pay Band H/Level III or FG/GS-12 or equivalent, meets the minimum qualifications for this position. Qualifications for FV-J level: Experience that demonstrates an extensive knowledge of and experience in technology system interrelationships, and management of civilian or military automated aviation, navigation, and electronics systems. Generally, experience at the next lower level Pay Band I/Level IV or FG/GS-13 or equivalent, meets the minimum qualifications for this position.",,,2023-08-28T12:19:12.4470,AGL-ERR-20-2101-63651,2024-08-27T23:59:59.9970
7,Dynamic Teaser,Other Agencies and Independent Organizations,https://www.usajobs.gov:443/GetJob/ViewDetails/562703200,SSA HQ (MD/DC/VA) - Accepting Resumes from Individuals with Disabilities,Miscellaneous Administration And Program,Social Security Administration,GS,2023-10-01T00:00:00.0000,2024-09-30T23:59:59.9970,Multiple Locations,https://www.usajobs.gov:443/GetJob/ViewDetails/562703200?PostingChannelID=,"For consideration under the Schedule A non-competitive hiring authority, please submit the following: Documentation of your disability. Please see the Required Documents section below for examples of acceptable proof of an intellectual, severe physical, or psychiatric disability. FAILURE TO SUBMIT THIS CERTIFICATION WILL CAUSE YOUR APPLICATION TO NOT BE CONSIDERED UNDER THE SELECTIVE PLACEMENT PROGRAM. Resume College transcripts (if applicable) Applicants wishing to be considered for employment at SSA through the Selective Placement Program may also submit an application using SSA's competitive selection process by responding to a specific job opportunity announcement listed on SSA's job opportunity page at: https://www.usajobs.gov/Search/Results?a=SZ00&hp=public&p=1",,,2023-10-01T00:00:00.0000,SH10748971,2024-09-30T23:59:59.9970
8,Dynamic Teaser,Other Agencies and Independent Organizations,https://www.usajobs.gov:443/GetJob/ViewDetails/562708700,SSA HQ (MD/DC/VA) - Accepting Resumes from Veterans,Miscellaneous Administration And Program,Social Security Administration,GS,2023-10-01T00:00:00.0000,2024-09-30T23:59:59.9970,Multiple Locations,https://www.usajobs.gov:443/GetJob/ViewDetails/562708700?PostingChannelID=,"You must meet the eligibility requirements for the following special hiring authority for veterans to be considered: Veterans Recruitment Act (VRA) VRA allows for the appointment of eligible veterans without competition from non veterans. This hiring authority can be used for positions up to GS-11 or equivalent. Veterans are hired under excepted appointments to positions that are otherwise found in competitive service. After the individual satisfactorily completes 2 years of service, the veteran must be converted non-competitively to a career or career-conditional appointment. Eligibility under the VRA hiring authority applies to any of the following veterans: Disabled veterans; or Veterans who served in active duty in the Armed Forces during a war, or in a campaign or expedition for which a campaign badge has been authorized; or Veterans who, while serving on active duty in the armed forces, participated in a United States military operation for which an Armed Forces Service Medal was awarded; or Recently separated veterans (within 3 years). In addition, veterans must be separated from the Armed Forces under honorable or general discharge. Applicants wishing to be considered for employment using SSA's competitive selection process may also respond to a specific job opportunity announcement listed on SSA's job opportunity page at: https://www.usajobs.gov/Search/Results?a=SZ00&hp=public&p=1",,,2023-10-01T00:00:00.0000,SH10749212,2024-09-30T23:59:59.9970
9,Dynamic Teaser,Other Agencies and Independent Organizations,https://www.usajobs.gov:443/GetJob/ViewDetails/562711700,SSA HQ (MD/DC/VA) - Accepting Resumes from Disabled Veterans (10pt preference),Miscellaneous Administration And Program,Social Security Administration,GS,2023-10-01T00:00:00.0000,2024-09-30T23:59:59.9970,Multiple Locations,https://www.usajobs.gov:443/GetJob/ViewDetails/562711700?PostingChannelID=,"YOU MUST MEET THE ELIGIBILITY REQUIREMENTS FOR 10-POINT VETERANS PREFERENCE TO BE CONSIDERED. VETERANS PREFERENCE Veterans preference gives eligible veterans preference in hiring. Preference is given in competitive appointments as well as special noncompetitive appointments. Only veterans discharged or released from active duty in the armed forces under honorable conditions (i.e., with an honorable or general discharge) are eligible for veterans preference. There are three types of preference eligible: Disabled, regardless of the rating; Non-Disabled; and Sole survivorship preference The preference eligibles are divided into five basic groups: CPS - Disability rating of 30% or more (10 points) CP - Disability rating of at least 10% but less than 30% (10 points) XP - Disability rating less than 10% (10 points) TP - Preference eligibles with no disability rating (5 points) SSP - Sole Survivorship Preference (0 points) This announcement is only accepting application from disabled, 10-point veterans with CPS, CP, or XP preference. Other preference groups (TP and SSP) may apply to our VRA-specific announcement to avoid being found ineligible. For more information on the types of veterans preference, visit the Feds Hire Vets Veterans Preference web page. SPECIAL HIRING AUTHORITIES FOR VETERANS Below is a list of special hiring authorities designed specifically for veterans for which 10-point veterans may be eligible. For more information, visit the Feds Hire Vets Special Hiring Authorities for Veterans web page. Veterans Recruitment Act (VRA) VRA allows for the appointment of eligible veterans without competition from non veterans. This hiring authority can be used for positions up to GS-11 or equivalent. Veterans are hired under excepted appointments to positions that are otherwise found in competitive service. After the individual satisfactorily completes 2 years of service, the veteran must be converted non-competitively to a career or career-conditional appointment. Eligibility under the VRA hiring authority applies to any of the following veterans: Disabled veterans; or Veterans who served in active duty in the Armed Forces during a war, or in a campaign or expedition for which a campaign badge has been authorized; or Veterans who, while serving on active duty in the armed forces, participated in a United States military operation for which an Armed Forces Service Medal was awarded; or Recently separated veterans (within 3 years). In addition, veterans must be separated from the Armed Forces under honorable or general discharge. 30 Percent or More Disabled Veterans The 30 Percent or More Disabled Veterans authority enables the appointment of an eligible candidate to any position for which he or she is qualified without competition. Unlike the VRA, there is no grade-level limitation. Initial appointments are time-limited, lasting more than 60 days; however, individuals can be non-competitively converted to a permanent status at any time during the time-limited appointment. Eligibility applies to the following categories: Disabled veterans who were retired from active military service with a service-connected disability rating of 30 percent or more; or Disabled veterans rated by the Department of Veterans Affairs (VA) as having a compensable service-connected disability of 30 percent or more Disabled Veterans Enrolled in a VA Training Program Disabled veterans eligible for training under the Veterans Administration (VA) vocational rehabilitation program may enroll for training or work experience at an agency under the terms of an agreement between the agency and VA. While enrolled in the VA program, the veteran is not a Federal employee for most purposes, but is a beneficiary of the VA. Training is tailored to the individual's needs and goals, so there is no set length. If the training is intended to prepare the individual for eventual appointment in the agency rather than just provide work experience, the agency must ensure that the training will enable the veteran to meet the qualification requirements for the position. Upon successful completion, the host agency and VA give the veteran a Certificate of Training showing the occupational series and grade level of the position for which the veteran trained. The Certificate of Training allows any agency to appoint the veteran non-competitively under a status quo appointment which may be converted to career or career conditional at any time. Applicants wishing to be considered for employment using SSA's competitive selection process may also respond to a specific job opportunity announcement listed on SSA's job opportunity page at: https://www.usajobs.gov/Search/Results?a=SZ00&hp=public&p=1",,,2023-10-01T00:00:00.0000,SH10749616,2024-09-30T23:59:59.9970
10,Dynamic Teaser,Department of the Air Force,https://www.usajobs.gov:443/GetJob/ViewDetails/585167300,Information and Arts Family,General Arts And Information,Department of the Air Force - Agency Wide,NH,2022-11-30T00:00:00.0000,2023-11-29T23:59:59.9970,"Location Negotiable After Selection, United States",https://www.usajobs.gov:443/GetJob/ViewDetails/585167300?PostingChannelID=,For additional information on direct hire opportunities with the Air Force please click here.,,,2022-11-30T00:00:00.0000,AF-FY21-NH-10XX-SPLASH,2023-11-29T23:59:59.9970
