"
  2Do - To do List & Reminders",X5PpBb,username,review,review1,VfPpkd-StrnGf-rymPhb-b9t22c 2
https://play-lh.googleusercontent.com/a-/ACNPEu-ifzUVKK5ylaRApZvf04TY3bFQRCnA5xSxcJPP=s32-rw,Trent Haywood,"October 28, 2022",This is not useful app because the developers have made it overly complicated. I can't even figure out how to add items to a list for the grocery store. Way way too much. These guys have forgotten a core principle of design. Beauty is simply and function. And above all it has to work and be easy to use. I'll be deleting this monstrosity and sideloading the legacy version.,4 people found this review helpful,
https://play-lh.googleusercontent.com/a-/ACNPEu-7Tb6qJbtdlgpc23fX3WH1QpfDXQ0_RgkXv1O4=s32-rw,vasos adams,"October 15, 2022","Easy to use and full of features! Nice U.I. too and reasonably priced without subscription! It would be nice the lists in "" today "" mode to be foldable and to have the ability to make simple plain notes ( not notes in tasks that you already can ). BIG minus the lack of dark mode!",1 person found this review helpful,
https://play-lh.googleusercontent.com/a/ALm5wu2KST2ngMrfQWo3Sh2DdViAuw5gdez5x45IoJVJ=s32-rw-mo,qsf qsdf,"October 25, 2020","This is, by far, my favorite app. It has helped me tremendously to get organized. Definitely check out the tutorial vids. There aren't many button descriptions which is great once you know how it works but hides lots of features if you don't take the time to go through the tutorials. The only serious downside that could convince me to switch to another app is the lack of an pc based interface. Everything needs to be done in the app which can be cumbersome and inefficient at times.",14 people found this review helpful,
https://play-lh.googleusercontent.com/a-/ACNPEu9f5lZk08MQERs4VHUvY3ULItPoyD-TfFLWWhJeRw=s32-rw,Donna Farren,"September 5, 2021","Difficult to use & effective way to organize tasks. I make different categories - work, home, school - then pop in tasks or lists. Easy to add things on the go. Love the reminder and due date features. The reminders pop up on my notifications. So, you can set them to come up first thing or at the time you need to do them. So it can work as a task list or even an appointment reminder.. Love that it lives on my phone - no connection needed. Great app!",15 people found this review helpful,
https://play-lh.googleusercontent.com/a/ALm5wu0Ozv3QWaEPhJ-_q7F9gAc__gFNjMzTDDGOetax=s32-rw-mo,Deirdre Power,"February 26, 2021","I love this app! Subtasks and checklists are fantastic for tracking my habits and bigger projects. The UI takes a small bit of getting used to with a lot of swiping involved but I like it now and I like the appearance more than any other app. Integration with Google Calendar would be amazing, but I realise that that's probably trickier than it sounds. Still, great app and I'm delighted I found it!",16 people found this review helpful,Show review history
https://play-lh.googleusercontent.com/a-/ACNPEu-QFRmckODEEik4ZL9LoO4rhEEuwtrqnS95OWXCKA=s32-rw,Jorgen Bodde,"May 24, 2020","All in all a good app with some improvements before I would consider. I cannot drag tasks of a project to change order, location reminder gives API errors, dark mode, dark mode, dark mode! And I would really expect a Web version for quick entering and project management. Trying to manage it all from a phone or tablet is really limiting. Focus mode is very cool, projects, tasks and checklists are really done well, it just needs some polishing.",4 people found this review helpful,
https://play-lh.googleusercontent.com/a-/ACNPEu_FYZrVuR1E3Sd4I3qaA7p_SoAWx7L_wWSSpaEM=s32-rw,Ben H,"June 2, 2022","Premium user. Backed up to Dropbox on one phone, but sync on new phone didn't work. Reinstalled on original phone and lost all items AND it wiped the Dropbox backup. I chose to overwrite device but it overwrote server. Months of work lost, very disappointed. Up until then it had been a good experience but a responsible developer MUST test backup processes.",4 people found this review helpful,
https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw,A Google user,"January 24, 2019",One of the best Todo apps available with tons of great features and filtering capabilities. Have been using this app for over 5 years and depend on it heavily to manage my project and task lists. Best for anyone who tend to stay away from subscription based apps and hope it stays that way. Hoping the app is also released for the windows platform soon.,2 people found this review helpful,Show review history
https://play-lh.googleusercontent.com/a/ALm5wu39BYiCKmVQOSgw-UsgdQkF0Mn6_EenJv2X5bLr=s32-rw-mo,Joe Warriner,"June 12, 2022","This app could be good but the UI is really poor. Loads of unintuitive little pictogram buttons with no explanation what they do Some you click on and nothing seems to happen (e.g. the little sun?). Some you click on and baffling things happen ( what does ""smart list created"" mean? No apparent state change and no explanation provided beyond those words). You expect three dots to lead to a menu (like in every other app)? Nope! Here it means ""toggle batch edit"" and swipe right is the menu.",7 people found this review helpful,
https://play-lh.googleusercontent.com/a/ALm5wu0cbyd_KcQtm5Y2SIN0A-MSLajVbOUfguM_A5rF=s32-rw-mo,Dek Meister,"April 17, 2022","My task manager and todo list of choice. It had everything I wanted including: - No subscriptions. Once off purchase only. - CalDAV support for syncing to my own server - Effective UI that is the right level of complexity for a mobile device, but not overly simple like some other apps. - Equivalent iOS apps for cross-device functionality The app is very fast, written as a native app and the dev fixed a small issue I noticed within a day. I would recommend to anyone looking for a toro manager.",11 people found this review helpful,
https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw,A Google user,"February 23, 2019","I want to use this app, but without a windows option to do the majority of my entries and editing I keep looking for other options (when I'd rather stay with 2do). I would be happy to pay another one-time fee since it's a different platform. ALSO, if it's possible, please move the ""things to do today"" in the pull down notification from the bottom to the top. At the bottom it's out of site, out of mind. At the top I am reminded of what I need to do, which is the whole point of this, right? TY!",22 people found this review helpful,
https://play-lh.googleusercontent.com/a-/ACNPEu-1Jy9wr90F6faChCZpcgyLz__aTOENddBHmOBhZg=s32-rw,John Paquette,"September 15, 2021","Surprisingly powerful and flexible. Does not force you into any one way of sorting or viewing your stuff. Impressive regarding how much it lets you do without overwhelming you in terms of the UI. Features like markdown support, CSV export, and syncing to Dropbox and other cloud services put this in the professional League. This is a mature product that nonetheless remains true to a coherent design vision, rather than being a mishmash of conflicting features. Well done.",8 people found this review helpful,
https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw,A Google user,"October 21, 2019","Great app, I love everything about it. There is one request that I have. Every time I make changes on my phone and on my iPad in parallel, half of the changes are lost. 2do needs a simple change management system - to merge and resolve conflicts. Please let me know if I can donate to get this feature developed.",3 people found this review helpful,Show review history
https://play-lh.googleusercontent.com/a-/ACNPEu9v7fLUysDfXNMhkN1HwQDy8tFtP59A5DEbHsFg_sY=s32-rw,The Last Bastion,"March 18, 2021",The feature and design of the app is very confused while using...shame as that was one of the main features I was looking for Changed rating to one star. I set a task to remind me on a particular day and after a few weeks the reminder has automatically changed to a couple of days ahead . This is not first time it has done this. Frustrating as I need the task reminding to be accurate,7 people found this review helpful,Show review history
https://play-lh.googleusercontent.com/a-/ACNPEu-dUUrzd9rEI6ZOq8xdTaibeiS0SQgWW1tw10axWQ=s32-rw,Gerschel Payne,"April 1, 2022","Over the years, it's been the one that has done me right. Got several widgets with recurring tasks like bills. Easy check off as I go through each item. It's been my secret weapon that got me ahead. Takes some setup to get it right, aka, little learning curve to use it more intelligently, but after that it'll blow away any other one. Worth it.",13 people found this review helpful,
https://play-lh.googleusercontent.com/a-/ACNPEu9VE-9NJH2fa1beOvqDn97ER0HIt7pkVCzUH-8TGg=s32-rw,Mark Fickett,"September 26, 2020","Streamlined UI, works well with ""radicale"" self hosted server, and actually got a response from support that after something I was confused about. The swiping left and right to show the side bar is a little confusing, but that's my only complaint. Using this for a combination of personal and shared todo lists.",7 people found this review helpful,
https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw,A Google user,"September 14, 2018","No direct feedback option. Cannot make an arbitrary hierarchy of checklists within a checklist. This is how life actually is. No graphical tree to quickly find subtasks of things needing to be done. No way to mark checklist items to add to a shopping list. Better than many to do checklists, but needs further development to be broadly useful.",5 people found this review helpful,Show review history
https://play-lh.googleusercontent.com/a-/ACNPEu_vRV8iiswxxblmsrb-t5qDDfj5il0id_NEWuGucw=s32-rw,Henry Lee,"September 11, 2022","Of the many To-Do Task Planner Apps I had tried, 2Do is one of my favourites by far. A serious full-featured & well-organized Planner; so I gladly bought it. • Request: 1. GTD Statistics & Analysis, 2. Dark Mode. • I never had any problem until the last update. Now the Widget cannot be placed on homescreen; when Pick List To Display was clicked, the window was dissapeared for no reason. • Tested on S22U + Android 12L + Smart Launcher. • Please fix it. 5★ if the problem is addressed. Thank You",,
https://play-lh.googleusercontent.com/a-/ACNPEu-UX6LA_VxtV_frVwtwaVcXxukcxSCadd7vqf1BsvM=s32-rw,Rob Youngberg,"August 8, 2020","I have used 2do heavily and daily on Mac and Android for over 3.5 years. I love it. About four years ago I found myself extremely busy at work and at home and began applying GTD to get through it all. I tried Tick Tick (free) but didn't want to pay for a subscription to unlock features I needed, which rules out several other apps. Omnifocus is Mac-only. I doubt I'll ever switch away from 2do. One-time purchase, free Dropbox sync, lots of versatile features. Perfect for me.",13 people found this review helpful,
