"
  Adobe Acrobat Reader: Edit PDF","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc"
"https://play-lh.googleusercontent.com/a-/ACNPEu9pDd3xdWM5frxBhS6loAUW66R-Une70XkZMWePD9w=s32-rw","Nisarg Harne","Show review history","July 9, 2022","this is a great application that has enabled me to access, use and annotate my documents on my multiple devices. A very functional application that I am satisfied with. I do have a couple of suggestions and complaints. I am using this application on my Chromebook and it does not let me group my documents in a folder. In fact, there is no option to create a folder! I would also like to request a feature that allows us to open multiple documents simultaneously on different tabs. thanks","2,758 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_B8udyaQO7GYkP9Q7jzqLTxGFSDm6SqUbqDXViow=s32-rw","User Droid","","June 27, 2022","Love its simple UI. Good for basic reading and annotation. Presents too many premium features around the UI (home, menu, etc) for the free user. Even share feature has the whole body content dedicated to signing-in/creating Adobe's account while the standard share feature is tucked at the bottom of the screen as clipper icon. Not interested in getting into their ecosystem.","2,492 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu2tCfSBqU9SZ2RO5rRiDjOp7385Dpe2oE99WcU_=s32-rw-mo","Gavin MacGregor","Show review history","November 13, 2022","Wow this app is HORRID. The interface makes you fight it for every little edit and change, the bullet point options are black when in dark mode so you can't see them, and the reason why I am deleting it is because it forces you to stay zoomed in on the document when editing. That's right, you cannot zoom out and view a full page at once, you can only zoom out far enough to see the entire width of the page, and no more. Oh, and you can't create a blank PDF. The ""create"" option is for converting","85 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu2do-8-9GqsvL2HpqDNdZkFtY0Y6OvJfTQIwHxS=s32-rw-mo","Cassandra Lee","","October 6, 2022","Missing text... I edited some resumes and got everything I could edited, given the limited features of the program, and saved them as they appeared fine in the original viewing. As I started to send them to where they needed to be, I noticed the thumbnail looked different. When I opened the documents I found that all of the text I had edited was a blank space!! Hours of work went in to the edits for those resumes just to find out they were ruined because of your program! Worst $10 ever spent!!","1,580 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu179GWe0SC8yv0ENfiHO4qtBW6_m-iXLfmaJffp=s32-rw-mo","Scott Little","","October 16, 2022","All you seem to be able to do is make text boxes and add images. It's not even possible to add bullet points from what I can see. The fact that they ask for a subscription for this barely functional app that is only better than Notepad because the text is in boxes. That's it, it's not better formatted, it's literally just in a box. If I could give negative starts for wasting my time I would.","1,410 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu3x4-gzxrcKIeNd6-Tv6_HGzhuK_V8L2HKstpDK=s32-rw-mo","Gedde 570","","October 25, 2022","Amazing in principle, awful in practice. The limited functionality has caused me hours of work. Highlight coloring is limited to 9. There is no manual saving apart from saving a copy, and the document is supposed to save automatically, but it does not. I have lost many hours of work, as on multiple occasions saving it as a copy would result in saving a previous version rather than the one I am working on. My annotations have disappeared in front of me. Add a manual 'save as' function.","200 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-zcNcn1wHqlE5vBu3UEQ8-x2julJDL8p4Nb6nB3A=s32-rw","Eln","Show review history","September 29, 2022","Not ideal for multi-device systems and students. I still can't manage to get any of my comments or notes to sync using the cloud. I've tried everything. It's okay enough as a reader - it does refuse to open anything I just downloaded - but it still leaves much to be desired as an annotation tool. I've completely lost hundreds of pages of notes before & when notes do stick around they're trapped on a single device...","786 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8do17CD_LryP5OySRFI29ekrG6fAq1-gHMs5v3jg=s32-rw","Raymond Vassil","","September 12, 2022","It allows you to VIEW the file. I received a 400 page document from work which was manually scanned..... upside down. There is a simple rotate button within the pc version at the top toolbar. This option is not available on the Android app unless you subscribe. The name of this app in the Play Store is, ""Adobe Acrobat Reader: Edit PDF."" It was a free download. BUT it appears that you can only EDIT if you subscribe. I learned this only after granting access to my Drive. I find this misleading.","516 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_a1QymRWf9pEqOXhy8flRbIVnIl-RuyokUiB2Ojw0=s32-rw","Vinícius Ferreira de Oliveira","","September 15, 2022","I like this app a lot! It's practical, simple, and it allows you to highlight the snippets you find important. And the system of uploading pdfs to the cloud is perfect. I've got just one suggestion: I think that adding fixed options to the screen position so that when turning my cellphone to another position it does not turn the screen as well.","821 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu3qz3YcDJbnBm9lxsBOW5a872rxYHzbp9Znyg6B=s32-rw-mo","Enji","Show review history","October 31, 2022","so, i go to start my 7 day trial and after severl unsuccessful attempts at starting a FREE trial, my conclusion is that the ""Trial"" sign-up checks to see if it can successfully charge whatever you've entered as a form of payment. When you enter your card number, that number should not be checked until AFTER the trial period is up. Fix this its broken. Also, app saves everything you put into the subscription areas. It doesnt get rid of them, even if you clear data/cache. Dangerous. DO NOT USE.","376 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu0C5AS4i_fnuruyMEpuiu4yKjo-ON5pajBCgQaR=s32-rw-mo","Vicious Cycle","","November 3, 2022","Super frustrating, I'm attempting to fill in a check list for work using a fillable PDF and the words are getting cut off but I cant find anyway to adjust the size of the font. It should be a basic feature but for some reason they've either pay locked it, though when I signed up for the free trial of pro it didn't get better, or they've just not made font size adjustment a feature. This shouldn't be this hard. The app is totally fine if you want to view a PDF but not actually use it","262 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_4GZw3d54vN2qq1wfuqRDDs6b0VW8nzygVsfd66jk=s32-rw","A. C.","","September 14, 2022","Very disappointed. Paid for premium only to find out it doesnt do what I was looking for. Sure, it can ""edit"" your document (if you call it that) but just not how you may want it. I just wanted to delete an odd line or two. When trying to edit and do what I want, it deletes the whole entire page . Not just a line here or there. Regretting paying now. So now im stuck with a premium subscription thats no good to me. 😒","791 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_pT1uxqXhRbZvoJedF_wP6fdVO7F8uBJNfHEZq4w=s32-rw","C P","","November 13, 2022","Got the app for my flip 4 then Looks for full version When I try to edit the same documents on my laptop. Very shocked I paid the subscription for the year as I said on the app ad I can use this from any device Which was the obvious intention to use it both from my phone and laptop.Apparently I have to pay a subscription Separately on my laptop to edit the same documents??It's impossible to talk to someone As there is no direct support email address.","8 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu0EUOgudhYB8YMA2p9-VTUEUYGgb85bZ29Mj7Db=s32-rw-mo","James Colin","","November 16, 2022","The app said that there was a 7 day trial for the premium membership right before I purchased it, but I was charged right away. Adobe is clearly trying to pull a scam here by saying there's a trial and yet charging you right away. This has never happened with me for another app on the play store and I'm very disappointed.","3 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu3zbnuW9_IKoeanA_cQ_zJaUL7l6KOaTdrrSHUc=s32-rw-mo","michael S","","October 21, 2022","When did Adobe remove absolutely everything that made it amazing? I am no longer able to type in pdf documents, I have to add a textbox with font that doesn't match anything (trying to fill out court documents is worse), no longer able to zoom out from 125%, Adobe wants access to ALL emails (not excluding personal data in those emails) and all files if you sync it with an email, you should also read what you allow adobe to do when you authorize access to your computer files. Why is Adobe trash?","11 people found this review helpful"
