"
  Amazon WorkDocs","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu-9RdsmHv8hWtUHjoJ2Sk1Ki1zu0X0H2U-GJDEAm_I=s32-rw","Andy Futcher","August 24, 2020","Pity you can't edit documents with the app. Nor does the web portal have native documents editing either... You have to install various third party software (3rd party plug-ins don't even have spell checker, Xwiki is the best- but you will need an VPS instance for that) but it still doesn't help if the app is useless.","968 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","April 5, 2019","Terrible app Can't access files shared with me through folders - doesn't work with infinite spinner. Keeps logging me out.","1,153 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9MZ83FmPMP8g2UGJl3BXuwcwqhYvlrxuRXUoIgqg=s32-rw","Ritchel Ricaforte","December 10, 2020","I cant access and it shows that the organization doesnt exist even though i put the right site/name.","434 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9diSd9uwq7VWS6DG_a_qVB2Ju07olELdnOC2Ua=s32-rw","Arvind Prasad","September 12, 2020","App dont allow to download and crashes multiple times","239 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","July 17, 2019","I downloaded this app and now I get calls and text messages asking me if I want a job with Amazon and messages telling me that I am a #1 customer and they want to reward me.","95 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","March 27, 2019","This now works for me, and is a great way to store and share files","727 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-NpACXUFR0_mQV4IKth5W8INHuOnRZeH7mchYwNg=s32-rw","Ben Dasaro","June 3, 2020","Won't load. Can't open documents!!!","155 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9DBTBBrA9dV0QFQB1VAmnBPpjElTmBJ9Nzx0K5sg=s32-rw","Mukund Jha","July 24, 2020","This is the best approach to using files best regards this app","76 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","September 20, 2018","I got a call from Amazon want to know if I wanted a job so I downloaded and I wanted to see if it was legitimate or not","167 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","May 17, 2019","Very much bad app is Amazon of course. 👎👎👎","71 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8XRwcoVh1VeSFQAFIWPNXNBsa0ZOD1Bnd9S4hv=s32-rw","37d","October 19, 2021","It sucks If you guys downloaded this please uninstall it cuz its sucks trust me","6 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu1eZSMDibRA3u9mV4aY5xUS5O7WdjNXP2smgyao=s32-rw-mo","Sriniwas Lukhra","August 12, 2021","Our family always mostly of items.","27 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_fSx7k-brHYG52J0uKq6gXtKESsVBRR87N8eVL=s32-rw","Shueyb Amin","July 21, 2020","Issues with logging in","115 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","May 26, 2019","best docs app i have ever used","84 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","November 24, 2019","doesn't work on chromebook","145 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu1vSLKvGsmij1X4IyLouQZ36Gp0EwsLTTS7ankk=s32-rw-mo","Akanbi Wasiu","April 27, 2022","It's a very interesting apps","2 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu1odagcGSSv0Am2u5yWv-00-NdeRpnR8apjAI_K=s32-rw-mo","Rodney Coleman","November 25, 2021","Free online free up my head and","6 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","October 2, 2018","I want to know for what purpose I can use it.","107 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-Ehzxkvrbfp2HYOdQUF7lfle1fCLz5jIkb0J8DEw=s32-rw","GRIM FIGHTER MINHAZ","August 19, 2021","Not a good this app","15 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_3_F2C94-ClFf8PHMM63LME5Dvo1YBp_jh7_4=s32-rw","pablo montagna","September 1, 2020","Trash, rubbish, garbage, refuse.","60 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu0kftYbcmVIv8YRKOSO64mP4RzXPiP-xQvsaGGA=s32-rw-mo","Asad Natt","August 19, 2021","OwZaZ2. 3 and the rest 3.6336","17 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9iUqQjfHnHJGxLuLN4XygYGuywj0EkFUqnNa_W0Q=s32-rw","Maya Maya","September 12, 2022","Please 🙏🥺 open my WhatsApp please","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_zGZ3ifQ63a2HedKOf9KXrm9ly06I3aJTYVjtlFQ=s32-rw","Margaret Iziren","January 13, 2021","I didn't use Amazon","30 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu0nZA7y-9dq6CHj9tiSljLCYFzSKzvsNEz3LJXf=s32-rw-mo","Mario Twiddy","November 25, 2020","I need my SSI Money $783 dollars Account Now Visa Card- I need my money in my account please help me Call 911 my name is mario marlon Twiddy Born march 10 1976 My address is 19321 hoover st Lapping Help somebody stole and broke into my house please help call 011 ask for mario Twiddy","45 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_bq4nsXfIqi18pvVvH2bQLG5skYhBt3rp0X_rGIg=s32-rw","Mary Riley","May 1, 2021","It's great","20 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8zvRnCRrriRSJb7vq1emd5-5MukgMHtDei_9XY=s32-rw","Anil Das","August 25, 2021","AÀA BOSS NETWORK","12 people found this review helpful","Show review history"
