"
  Any.do - To do list & Calendar","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a/ALm5wu15tfa1mbb-xotr7IRdt1GvV1ULQnxrJ6f27sKg=s32-rw-mo","Kaushal Pranav B","Show review history","February 26, 2021","This app is one of the few which has a very good UI in the `reminder` class of apps. Has a wide range of functionalities which cover almost everything a normal person needs. PS: I am not much of a fan of monthly / yearly plans, If you can remove the integrations like Whatsapp and stuff along with the priority support, I am glad to pay a one time fee for the app.","343 people found this review helpful","Any.do To-do list & Calendar","July 21, 2019","Thank you so much for your support! We are so happy Any.do helps keep you organized and productive! 😃"
"https://play-lh.googleusercontent.com/a-/ACNPEu86g0WvwuQQPPAj4a0qr_wKxkWM_fe-D_HF3B9XxQ=s32-rw","Asha Anand","","June 22, 2021","Great app to be organized! (1) The whatsapp feature is fantastic - super easy to set reminders on the move, on the laptop via whatsapp web, & very effective to make sure I don't miss anything. (2) the widgets aren't great. I have a widget on my phone home screen/ Tab & the date doesn't automatically change so sometimes I'm looking at yesterday's tasks/calendar & I have to manually open the app - correct it... I can't seem to tick off the tasks from the widget. I have to open the app. Irritating!","390 people found this review helpful","Any.do To-do list & Calendar","June 22, 2021","Thank you for your feedback! We are working on making improvements to the widgets in the near future and for the sync process all together :) If you have any specific questions, you are welcome to contact us at- https://www.any.do/contact_form, and we’d love to help you out."
"https://play-lh.googleusercontent.com/a-/ACNPEu9fFmxVik3731R3q11I_oR3zd7oahWDxwvS-xYEghw=s32-rw","Jade Rouse","","November 17, 2022","With the latest update, i can no longer add a task to a specific day without also adding a 9am reminder that i then have to go back and remove. This is annoying. I have time recognition and automatic reminders turned off specifically because i DON'T want to set a time to my tasks.","9 people found this review helpful","Any.do To-do list & Calendar","November 18, 2022","Hi, we are not 100% sure we understand what you are referring to. We would be happy to assist you should you send us a bug report via (Settings-Bug Report)."
"https://play-lh.googleusercontent.com/a-/ACNPEu-cVRVxDAbBhpuuRql_GEbNBV1TcydTN2g-C0Fkkw=s32-rw","Christian Hanson","Show review history","October 6, 2022","I am satisfied with the app and the service. I am a free user but I get excellent service from the team when I encountered a bug. I didn't expect to get a reply from the developer but they replied me. (The bug: Sometimes events disappear after saving. Need to remake events several times. After contacting customer support, they told me to clear cache and reinstall it, and it worked flawlessly.) The app works smoothly, the design is simple, easy to use, and light. I like it.","91 people found this review helpful","Any.do To-do list & Calendar","October 2, 2022","We would be happy to help you resolve all of the issues you have encountered should you send us a bug report via (Settings-Bug Report)."
"https://play-lh.googleusercontent.com/a-/ACNPEu-4Jf1EV7fwBGXIXbEh6y7QfJF63xqDKhfHg3gm-Jw=s32-rw","Marcus Keong","","October 19, 2022","I have been using this app for 2 years, still my favorite to-do list app from other apps. It has a clean widget I can see on my home screen, also allow me to add a new to-do item straight from the widget without going into the app. I also love that it sync up with my Google Calendar. Moreover, all of these features given are totally FREE! Thank you!","68 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8tb5NYGcUccXC9I7esgXmzn9u8wm0gKYHWLhUTb80=s32-rw","Michael Taube","","August 1, 2022","Looks good at first but lacks basic widgets. For example, you can't control the font size on the widget. In order for it to show you both tasks and calendar entries for your day, you'll need to devote nearly your whole screen to see it. No compact view to only show your day's items. There's a mandatory footer and header on the widget that takes up valuable real estate that cannot be turned off.","221 people found this review helpful","Any.do To-do list & Calendar","August 2, 2022","The calendar view will show events and tasks together for your day. For the rest of your feedback please contact us at https://www.any.do/contact_form, and we’d love to look into if for you."
"https://play-lh.googleusercontent.com/a-/ACNPEu9_1YYs_SPd4OWeHGvFGxtzdrGsW2QbMB20FHjZJA=s32-rw","M","","November 19, 2022","Has potential but doesn't give notifications for tasks even when set to. This results in it being just as useful as a sticky note in a place you never look. What's the point? Google calendar is better because it actually tells you when you have things set to do via notifications.","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8uk8ws1Cd9fptg9Bzavy6iDGXNFNshy0SJ0d5M0A=s32-rw","David Hanson","","July 25, 2022","Overall a good productivity enhancer. However, randomly refuses to stay open. I can call it up, it come on for 2seconds then disappears. Will work fine for a while, then starts to randomly shift months and years while I'm creating a schedule, then dissappears and won't stay up for more than 2seconds..... help! I've rebooted both app and phone ( galaxy s10).","238 people found this review helpful","Any.do To-do list & Calendar","July 26, 2022","We're sorry to hear you're experiencing issues with your app. Please reach out to our Support Team, at- www.any.do/contact_form, mentioning the app version you are currently using, and we will be more than happy to advise accordingly, and make sure you are able to use the app properly!"
"https://play-lh.googleusercontent.com/a-/ACNPEu__DMtGuyWuWE_OIThIHIz6x7ZUSSryE6HybytucW4=s32-rw","Dhilip KR","","August 28, 2022","still would be a lot better if you had notifications that forces the user to snooze or dismiss. also I think it's a bad idea to have a ""Done"" button in an edit window of the task. you already have a place to result mark the task as done. this done button in the edit window is actually so much a pain coz that's the place anybody would expect an ""ok"" or ""save"" button to save the edit.","52 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9SYX7uXj96C4JWYhytSrE8OPcQMWTiiI-DOSyKkg=s32-rw","Ahmed Ahmed","Show review history","August 7, 2022","Lovely app. One problem though, billing is yearly. An option for monthly payments should be made available. Even if it's just for the first 2 months only and then maybe quarterly after that. Still not sure I wanna make a commitment for such a long time frame after a 7 day trial. Edit: On it right away. Thanks guys. 👊🏾","59 people found this review helpful","Any.do To-do list & Calendar","August 7, 2022","We have a monthly plan, if you are not able to see it our team would be happy to send you a direct link you upgrade, should you contact us at www.any.do/contact_form."
"https://play-lh.googleusercontent.com/a-/ACNPEu_b2eBCEnUlnpY95iAAU11SLbVec81T8Nvv5DkqFcA=s32-rw","Bernard Aybout","Show review history","October 3, 2022","After using the app a little more I realize it's actually a very organized, visually appealing GUI. The layout is customizable and makes more sense than Google Calender. The subscription for software I'm not a fan of. Perhaps allow a one time payment.","10 people found this review helpful","Any.do To-do list & Calendar","October 3, 2022","If you're having trouble figuring out how to take advantage of Any.do, feel free to check out our Help Center: Support.any.do. Any.do is a free app. 90% of the app is completely free, including all core functionality. If you have any questions, please let us know at https://www.any.do/contact_form"
"https://play-lh.googleusercontent.com/a-/ACNPEu-JkpkUZz_FYlUjpjNh1eJp_ivkWy7j1N9NPZ-M=s32-rw","Bluesonic1","","October 16, 2022","Recent updates finally tipped this into useless unless willing to pay (which given the bugs/issues it has, will never pay). Why would you add sorting in one way but not in reverse?? Bad enough that we can't save custom sorting, but had to spend an hour resorting my lists today. Google calendar integration on desktop no longer working, ""My Day"" page is awfully confusing & the close button on task view doesn't work so couldn't see my calendar even if integration was working.","2 people found this review helpful","Any.do To-do list & Calendar","October 20, 2022","We allow users to sort the tasks in the order they want by dragging and dropping them to the desired location. For this reason, we do not have automatic sorting only time or list sorting. Please reach out to our team https://www.any.do/contact_form regarding the issues you had as we are not aware of them and would love to assist you."
