"
  Before Launcher | Go Minimal","username","bp9Aid","review","I6j64d","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2","AJTPZc"
"https://play-lh.googleusercontent.com/a-/ACNPEu91pMOKxo2U-3imAaq28fV7U52eo2-eU840zadwLA=s32-rw","Bharat Hari Dhakalia","October 26, 2022","Bought the pro version. Not worth it. The create your own theme option is broken. Launcher only contains one basic gesture option. While Before Launcher is minimal, it isn't functional enough to buy the pro. Also, there's no option to change the font size of the app drawer. If these options are added, maybe it'll be a little better than it is now.","⎋ Before Labs","October 27, 2022","Bharat -- let us know if you need help getting a refund (if you aren't happy, we really want you to have your money back). The next release is in beta testing and will add more gesture support. You can change the app drawer font size, a little, via Android text/font size setting. Can you email us about the theme option? feedback@beforelabs.com","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9sVf_O-9XjLRYs_HbT0H7ETTSSCxDowXEdLiBaPuw=s32-rw","Gaurav Sikka","November 19, 2020","Great Work!! Almost perfect. Have had a great experience of using this minimal launcher. It would be perfect if it had a swipe down gesture to open the notification panel. Also, my work profile apps are not visible in the Apps drawer. Is it possible to add those? It will be an all-rounder if these 2 things can be achieved and I'll definitely purchase it then.","⎋ Before Labs","March 15, 2022","Gaurav - the Before Launcher is close to beta testing the Work Profile feature (Android for Work). Are you Interested in getting a first look? Email: feedback@beforelabs.com","Show review history","7 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9TvVTdQ2FPrxVSXGoLPk5P3DWUPrWHph6R9Rfysw=s32-rw","Shobhit Varma","June 11, 2020","Great app. Best minimal launcher out there. Have bought the Pro version as well. However, there are a load of bugs right now and it doesn't feel stable. Ex: 1. The icons for folders keep acting up, going all crazy. 2. First time I installed the app, it went into a crashing loop and refused to open. Had to install it again. 3. The themes menu is very glitchy. 4. Folders don't show up in sort by size, recents, or install date. 5. No option to sort apps in folders. 6. Renaming apps is glitchy.","⎋ Before Labs","June 12, 2020","Hi Shobit. According to Google, our app has been very stable. We haven't seen those issues you report. But we have a new release out that offers several fixes. Please email feedback@beforelabs.com about 4 and 5 on your list. We'd like to know more. Thanks!","","8 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","March 10, 2020","I would love to use this app but I'm not seeing notifications on notifications panel. I'm using nokia 8.1 with Android 10. If you can help me out. Once you guys will fix the issue I will update ratings. You can contact me if you want any extra information for debugging. Edited: Thanks. It's working as expected now. I thought every notifications will be available on notifications panel but that's not the case(Tho it can be really handful feature.) Thanks. Keep it up.","⎋ Before Labs","March 10, 2020","Thanks for the feedback. On notifications: 1) Make sure device notification access setting looks like this: https://www.dropbox.com/s/xyal46gsgjvdwtq/Screenshot_20190731-210442.png?dl=0 and 2) Watch this short video about the notification filter: https://youtu.be/9egNkysFNrc. We can help more via email: feedback@beforelabs.com","Show review history",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_IK8VUDHqoilvnXEIboJDjA5FCiCk568PYLR2bjQ=s32-rw","Vineel Pentrala","December 1, 2020","I have 3 reviews because there is no gesture support, and I have to use the 3 buttons (back, home and recent apps) which is very, very difficult on large screens. Otherwise I would give it 5 stars. It does what it says, and I'm looking forward to decreasing my on-screen time from today :) Devs, please add gesture support for back, home and recent apps.","⎋ Before Labs","December 1, 2020","Hi - we support all types of navigation, three-button, two-button and gestures. Can you email us at feedback@beforelabs.com ? I'm sure we can figure this out. Please include your device and Android OS level. Looking forward to helping you. Thank you for taking the time on this feedback.","","6 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_ZzN6Y5XV4-138ytYIQNScJEFeULfoiYIbIt8HNtY=s32-rw","Pancham Khaitan","November 5, 2020","Love it! I have tried a bunch of minimal launchers, but this one takes the cake. One suggestion: Can we get an option to see the next calendar event at a glance? I use Calendar for almost everything, and it would be nice to see what the next event is. Thanks! Great work, btw. PS: Every app now has the same notification sound. I don't know why. Could you please fix that too?","","","","Show review history","7 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","April 14, 2020","Lovely. Minimalist launcher. Just what I was looking for. Does the job. Has a clean and well thought out interface. The notification filtering works well. You can set which apps are allowed to notify you. Also has a Do Not Disturb switch to pause all notifications at once. Enough color themes to get you through. Some form of black and white is all you need though. Install. Get your focus back. Get some work done. Pick a time to seive through all unimportant notifications. Peace.","","","","Show review history","7 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","November 11, 2019","This is a 'near perfect' app! It focuses your needs and gives a neat & clean experience. It's for those who likes simple yet useful things on their device. Though I've used 'near perfect' word, as there's always room for some development. I suggest to give it a scroll down feature to let one use the basic things like Data, Bluetooth, Torch etc. Keep up the work! 👍","","","","","15 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","October 25, 2019","Love the app. The ui, the compartmentalisation and preference based settings are just what i needed. And besides this, not only does it offer an ad free experience but also a clutter free one. The notification customisation feature is amazing. And so is the personal theme selection without being cringy or yuck. But the best part is, it has overall reduced my total phone usage and consumption. Although, if it had lock screen feature/settings too, that would be really cool too.","","","","","4 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","June 21, 2019","A different concept. I like it. But lacks polish. Fonts are too big. I would like an option to move the entire favourite app list to a position i find comfortable. Now it's way up at the top area. Notification page is a good idea. What about an ability to take actions for the notifications like reply or snooze from there? A home button gesture for a custom app would be nice. I use sesame search all the time. Would be nice if you can show the upcoming events in a minimal way somewhere there.","⎋ Before Labs","June 21, 2019","Praveen - thanks for this. We are working on new releases including a number of your ideas there...stay tuned. I think I can help with your questions on notifications: you can tap on a single notification to reply, swipe to dismiss, press-hold to change app filtering and of course, ""clear all"". More help/ideas?  Email us feedback@beforelabs.com","Show review history",""
