"
  Concentration increasing app","username","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu_X6VmMd4yheDNooy1HI2iHLQ-Hwy2h-tl_9fWF4w=s32-rw","Megha Patel","September 14, 2021","I've recently started using this app. I had problems focusing, concentration issues etc. This app has been helping me improve my patience, focus and clarity of mind. Thanks to the team who developed this. This kind of things are really needed in today's times as many people need help improve their concentration power. Of course lifestyle changes and meditation is the priority thing, but such apps are also required, very helpful.","38 people found this review helpful","nixGames","November 23, 2021","Thank you very much. Keep using our app :)",""
"https://play-lh.googleusercontent.com/a/ALm5wu2TQ03in3BVrqh4PVNRRRAXccQBi5CiEbrkjA8pUQ=s32-rw-mo","nathnolt","August 3, 2022","I had a lot of trouble starting with this app. It was impossible for me to get past the first exercise because I could not pass 57 rounds in the default 50 second round time it starts you at, changing the round time however, because it doesn’t change the amount of rounds you need to get, makes the game easier, which is something I eventually found out. The other thing I really hate is the fact that you cannot do the second exercise until you've beaten the first one 5 times. It almost made me qui","5 people found this review helpful","nixGames","October 22, 2022","Thank you very much for your review concerning our game. We are always collecting user feedback and emails that we can apply with updates.","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu36XXkOrbsf0PNGhiMnRyHHk0v7yBC3n9SyUp4g=s32-rw-mo","Luca Maltagliati","October 16, 2022","A no-frills effective app that delivers what it promises. The interest of the individual games is varying (and their effectiveness too, I think) but overall great","1 person found this review helpful","nixGames","October 22, 2022","Thank you for downloading our app! We will keep working on it!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-gZFyQ8aif7MqVH7gO4lKUdONe59Aei0EOCdRTfJQ=s32-rw","Sumeet Panchal","October 12, 2022","Don't usually review apps but this is a must have in today day and age. With increasing use of social meda our mind has lost its ability to focus. This app really makes it necessary to maintain thorough focus in order to pass. Absolutely love the work that these guys are doing. 🙌","3 people found this review helpful","nixGames","October 22, 2022","Thanks for your review 😊",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8nO36JIwUGH7_uv1MbuxrshLnpyXgjwWIQZus2ZQ=s32-rw","Sanapala Venkatesh","October 26, 2022","It was really awesome to improve focus and concentration for last five to six months I am facing the problem mind deviation this app help to focus a particular thing at a time.","","nixGames","November 13, 2022","Thank you very much for your 5-star review!!!","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_HalTtmIhW2Dx17Rvg1av2lqLxzx652EWKVgzo=s32-rw","Mehmet Berkan TATLI","November 2, 2022","It helped me to concanterare more. Ads don't annoy me and you can open other chapters without paying but watching ads.","","nixGames","November 13, 2022","Thank you for your feedback. Any suggestions are welcome :)","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu2QCIDkcLw-Nu45n1PJ2u2AGEBUPWJowTPJR_U=s32-rw-mo","Daniel Dollinger","August 16, 2022","I am confused as to the instructions for number 6, positions change. The instruction wording is awkward. ""Number of dots that have not moved."" I think you are saying number of dots in the same spots. But I keep missing most answers.","3 people found this review helpful","nixGames","October 22, 2022","Some dots are changing their spots, and some - not. Your task is to find dots that didn't change spot.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8SJChrAHG2XhlYMhCFWM5WX7BAzR_CZtx20njBXw=s32-rw","Elda Buelvas","October 18, 2022","First level very hard to pass, really need to focus, which the game is designed for, so very helpful","","nixGames","October 22, 2022","Thank you very much for your 5-star review!!!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_azm2J_WMFlXiBY3VOw_FNSkBnBDe9dswue55LAVg=s32-rw","Jaagruti Didwania","November 18, 2022","One of the most useful apps I have come across. Extremely helpful in reducing social media time.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9_dtmjvuYFol-Gqe-6AujfYM5Q3pvE_LrcC2d4Qoo=s32-rw","Tejash Sigchi","September 28, 2022","Just started and I seem to be getting a hang of it. Minimal, effective and fun.","","nixGames","October 22, 2022","Hi, is there something we can do to get 5 stars? Please let us know at nixgames44@gmail.com.",""
"https://play-lh.googleusercontent.com/a/ALm5wu3KaB0zKKnjpq_Kju-WtzOCbgjwmYhMsiqr5n6s=s32-rw-mo","Oma Eze","September 2, 2022","It's been nothing but wonderful so far ... I have a very low concentration span and this game has been nothing but helpful... The more advanced it is the better for me.... Really pushes me and for that I am grateful so thank you","","nixGames","October 22, 2022","Thank you so much for your review!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-RpOwLVyfUEEkIBm16tYpkZqD5wczP4hjrc9slgw=s32-rw","Mirai No Yura","June 26, 2022","Great app for improving focus one minor gripe, when completing levels it would be good to also have a counter at the end showing how many questions you got right alongside the percentage. For example: 8/10 correct I feel this would be another aid in seeing which exercises you should improve on. Other than that great app with excellent interface.","8 people found this review helpful","nixGames","October 22, 2022","Thank you for your support 😊",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_-li94lAgdjJ7sJFWBFcmh3pXkpkXWfR1hAR3l=s32-rw","1936 18 Harish Kumar S","November 11, 2022","It's alp okay..but memory matrix level doesn't show start button..! Felt 😞 disappointed","","nixGames","November 13, 2022","We are aware of the bug and are working towards fixing it.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-Lj-1WjabkQOtIL9bwOEXdzbdkLGqxWLseDAqHtg=s32-rw","Abdelrahman","November 10, 2022","I liked it No premium features needs money No complexity Just a simple games to improve your concentration","","nixGames","November 13, 2022","Thanks for your feedback.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-s8pgLbRUkGZCjG-0ys_Nkc7CAWMvVhL_KIGERZw=s32-rw","Inzmam Saifi","October 12, 2022","Very good,it really helps to increase your concentration","","nixGames","October 22, 2022","Thanks for your review 😊",""
"https://play-lh.googleusercontent.com/a/ALm5wu0kGIaiTrOVlmr5Ir100JHN0qylvVMpEYmfJLFv=s32-rw-mo","jason dsouza","September 28, 2022","The app is wonderful. Simple and interesting. I have just started using the app :)","","nixGames","October 22, 2022","Thank you for downloading our app! We will keep working on it!",""
"https://play-lh.googleusercontent.com/a/ALm5wu1PUXMFBRsPfr0JN63q4xyWQ0-oL_bjc6qPy6Kv=s32-rw-mo","Carter Payne","September 26, 2022","I use this app to train my executive functioning skills & cognitive processing speed to help overcome the difficulties I experience from my ADHD. It is very helpful👍🏻","","nixGames","October 22, 2022","Thank you for your encouraging words.",""
"https://play-lh.googleusercontent.com/a/ALm5wu1ZOkiDk_1jh3UkHsjhYbgYFKsH57U8_qpw9BUj=s32-rw-mo","Saeed Eghdamtalab","September 8, 2022","This game is really helpful and nice,there are a lot of enjoyable games that can help you improve your focus.thank you for creating this game!","","nixGames","October 22, 2022","Thank you very much for your 5-star review!!!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8_K020DQ6xS_1aUsp4NGP5ScYlV6v4onER0jp7_Q=s32-rw","Rahul Tambe","August 23, 2022","It's definitely 'to try or have installed' app. I'm at level one and feel like concentration increased slightly. Hope it's good ahead...will inform about this as done exploring.","","nixGames","October 22, 2022","Thank you for downloading our app! We will keep working on it!","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu3i6RlwOOWd7P6rpSbDvrUTnARToBn1cl7FIO12=s32-rw-mo","Youth Desires","July 1, 2022","Best by far then other ,Economic too. Kindly improve it by categorizing exercises in memory ,Attention , focus ,processing etc","","nixGames","October 22, 2022","Dear User, Thank you for your suggestions. We will try and incorporate them upcoming versions.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9Sp9j-6-CWXZSRR9oS1UpFt87Hx0Lj03954iQs3g=s32-rw","Robert Evans","July 13, 2022","Just getting started but seems very helpful in changing our brain physically and developmentally.","","nixGames","October 22, 2022","Thanks for your review 😊",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8tFZdPxAmp97Kc56rpdhri_YTm8CDRlJY_N58UefM=s32-rw","Kumudh Pathirana","August 14, 2022","I've been using this for the last 3 days and have enjoyed it. Will reassess once all levels are completed.","","nixGames","October 22, 2022","Thank you very much for your 5-star review!!!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_mpjLJDuVtfdDZwuKBMHJ0m6hRnX4q-pXmH1lGmw=s32-rw","Anna Ska","July 3, 2022","Playing is fun, but somehow I always fail when I don't. Or the ""pass"" is strangely calculated. I don't know 🤔","","nixGames","July 3, 2022","How do you know that you pass the exercise?","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_vbhpMATaCuISk_tjiS7tOGSAt-YLU-Qx-olwdtg=s32-rw","Josef Smrčka (xo3e)","June 24, 2022","Great app, but unfortunately spoiled by a few flaws: - Ads appear right before or after exercise, which is very annoying and ruins any attempts to actually focus. - Last level (Memory matrix) does not show a start button or any other means to start, and is therefore unplayable. - Level 20 (Visual coordination) is, compared to other exercises, ridiculously hard.","13 people found this review helpful","nixGames","October 22, 2022","The new version will be available soon.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8Y703YUv4fjvl5U1E02NyGHgXwgqkjRKM9I4JjaA=s32-rw","abimaria vava","July 5, 2022","You feel so simple and silly but its really hard and fun playing and a good brainstorming game. Specially for students.","","nixGames","October 22, 2022","Thank you very much for your 5-star review!!!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-lUFHu573IBYNGCBS_K0s5v9Y3wCrZlBpPSr6M=s32-rw","kevin Erasmus","August 18, 2022","I love it, and it really helps my mind getting into gear before long focus sessions.","","nixGames","October 22, 2022","Thank you so much for your review!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_WyE9waV0CSS-KjyXEGTaQmtL12qLS8q0f3eDmwA=s32-rw","Luke Adler","May 27, 2022","The sessions for the improvements of your concentration are reasonably necessary. And it has high ensurements of the improvement. This is so far the best brain gym I have ever gone to. The app deserves more than 5 stars because it kind of changes our life to a good place.","8 people found this review helpful","nixGames","May 28, 2022","Thank you very much for your 5-star review!!!",""
"https://play-lh.googleusercontent.com/a/ALm5wu0u-JMFAocFF0Ej40BkCsJ0o4sQ8GFQEBa2XbJg=s32-rw-mo","Zahra Zainy","September 28, 2021","This is a great app. I use it whenever I feel distracted when I'm doing research, writing papers, or when I feel I can't focus on reading. This helps me sharpen up, and get back into doing work again. It's great to use after taking a break too or literally just passing time.","4 people found this review helpful","nixGames","October 18, 2021","Thank you for your encouraging words 😊","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_ijYigNsiC1I2wuC1pKiHU6U3gT-qTlPPjW00PuQ=s32-rw","Jay Dee","June 20, 2022","Excellent app with great exercises, really helping me with my recovery from major illness along with the reaction training app by this developer. The games are simple and easy to understand but challenging mentally, what a perfect work out.","3 people found this review helpful","nixGames","October 22, 2022","Thank you very much for your 5-star review!!!",""
"https://play-lh.googleusercontent.com/a/ALm5wu0_781PcKOTx1DwibFtXU8HyNTTRT5qgsXWjytJ=s32-rw-mo","Amruthesh Shibini","October 1, 2022","It was,really cool experience using this app,which helped me to overcome some of my silly misconceptions.","","nixGames","October 22, 2022","Thank you for downloading our app! We will keep working on it!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-pZhLZE3THvbBRZqf9_qoePUsCpYz2_wvtX2fF=s32-rw","Sangeetha Raja","September 29, 2022","Best best best app. At the starting point, you will feel impossible to get stars . But as soon as your trial number increases and your concentration level increases you will feel very good. You can see the improvement. Just go for it . So 5 stars ⭐⭐ ⭐ ⭐⭐","","nixGames","October 22, 2022","Thank you very much for your 5-star review!!!",""
"https://play-lh.googleusercontent.com/a/ALm5wu1nONi4h9kab9A4ekT9I-oQg-KfE002-9Dn1469=s32-rw-mo","Steven Sequeira","November 20, 2022","It is helpful and there is a improvement","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_a2sipU-cpvgrRdKpAabk-25Oky8Fl9ZBZeSb_=s32-rw","Blue Galactic Hand","May 30, 2022","This app has been amazing. My concentration and focus has inroived greatly just during my free introductory period. I would highly recommend trying this application out of you are looking for ways to improve focus and concentration.","4 people found this review helpful","nixGames","May 28, 2022","Thanks so much for the awesome review. Please tell your friends about the game and what they are missing out on :)","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu1OnMdKYWbLAKJ3JAtgt-dySOz8CR5OwK6efqKU=s32-rw-mo","Shubham Singh","July 17, 2022","Good app, really helpful, Its been 3 days since I am training to improve my concentration and focus. Thanks","","nixGames","October 22, 2022","Thanks for your review.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9Tv7QWtva3_de6rP0W59E_b6uo_4zkbXu44e_Yvw=s32-rw","Rahman Ali","June 1, 2021","Bought the premium version! I am satisfied with everything.Thank you for for updating the App, now Stars can increase beyond 5 which is really great. I have just one last request, please add score system for each game. It's really more fun when we can beat our best score. And when we can beat our best scores we feel really great and want to play again to make a new best score. I know you guys can do it. Best of luck!","14 people found this review helpful","nixGames","May 24, 2021","Thanks for your kind feedback. In the latest version, we have included such functionality.","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8ohriYjva-2rItaB6Rzaqb1Npzj4vfnNUU7H57UA=s32-rw","enter10 ment","September 30, 2022","This app too interesting 🤔. Firstly I didn't get understand but after sometime I started this.","","nixGames","October 22, 2022","Thanks for your review.",""
