"
  Confluence Cloud","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu_STX7oX9d4sfib7qndHjmtZrVo8Crr2reHKjYrlA=s32-rw","Matthew Ackerman","November 7, 2022","Garbage. Watch out, confluence will randomly not save updates, and you'll have to do all over again.","","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2oKda2Fpm3Et7aZvdT8OTNj2v4kT7AOhFNCvQn=s32-rw-mo","Andrew York","September 22, 2022","If you have a phone with a large screen, uninstall this divergent product and use the web. They didn't even include the navigation menu in this app.","2 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_6iPi6lIIp_HWl3XFsG-TCgoZC_T9rtveAoYek=s32-rw","Oche Ejembi","July 30, 2022","Slow and unresponsive. Very poor ui/ux. I'm a fan of confluence on the Web but this app is a terrible implementation of a great product. It better not to offer an app at all than ruin a great product. For instance, why do I need to 'tap to load' a list of child pages on a parent placeholder page. In what world would I not want to automatically see the list of child pages? OK, when I do tap to load, then it may or may not load said children.","8 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8OKAlkB58BDTI3CwPQwXJ2zuMRj0bFIGH2YV7m=s32-rw","Tosin Doyin","September 9, 2022","With over 4 minutes spent trying to log on to the app and waiting for close to 5 more minutes to load and access my team work, I'm kinda not encouraged.","4 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8WhWyE0BDuzQ2DQ6mcPGiyCrVOjii6aNr7eO6xMw=s32-rw","Sean O'Connor","September 19, 2022","I wrote this in the Jira app as well but it applies even more here, using Chrome to access confluence and Jira is significantly better then using this app. A good example of one of the many missing features is drafts. Drafts do not sync which means that you have to publish anytime you make changes if you want to save them. The app eats up a lot of screen space that the website does not. At least on the website especially if you use desktop mode, you can change the sizing to meet your needs.","1 person found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu3E_LnpjTHzxfzusUqMktJlHkmRkeuIImYqbDe5=s32-rw-mo","Abdelkader Hamdoune","October 27, 2022","I'm getting lost on surfing it, hard to find teamworks overall good and useful, need time to adapt","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_ozatECNdLZdPhrM9WF_Fjf9REotZvCYOBPnMT6g=s32-rw","Tim Light","September 9, 2022","the mobile website is better, and considering it will launch you to the website for most operations I'm not exactly sure what the app is for anyways.","2 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","April 14, 2020","It takes special skill to create a worse version of the website, but atlassian have managed it 👍👍. The app is bare bones and functionality is infuriating. Commenting on pages, navigation after leaving the app for a second, hierarchy while responding to a question on the wiki ... everything made me want to reach for the laptop. Which is what I'll probably do from now on. UX is important. Please invest in it!!!","63 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9MI08MqyBbktXxl9qbx4USbnIQwp_ZxS-mpEmaDg=s32-rw","Samuel Plewe","February 6, 2022","The app is useful to review articles. What I miss is the integration of my templates. Unfortunately I have no option to select the existing templates. It would be awesome if you would improve the usage of templates. For example when I'm sitting in a meeting and just have my smartphone, I would love to use the meeting note from Confluence but I only have the plain page for my notes.","8 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu84N0OdleTsY-xsMi5NE0SWxewSRVG7Wue3r3qaiOk=s32-rw","Andrés Hevia","June 1, 2022","Great tool for handling Confluence from my Android mobile 📱. I love the simplicity of the UI in contrast with the web app. I approve of the choice of not loading everything at once (child topics for instance) but allowing the user to load them on demand, which saves bandwidth and improves loading speed. It still get sluggish from time to time, which is the reason I don't give it 5 starts, but I know the Atlassian team is working hard on making it even better 💪!","12 people found this review helpful","","","",""
