"
  Delta - Icon Pack","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu_lpR_BiSV_8Niwnb9T0wm07Oy3lhGAxTDF2ZHD4w=s32-rw","Christopher Cooley","Show review history","October 10, 2022","Great icon pack. There simply isn't, as far as I am aware, another icon pack as comprehensive as this one that is also free. I have two minor issues though. First, personally, I find a lot of the icons can be rather similar. There's a lot of boxy icons with little color variation, some of them just ignoring the color of the original (T-mobile). Second, I use SwiftKey and the keyboard will not appear initially when I use the search feature. I have to tap the caret to make the keyboard appear.","10 people found this review helpful","Leif Niemczik","October 13, 2022","Hi! Thank you for the kind words! Your feedback is appreciated. I will go ahead and fix T-Mobile icon color. As for the similar icons, we do use the same palette for consistency purpose and often pick square and circle icons shapes by default. We tend to go free form when the icon looks better that way. I'll look into the keyboard issue."
"https://play-lh.googleusercontent.com/a-/ACNPEu9vALJc2ohYzz48T_-jhn8l948-6uu-YS5njYYXCQ=s32-rw","A. Brasilio","Show review history","November 19, 2022","since I swapped to delta I've never wanted to go back. I love that each update you can request new addons altho not all are quick to include (I understand more popular apps get added before, so I'm not mad); I wish there was a way to requests alternatives, since ex. arcaea icon is too distinct from my other icons. also maybe have a filter related to colour/shape as I use ambiguous-looking icons on apps that haven't been added yet. just my 5 cents though, and maybe not all users think like me!","","Leif Niemczik","November 19, 2022","Hi, feel free to request alternatives or report outdated icons by sending a bugs report through the app; this is the best way as of now. As for filter I'm guessing you mean new tabs in the icons page.. that could be done although it would be a mess to manage and require more of our time so less for actual icons creation unfortunately."
"https://play-lh.googleusercontent.com/a-/ACNPEu-z17ZyBAej8gnKDD6B--Eo_f4z1CeWJF_OcTwOZVc=s32-rw","Jackson Bojanowski","","November 16, 2022","Hands down my favorite icon pack, however, I've been running into this issue where I cannot search for specific icons within the app. Very frustrating bug that doesn't seem to be going away","1 person found this review helpful","Leif Niemczik","November 16, 2022","Keyboard will show up if you press icon name ""zone"". This issue has been around since Android 12 came out. I do believe next CandyBar version will fix it. Unfortunately it is out of our control."
"https://play-lh.googleusercontent.com/a-/ACNPEu-UHxPeFghNM90cTyRt1HoWs-T03NWYOkeHGusAxJ8=s32-rw","AndrewSp","Show review history","November 9, 2022","I love the icons but what made me give you 5 stars was that you have an icon for Arknights. I've seen icons for some games but never seen one for Arknights which is my favorite mobile game. Also, you have icons for every app that I use regularly (this includes apps like Instander, Tachiyomi, ReadEra premium) which are not very well known so you really deserve 5 stars. I just found out you have an icon even for Summertime Saga.","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-g1zDuehgXKquEaMSCdRpQNlj5Gxz2cV1i4JJI=s32-rw","Ezekiel Hernandez-Hall","Show review history","September 12, 2022","Wonderful icon pack to match with a dark theme. Pastel colors on a matte background made for a really pleasing look paired with my launcher, and included icons for a surprising amount of third party apps (great for those experimenting with F-Droid)!","4 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8AFbRrn-T7ABBQy82qcGx8aPIGyosV_CTHKY2lC1w=s32-rw","Banana Tim","","November 8, 2022","For a free icon pack, the amount of icons they have is amazing. If you like more pastel and simplified icons, this would be the app for you.","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-NT97WKAtuWzS0g13vfjNwJhwfauDcwSmplUeJzQ=s32-rw","Ryan Du","Show review history","September 3, 2022","I've seen all the icons that are available and they look really nice but ONE PROBLEM. I can't apply the icons because the app doesn't not support Moto App Launcher. Please add support for Moto App Launcher.","7 people found this review helpful","Leif Niemczik","September 6, 2022","Unfortunately, most stock launchers don't support third party icon packs."
"https://play-lh.googleusercontent.com/a-/ACNPEu-YS4Lu612ZCYDIHoNa9mieCTLSUh6mRgumTu8=s32-rw","Emin Gundogan","","August 28, 2022","I am stunned by how many apps are supported. Only ones missing for me are local banking apps etc. Great minimalistic icon pack with pastel colours.","3 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2_crAzwitiDXO4_QKZ_2oFu-PJKl5_VVXjlSB4wg=s32-rw-mo","Renee Covey","","September 29, 2022","Huge number of icons and updates are big. Free app requests very limited, but considering how extensive it is it's pretty much not needed.","2 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-70erxt_8jGVrLgTN6zOHTiah7EMUojUWPRs66iBk=s32-rw","Atik R.","","September 7, 2022","My icon pack suddenly change, I can't use delta even though I try to install it manually. The menu has disappeared (??) I use poco launcher","2 people found this review helpful","","",""
