"
  Engross: Focus Timer & To-Do","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu-n_C26USVXRkcJ9dOQAn4iv_AX3WJrFX7rVtkEUD0=s32-rw","Afshan S","Show review history","September 26, 2022","Love the distraction button and the progress tracking feature. However, tasks set to repeat daily don't show up automatically. I have to manually add each recurring task to my daily list. Premium version is good so far but could do with a few more helpful additions like viewing my timer sessions broken down in the daily schedule page, easily shift tasks/events around in the calendar, and improving the notification bar and widget features. Still, one of the best productivity apps I've used.","7 people found this review helpful","Engross Apps","September 27, 2022","Hello Afshan,
Thank you for your appreciation and really sorry for the issue you are facing, we'll look into it, that shouldn't happen. Could you please ping us at support@engrossapp.com so we can get in touch with you and resolve the issue. We'll definitely work on all these points, thanks for all the feedback, we'll keep improving it! :)"
"https://play-lh.googleusercontent.com/a-/ACNPEu9BpWOEKzB2Tb87khfCYyMPYE--RpidJJ2Z3ArZ9g=s32-rw","Utkarsh Sharma","","October 15, 2022","I bought the premium and its an amazing app, I'd just like to suggest a feature. I have extreme ADHD, lack of attention and motivation, and when i see the ""+5"" button to add some time to a break, i just click it. Can there be a toggle to switch it on and off in the settings? Other than that, the best productivity app i have ever used. Only issue i had since yesterday was when another app's reminder popped up(Fullscreen Task reminder), Engross froze and my device became unresponsive. Frustrating.","8 people found this review helpful","Engross Apps","October 18, 2022","Hello Utkarsh,
Thank you so much! We'll work on it and try to add an option to disable the 'extend timer' option. We really wish that Engross keeps doing very well for you. Regarding the issue, please drop us an email at support@engrossapp.com so we can communicate with you and work on the fix. Thanks again and also sorry for the inconvenience."
"https://play-lh.googleusercontent.com/a/ALm5wu0InM19VcD5hq4FTf_ZWsbDF91JM2OuupfREFPM=s32-rw-mo","Surbhi","","August 23, 2022","It's the best app I have used so far to focus on my studies. It has all the features, like timer mode( you can set pomodoro sessions in that), stopwatch mode and statistical representation of your work . It really keeps my schedule and work in check. Also, it offers discount on premium membership and it's just cherry on top.🤌","6 people found this review helpful","Engross Apps","August 24, 2022","Hi Surbhi,
Thank you so much for such a nice feedback! 😊 We really hope that Engross keeps working for you in the same manner and helps you study much better. If you have any suggestions for us or if you need any assistance, please feel free to write to us at support@engrossapp.com. All the best!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8Q_Mwc006WaQ37nRvNl2kvYSJALftUv32XnQ5hww=s32-rw","Shruti Rajput","Show review history","July 28, 2022","Amazing app! Its pomodoro keeps me engaged and focused with the work and I am able to keep a track of my time as well. Fortunately this app's providing me a track of effective study hours I manage to get in a day which makes me reflect on and review my own output. Although I'm using the free version only, it's worth spending a few bucks on! Edit: I have just started using the whitelist feature and got to know that it's quite ineffective. The apps ticked are supposed to work while the timer is on","23 people found this review helpful","Engross Apps","January 20, 2021","Hi Shruti,
Thank you for such a nice feedback. :) We hope Engross keeps working very well for you. Keep up your good work! And, if you have any suggestions for us or if you face any kind of issues, please feel free to write to us at support@engrossapp.com."
"https://play-lh.googleusercontent.com/a/ALm5wu1MloiqaEB2eWMu9cNxkb2kIzmz07ibhvlBhnz3=s32-rw-mo","Deepanshi Sharma","Show review history","September 24, 2022","Best app I have used so far, it has all the features in one place, I am going to buy premium but I wish more can be added like direct pause and resume options in the notification bar instead of opening the app again and again, more sounds in free version, default label option instead of entering it every time I set the timer. Otherwise, rest is good.","1 person found this review helpful","Engross Apps","October 3, 2022","Hi Deepanshi,
Thank you! We are really glad that you find Engross so useful. We'll definitely work on all these points, if you have any other suggestions/inputs for us or if you face any kind of issue, please let us know at support@engrossapp.com, we'll work on them. Thanks and all the best!"
"https://play-lh.googleusercontent.com/a-/ACNPEu9RPceaR046URT79gFwhSMXQBizVrTWVNUqzorLPQ=s32-rw","Lively Lipun","Show review history","October 13, 2022","One of the simple yet effective pomodoro app. You can get all features like labeling, todo list, study hour goal ,white noise and a unique feature to tap when you get distracted during a study session. You can also analyse your record in statistics section, also it has dark mode. I have purchased life time membership in a very convenient price, much lesser than than it's counterparts. I am truly satisfied with it. --> But please fix app whitelist issue, sometimes it works sometimes it doesn't","","Engross Apps","November 3, 2022","Hi Lively,
Thank you so much for such a nice feedback, really happy to know that you find all these features of Engross useful and we hope that it keeps working really well for you. And, really sorry for the issue you are facing, I request you to drop us an email at support@engrossapp.com so we can look into it and assist you accordingly."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","March 9, 2020","This app is absolutely perfect and exceptional. It has everything. From calendar,tasks, timer and statistic. The distraction button really stands out. The timer is much more sophisticated than any other pomodoro timer out there. Statistics is awesome too. It allows you to block apps.Many customisable features. There's even progress check and much more. Best of all, the premium version is very affordable. But I would love to have some more white noises. Highly recommended!","3 people found this review helpful","Engross Apps","March 9, 2020","Hi Purvankit,
Thank you for such a positive review, we are happy to know that you find Engross so useful. We really hope it helps well in managing your time. We will surely try to add more white noises in the coming updates, if you have any other suggestions or if you face any kind of issues, please let us know at support@engrossapp.com."
"https://play-lh.googleusercontent.com/a-/ACNPEu_XHD_QygIy0ZJQoCZHvOrpQ2zWfewxXC08zEQsWg=s32-rw","Malvika Rk","Show review history","September 13, 2020","I've purchased the premium version and I find this app very useful and easy to use. I find one thing quite inconvenient: Tasks that are set to repeat daily/ custom don't show up on my calendar when I go to a particular date. It will be great if I can view all the tasks set for, say, some particular day of next month. I really wish I didn't have to depend on another app only for this feature. Hope this is looked into. Thanks!","9 people found this review helpful","Engross Apps","September 25, 2020","Hi Malvika,
Thank you for upgrading to Premium, really glad to know that you find Engross useful. I guess we already have discussed this over email. We'll try to add an option for it in the coming updates. If you have any other suggestions for us or if you face any kind of issues, please feel free to write to us at support@engrossapp.com."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","December 10, 2019","One thing that you'll expect a Pomodoro app to do is inform you when time is up. That's the whole point of it so that I don't have to look into my phone again & again, right? But it doesn't happen. I've given the app all permissions, notification is one, inform when timer is about to end is on but NO SOUND AT ALL! Kindly let me know how to correct this or I'll have to switch to some other app that works... Highly irritated !","1 person found this review helpful","Engross Apps","December 10, 2019","Hi Naman,
I am really really sorry for the inconvenience you are having. Engross does have notifications to notify time up. I request you to please get in touch with us at support@engrossapp.com, so we could assist you with the problem."
"https://play-lh.googleusercontent.com/a/ALm5wu3Xz_ugo3huPnClJm5uLIHzr393DiyBcQDAYqYd=s32-rw-mo","Anneysha Sarkar","Show review history","February 26, 2021","There are labels, to do lists, stats (premium) but the thing I loved the best was the timer settings. You get to customise your timer, can choose how many sessions you want, how much time for breaks and long breaks you need AND includes revision time. There's a lot to help you focus, and premium seems very promising. I just hope I have the money to make the switch.","10 people found this review helpful","","",""
