"
  Evernote - Note Organizer","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu_pxIKCResXcr0Hvia-tEIqqV_9dyhir7NbW4CGmy8=s32-rw","Oishi Chan","Show review history","November 15, 2022","Few annoying things, when I press enter to go one line before it chs ges the font back to a weird default one. The font can not be fixed by your choice. Also you can type in full screen as the side bar can not be removed. The full screen isn't really a full scream and you can by mistakenly press the side too. Since I am lefty.. it's kind of annoying. The drawing part makes you draw on a separate image and then gets inserted in the notes. Can't draw separately on your typed notes.","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8Hu3w4hqx-xx_uldCe7Xq7Xx5fg-C5yhzogEmKQA=s32-rw","Sujay Ladawa","Show review history","September 18, 2022","I spent 2 hours last night finishing an article, I woke up and check it shows an older version of the note. I have been experiencing a lot of issues and meaning to switch, now am finally going to!! This has happened many a times in the past such an unreliable application!! I would recommend everyone to switch if you want to avoid loosing your valuable work and time. PS: I had been using Evernote for past 10 years","96 people found this review helpful","Evernote Corporation","May 15, 2019","Hi Sujay,

We just released a fix for the slow search times. Please update to 8.9.1 to get that fix. Thanks for your patience!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8iLj3fHBJ34VHGWPGZs0sJXMyvKwDh230ZuN5t5Yc=s32-rw","govardhan chanda","Show review history","September 17, 2022","It is one of the worst app to make notes. They don't even let you scan images according to you. The one scanner of their own they provide sometimes scan quickly and sometimes I don't know how much time it takes. Hope the team Carry out the routine check about the app and it's functioning. I can't edit on the images ? If I have to write something in that image and save it I can't do this here. Please look into it and modify the app. Do make it user friendly.","82 people found this review helpful","Evernote Corporation","September 19, 2022","We appreciate your feedback and will be happy to forward your requests to the appropriate teams, as we use these requests to add weight to decisions in our product roadmap. Hopefully, we can add more options around scanned images in the future."
"https://play-lh.googleusercontent.com/a-/ACNPEu-WMEFasUSvtrfEL8zPVPfISHTfTDr3NJk2q44Afw=s32-rw","Krishna Kumar Karthikeyan","Show review history","November 1, 2022","So my main reason to switch from Samsung notes to Evernote is to sync and peek thru my notes both on my phone and my PC... but the app even in flagship phones loads dead slow☠ that it takes a lot of time which kinda embarrasses me every time!! The overall interface of the app is extremely glitchy and lags a lot. I've tried many ways to find out why, could somebody from your team get me a solution for these..? It's funny that the latest updt says fixed performance and stability improvements🤣","28 people found this review helpful","Evernote Corporation","November 4, 2022","We’re very sorry to hear about your experience, Krishna. If you find these issues persist in 10.43 (now available), please reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we’ll be happy to help."
"https://play-lh.googleusercontent.com/a/ALm5wu318totJbE9q6nnn8h-E40dkEiC6MvUbN4aTNJ8=s32-rw-mo","Paras Sachan","Show review history","September 29, 2022","Edit 1; the mobile app has horrible experience now. Notes are lost, not saved, not synced and not updated (anything can happen to any note randomly). Disappointed! And I am on the 'Professional' plan Edit 2; it is like falling back for a toxic ex over and over - cancelled my paid subscription for Evernote 3rd time from Professional plan. My edit 1 comments were the top reason, 2nd is I lost 3 critical notes after hours of writing to duplication and sync errors. Chose ******* finally, at last!","98 people found this review helpful","Evernote Corporation","September 30, 2022","We’re very sorry to hear about your experience and would like to investigate these issues further. Please reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we’ll be happy to help."
"https://play-lh.googleusercontent.com/a-/ACNPEu-qsg_JBiYGGaaibCABdaatJkWhKIjCHjhbb_Z4=s32-rw","Un Known","","September 8, 2022","I love Evernote and use it extensively to organize and access all the brain dumps on the million different topics I do. Love the UI/UX, the ability to add sketches, images, move around and edit notes easily, tags, and so on. Only complaint: some occasional glitches can cause me to lose long sections of written content when I'm writing on my phone. It's happening to a lesser extent recently though.","52 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9o203kVaf2E5jCDPkbwjdqHNmDH4QxxWzQXmSxzQ=s32-rw","Manu Neelakandhan","Show review history","June 17, 2022","I have been using Evernote since 2013 and literally run my life on this tool. It WAS the best, the most useful app I ever used in my life. But my love for Evernote is slowly dipped in the last few months. The apps have become painfully slow, notes take time to launch and upgrade popups keep ruining the interaction experience. The desktop version (specifically) has become frustrating. Wish the team at Evernote would do something about it to make people like me stay with it.","208 people found this review helpful","Evernote Corporation","June 17, 2022","Hi Manu - we’re sorry to hear you're running into performance issues in Evernote. Please reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we’ll be happy to help."
"https://play-lh.googleusercontent.com/a-/ACNPEu_ihwEaKJ2rlvAKWS6fclQ-xrJMc9njQ68dVOd5WA=s32-rw","Renee","","November 17, 2022","As of today, Evernote just stopped working! Will not open at all. Just the splash screen for a couple of seconds, goes away and then a message box saying it is not responding... Never had a single issue before.. Sent a crash report. Tried all the usual fixes (force close, restart phone, reinstall) with no luck. Hundreds of my notes and writings in there! Very upset.","92 people found this review helpful","Evernote Corporation","November 18, 2022","Hi Renee— We’re so sorry to hear about your experience and would like to investigate this issue further. Please reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we’ll be happy to help."
"https://play-lh.googleusercontent.com/a/ALm5wu2CPUbinKWdd88eQTyjWK2XTpHWtbU_koFOmwuo=s32-rw-mo","Robin Stepp","","November 19, 2022","I have been using and loving Evernote for several years now. Recently however, I am having problems with notes I've entered on my phone app and then wanting to view on my tablet. It's now becoming almost unusable and a waist of time to enter on one device and then to see the note on another device. I don't think they are syncing correctly. I'm starting to hate this program.","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0qpiBn2eUXpQxqVtqwfC0Wa1TkUAbyldeQajrJ=s32-rw-mo","SBG2022","Show review history","November 15, 2022","UPDATE: Thankfully, the jumping cursor problem has been resolved, so I am able to use Evernote for many of my tasks again. Recently, I have noticed that there are usually several versions of a note that keep showing up. I used to love Evernote. After a recent update, I cannot edit my notes without the cursor constantly jumping to the end of the next word. This is so frustrating! Please fix this! I am running Android on a Moto G Power phone, and everything else on the phone is working great.","15 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-ULlBUmyuAjbLhlk8j5BWxKWJxTcmf0yZ1S_vV5w=s32-rw","Angela","","November 13, 2022","I've used this app for years and up until recently, I loved it. Now there's issues where it duplicates notes multiple times after you close out the app. Or when you open the app, you are unable to access your note and there is a cycling feature showing that the app is trying to open. Or it opens, and you cannot edit anything as it says that it's trying to update itself. This has only started happening within the last month and a half, and it is extremely frustrating for an app that used to work.","20 people found this review helpful","Evernote Corporation","November 18, 2022","Hi Angela - e’re very sorry to hear about your experience and would like to investigate these issues further. Please reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we’ll be happy to help."
"https://play-lh.googleusercontent.com/a/ALm5wu3i1VHeaR1yPao8RVJpzMV4a86g2je3EBM-7n7X=s32-rw-mo","CookieC25 Cookie","","November 9, 2022","I deleted my previous review because it seems the the problem I was having with notes multiplying has been corrected. I never uninstalled the app because I wanted to keep all my notes I made over the years. The free version is pretty basic, but meets my needs for keeping track of all the books I read. I wasn't really happy with the app I had switched to.","23 people found this review helpful","Evernote Corporation","November 10, 2022","We're happy to hear you're up and running! 💚"
"https://play-lh.googleusercontent.com/a-/ACNPEu9fzanackvbACrPEqxFjO-NwFx9doG3O8XrVyXg4A=s32-rw","D.S. Munro","","November 16, 2022","Very disapointed with this app. It looks okay, but functionality has basically regressed. Used to be way better 5+ years ago. Messed up the workflow for me. The widgets used to be better. Only two basic ones now, and there is now no way to sort by last viewed. Forces me to search over and over again. Search bar doesn't even have a shortcut to the last searched. Good for you that you made it impossible to export to OneNote, otherwise I would have switched long ago.","4 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8SUMR3sGqxOBIcWg7SI-IuHTxQIWjQwkWMbbAM=s32-rw","Eric Riedy","","November 7, 2022","What has happened? It seems this latest version has lost all connection with my data. Get this fixed ASAP!Existing notes don't load, List of notebooks change each time I enter the app, notes from the phone don't sync elsewhere. Tried to refresh the app, it just got worse. If I can't rely on my phone app now makes this app less productive. Long time user over 10 years.","54 people found this review helpful","Evernote Corporation","November 10, 2022","Hi Eric - we’re very sorry to hear about your experience and would like to investigate this issue further. Please reach out to us at appreviewhelp@evernote.com from the email address associated with your account along with a screenshot of how your notes appear - we’ll be happy to help."
"https://play-lh.googleusercontent.com/a-/ACNPEu8UZ3f67JifNEQWj6EMgwm0Dk6qJmjpba2Vm_aVBQ=s32-rw","Kai Lopes","","November 19, 2022","What the hell. I uninstalled this app back in 2021 because the interface became absolutely horrible to use and navigate, then I try coming back to it almost 2 years later to see if anything was fixed, but it's worse? It's so buggy, you can barely open your keyboard without everything freezing. Hell, anything makes the app freeze, and I'm pretty sure it's not my phone because all my other apps run smoothly. Also, they took off the gifs on notes or something? You ruined a perfect app, how sad.","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_KbuC-y54XPsD3xj-3v2013b-3-qYLNiCFT3k5frY=s32-rw","Cari Cruse","","November 10, 2022","Longtime user of Evernote (since 2009!), desktop & mobile, really frustrated. This app is unusable. Editing or creating new notes can't be saved, app has to be force closed to get out of it. Sad. Evernote was an amazing program the first few years, but has been dreadful the last several years with glitches & crashes as well as them removing ability to easily export all my notes. Moving to something else.","21 people found this review helpful","Evernote Corporation","November 11, 2022","Hi Cari— We’re very sorry to hear about your experience and would like to investigate this issue further. Please reach out to us at appreviewhelp@evernote.com from the email address associated with your account - we’ll be happy to help."
