"
  Flipd: Focus & Study Timer","username","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu-Pt1GWGxEvNAa7zL-ruSZcGogTLrRO97UlPwkqdg=s32-rw","Madhusree Banerjee","August 27, 2022","I was using it for more than 3 to 4 months and the experience was great. Multitasking mode is great but does not work everytime( while taking a break by pausing the app when the multitask button is on, if you have to use another app in this period you might feel disappointed after switching back to Flipd). Worst part is recently it is not saving the study time. In addition to the previous version had 1hour sessions which is a terrible missing in the new one.","14 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","April 27, 2020","The app has a great design. But it lacks 1. user customizable app whitelisting. 2. Automatically start on scheduled time. I think these two features are important for the app. Also, as it works in the subscription model, it would be better to get these features rolled out at the earliest as it might be easy to lose customer base.","86 people found this review helpful","Flipd Inc.","April 29, 2020","Hey Preethi, thanks for taking the time to leave a review. We appreciate your feedback and will share this with the team. - Melissa",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9oSqLvlVV9GDqg8o-P7L4jHOIVBdmNORJX0CDlNg=s32-rw","Himanshu Bindal","July 5, 2021","The app crashes way too many times. The timer stops midway automatically and the progress is lost too which defeats the whole purpose. The app has lesser and no new features like work with a friend, as compared to the iOS app even after buying their premium service. Problem still remains after the update. The times stops automatically and the progress is lost. And additional features are still missing.","25 people found this review helpful","Flipd Inc.","June 30, 2021","Hi Himanshu, thanks for your review and I'm sorry for the trouble! Can you please try updating Flipd to the latest version?","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","February 3, 2020","Flipd is the real anti phone addiction App I was always looking for! It force shuts you out of your phone. Literally! The only thing Is.. there actually is a way for you to close the app and exit the force shut, but only if you're fast enough before it shuts you out of the previous apps opened screen as well. The app will be a total beast once this bug is fixed! Rating it a well deserved 4 star. Only wish the white list could be customizable. Do that and Flipd will be untouched by other apps.","14 people found this review helpful","Flipd Inc.","February 4, 2020","Thanks Miks03  for the kind words and feedback. We will share with the team. - Melissa",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","January 29, 2020","I have been using this app for over 2-3 years and I have been overall pleased with the app, having ranked among the top 5 users. It's saved me hundreds of thousands of minutes and I'm really glad. However, it sometimes stops working midway, meaning that the countdown suddenly stops and I am able to access all my apps and even delete Flipd. I have recognised two reasons why it generally happens: 1. If I charge my phone when it is underway 2. If the battery dips below 15% Please rectify!","44 people found this review helpful","Flipd Inc.","January 29, 2020","Thanks Ananya  for your kind words and feedback. If you continue having trouble, please send an email to info@flipdapp.co. - Melissa",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","October 16, 2018","A really good app! Helps me stay productive and get id of distractions when I'm studying! My productivity levels have gone up ever since O got this app. Unfortunately, it does not allow a custom timer for the free version. Also, I'm not sure if we can create a custom whitelist, because I'd like to add an app or two in it. But otherwise, really good app!","9 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","October 7, 2019","This app does help me stay focused. Well created. Id like to bring to your notice that the time the app takes to lock the screen once minimized is sufficient to uninstall it. Since i know this, it takes a little extra effort to stay off my phone. All I would have to do is minimize, quickly uninstall, use my phone instead of studying and reinstall afterwards. It would be great if you could probably reduce the recovery time of the lock so I'd be locked out for the selected period.","7 people found this review helpful","Flipd Inc.","October 7, 2019","Hey Ankita, we're so happy to hear you enjoy using Flipd! Thanks so much for your feedback. We'll share this with the team. - Melissa",""
"https://play-lh.googleusercontent.com/a/ALm5wu3U9y9_xIKKrFDCBZXU6GZfJCYk3K6gMpBlAFRSbg=s32-rw-mo","Aditi Agarwal","August 26, 2020","It took time for me to adjust to the old flip but I did and it was good. It was a place just for me and now the entire interface is so social media-istic, I simply hate it. The old flipd was supposed to be for me and just for me, and now all the 'just for me' features are locked for premium and the entire thing is 'community' based. This was supposed to be an escape and now it's neither peaceful nor mindful. It's hectic like any other mind- draining app.","17 people found this review helpful","Flipd Inc.","August 27, 2020","Hi Aditi, thanks for your feedback and taking time to leave this review! Have you considered upgrading to a premium subscription? If you enjoy all of Flipd's features, subscribing gives you access to everything! If you're interested, send us an email to info@flipdapp.co and we'll set you up on a free trial. - Alanna",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","June 3, 2019","I like the app, it has made me more productive especially the phone lock down option. However I would like if it has option to schedule full lock especially during night time. Reminders don't seem to help me :) I read elsewhere that even premium doesn't have that option yet. Would be great if that option is introduced at the earliest.","3 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","February 14, 2019","DO NOT , I REPEAT DO NOT INSTALL THIS APP I had installed this app and it encrypted my phone and modified the system settings in such a way that I was unable to click photos, screenshots , open any social media app or anything. It felt like hell. Finally I had to take my phone to the service center they had to factory reset it in order to fix it. But still my SD card is encrypted and I couldn't decrypt it and lost all my music and photos ( the ones without backup) . So please I request you don't INSTALL THIS APP. Try offtime it's safer and doesn't encrypt your phone.","4 people found this review helpful","","","","Show review history"
