"
  Focus To-Do: Pomodoro & Tasks","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a/ALm5wu3RlDRFbpaoTcgKu6-I9LYtkx_V6MLzmLpStrd6=s32-rw-mo","Shreya","September 23, 2022","It is a great help in studies. Especially the flip mode, once the timer is set you are supposed to flip your phone or the pomodora will turn off. This really helps with tackling distractions. Overall really great app. It's only my second day but I am already very impressed.","37 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9pSalpye31m5YyI4DLQp55l94Zor_D-9pGq8oPdg=s32-rw","Gokul Hemanth Kumar","May 6, 2020","I've used it for a few hours and so far I'm loving it! Helps me focus on a single task, one pomodoro at a time. I'll be using this app regularly. Edit: Alright, in my previous edit I was unfairly harsh and reduced rating to 2 because I didn't know I was using a free trial of premium. But I really love the app now, even with the limited free version. It has a great design, and the integration of pomodoro with to-do is just beautifully perfect. Will definitely upgrade to premium someday.","35 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu2ltZ9-iezy_Wvl96_fA3_nFXfZ3xC4rvGoRGtH=s32-rw-mo","Devansh Arora","May 14, 2020","The features of this app are really amazing. This app has everything required. Maintaining logs and statistics as well. But one big problem, is that it keeps crashing. After my study session I come to see that the timer stopped in the middle and no record is mentioned of anything. That's annoying and because of this I'm not able to maintain my stats to analyze my day. Please fix it.","42 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8_1Om7zx3QlyqOTnmuPEA2D0fhdi8ImKCaJMROgw=s32-rw","Viku Achumi","February 10, 2022","One of the best apps available on productivity. I have been trying out different apps on the subject. Luckily, I stumbled upon this app. The features available are apt for anyone seeking to minimize digital distraction and thus achieve one's optimal potential. Enjoying every bit of the features available. Only one issue is that, the premium subscription is bit over priced for students. But overall, it will be worth an investment. Five ⭐.","128 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","March 31, 2019","It's a good app. It HAS boosted my efficiency. I use it for studying purposes. it needs to have a few minor adjustments tho. needs a little tweaking. example: when i have set a task, and I do my 25 mins + 5 mins brk, then that task should be shown as completed automatically instead of me having to manually click on it. well inshort, the team have made a very good and reliable app. thanks","7 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_6THA0aodoC9WnuK06869DvwwP7a66g1awelSh=s32-rw","Sankar Enterprises","May 24, 2022","It is a great app that helps you focus. It is very simple to operate. And my favourite feature is that the timer works only when your phone is turned over and that us very helpful and phone is a prime source of distraction. But if you flip it the the timer restrarts. And during the break the timer works while using the phone. You can write in here and keep things as reminder efficiently. You can also listen to music which helps you focus. I would be really happy if we could input our own songs.","152 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-Q-5F_y_yRvzQSUnuUILXbJyKBAm6suVnKi8hK=s32-rw","Akash Balamurugan","October 4, 2020","I loved the app and purchased the free version. I use the windows version on my computer and recently installed the android version. Now for the last 2 weeks, my progress is not getting saved accurately on my windows version. It is extremely disheartening when you have put in loads of Pomodoros in a day, and none of it is saved the next day including thr completed task. I want to give you 5 stars. Please fix the issue.","25 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu12gajVbHM51bXGOxt0sn6vCCSuRhgmv8mKk_Ie=s32-rw-mo","Bella 18","June 3, 2021","Best app. Works properly. No issues of ads even if I am not a premium member. You can even sign in and I think it would give further good options(I haven't done it yet). Perfect app for students. If u are gonna take the phone after setting time, it will start vibrating and that will just make us to keep the phone back. (Psychological move😂). Also you can block the apps to which you are kinda addicted and there is an option to set music too.I just loved this!","3 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-WhrVVZy8xo0Bk_aWBJwbhqTFAVgGs-jvxfCQyKQ=s32-rw","Aastha","February 21, 2022","I recommend this app for students like me because it has made me very productive and much more inspired to study. It has all the features like a plant that grows when you study, to do list, pomodoro timer and even more. The only reason why I put 4 stars is because I wanted to request the developers to enable the reminder feature for free because the premium is too overpriced and I cannot purchase it. The reminder feature which reminds you about tasks is essential for us students. Thanks 😊","181 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu3dseMYKmTctesTClokEBUsnoeJCe-UttMmfwJR=s32-rw-mo","gaurav tiwari","July 24, 2020","It's a very good app- especially the wide variety of white noise options ..but I'd like to point out a few things...firstly the icon for the timer (one of the three icons at the bottom of the screen ) has no purpose- couldn't figure out it's use..secondly the free version expires really soon taking away the most of the white noise options..before I could explore which feature suits my method n mood ..you need to let us have it for a while to be able to like it","12 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8JBOVQcfiAeWDsO0kFt61TNZ4MP2HdzsFaCvljZw=s32-rw","Venkatanatha Sarma Yerragudi","April 12, 2021","This app has a very good interface and really great way of presenting reports. I have a few missing items due to which it gets a star less: 1. There's no support for repeating tasks. I have to add the take everyday. 2. There's no variability of time slot per application.This needs to change evey time manually. 3. It's seems to be a Chinese app and I'm worried about data privacy","18 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_A3Fka56VqZdf8IzHa2zI1hmgghT4xkG0_mNQF0UI=s32-rw","Ganesh Narayan","May 27, 2022","Helps me run the day smoothly. I like the app lets you create tasks and assign Pomodoros to it. I can keep track of how many Pomodoros I've spent for each task. Also, I can switch between tasks, which is very essential when you are a creative person. Overall, great experience. Just the thing I've been looking for.","76 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","January 4, 2019","It's good. It has white noise and stuff...it lets you focus. You can't access any other app if you are studying and you can only when you are on break(which is the main point). You can also disable some distracting apps(like YouTube). You got your progress(daily progress...). It's a cool app for people who can't focus on studying.","2 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9EOfwjRDoVu-NQi65Ux2jcr6UHVuFPk--ZjUBe=s32-rw","Sheetal Kukadiya","February 18, 2021","Perfect for pomodoro timer. If you mainly focus on timer, this is best one. It has music for work time and breaks which is ideal. I don't know about the tasks thing because I don't use that but overall good experience. Definitely recommend Edit:Timer is not working, I play it in the background in notification in my phone cause I need to use YouTube, after sometime it resets and I lose all my progress, removed 1 star","1 person found this review helpful","Show review history"
