"
  Focusmeter: Pomodoro Timer","username","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu8k9bZglccQZm5HQS5OHYIIVKsN8t5CQcu_-Nbc=s32-rw","Sukesh Panwar","August 9, 2022","I absolutely love this one but there is one huge issue. It randomly stops ringing. All the device volumes are up and there is no do not disturb running. In fact I have put this app as an exception for do not disturb mode, but still there is no alarm. If this crucial issue is fixed, this app is perfect.","11 people found this review helpful","zeitic.co","August 10, 2022","Thank you for your review! Please contact us at zeitic.co@gmail.com with more details and we will do our best to investigate this issue further.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_XHD_QygIy0ZJQoCZHvOrpQ2zWfewxXC08zEQsWg=s32-rw","Malvika Rk","June 11, 2020","I really love the app and this concept of creating customized focus sessions! I am facing this problem where the sound doesn't come even though my phone volumes are up. Hope it gets fixed soon. Also , I have a few suggestions : 1- Adding custom color to the bars would be great. 2- A todo list that you can choose for tags. 3- Maybe an optional alarm would also be great because sometimes we lose track of time and the break automatically goes on to the next focus session. Thanks!","52 people found this review helpful","","","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8F1voqgARzTY472BRWquYH9ZtNhjvtVz5-GaMlDw=s32-rw","Paradox Praveen","October 22, 2020","I installed because of the interactive graph. But the app has many many bugs. 1. If I start the timer at a time, pause it in middle and resume it, and end it some other time, it showing that I completed the task continuously without break, from the starting time. 2. If I minimise and come back, the timer restarts from the beginning.","20 people found this review helpful","zeitic.co","October 27, 2020","Thank you for your feedback and highlighting these issues to us. We look forward to hear more from you, so please contact us at zeitic.co@gmail.com and we will try our best to assist you.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9YjDdQBNyIpkaEke1sDORZxu0pW1WrMgfVk_HvClU=s32-rw","Sanchii","February 13, 2022","Trust me when I say this, I've used every study timer available on Play Store. This one is so easy to use, minimalistic yet fun. It won't distract you, just simply help you analyse how much you studied in a crisp way. This is a great app for deep or shallow work, absolutely loved it. We get EVERYTHING for FREE. Please add a to do list and synchronisation with Google Calendar pleaseee","39 people found this review helpful","zeitic.co","February 8, 2022","Thank you for your review! We will continue to improve Focusmeter and make it even better!","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-szlv1yE6BUsAOcIyjlPib4ipuxA3lETNkucM42w=s32-rw","Abishek","September 5, 2021","The app is very functional, there are few bugs like everytime I try to change the tag in the timer it changes the start button to fast forward for no reason. The bigger issue is how do I transfer my data to another phone if there is no individual account nor any other way to import the data which is exported from the app.","12 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu94h0pxTfQOgMufqk56af-tnlINboeR5emgfXR1iw=s32-rw","Manasi Badgujar","September 22, 2020","Liked the app. But I think there's some problem because it buzzes(completes the schedule) whenever I check the timer. It is weird. I am not sure what's wrong; maybe alarm stops earlier but doesn't buzz and then it buzzes after I see it. Well, I am confuse but something is surely different or wrong. Please look into those buzzing settings; make sure it buzz on time.","21 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9_mXGgGAYyjRDDDj93kywudOEdu-XkmNP6KAmu3Q=s32-rw","Shiv's Mail","April 22, 2022","It's a decent app and works quite effectively unlike some others app which don't give alerts when timer is completed. The only issue I have is that everything is in minutes rather than in hours which makes quite difficult to analyse if I am studying. Hope they think about this Edit: now again there's issue. When I set a timer it automatically counts 8-9 hours. The experience is getting bad day by day as it disturbs.","14 people found this review helpful","zeitic.co","March 24, 2022","Thank you for the review! You can display your progress in hours instead of minutes. Please go to Settings > Interface & Display > Display Completed. If you require further assistance, please contact us at zeitic.co@gmail.com and we will do our best to help you.","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu07rNLKtO9153ElN09KUgRNRDTTuYgGHK074CKg=s32-rw-mo","KRØM","September 6, 2022","Everything about this app is good except for the alert function and I've figured out why. It will only alert after the timer end which is the entire set of focus and rest. It won't alert the transition between focus to rest, nor will it alert while on loop. I hope this can be fixed. And if I may add, I also would appreciate the ability to adjust the the timer up to the second. Overall, the app will be perfect the alert issue can be fixed.","9 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8o3-9zGSeXAc5e8YDWRAU5cPv0pac9Es2RTUow=s32-rw","Sakib Sonnet","October 9, 2022","App is great for focusing on daily activities. But the overall experience is hampered because the alert system (alarm) is not working. It's not making sound while the focus time is finished. I have checked all the settings, but It's not working. Disappointed...","2 people found this review helpful","zeitic.co","October 12, 2022","Thank you for your feedback. May we know if the vibration alert is working? Please provide us with more details at zeitic.co@gmail.com and we will do our best to investigate!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-chQ5GjQ845WT8tyXeEOujTAh36HWRsZGwTnJU8w=s32-rw","Pradanya Singh","September 19, 2022","It's a great app with amazing features! Except that the end timer alarms aren't working. The vibration is there, but it doesn't play the alarm sound I have set. Sometimes it leads to loosing the track of time. Pls fix this issue.","2 people found this review helpful","zeitic.co","September 19, 2022","Thank you for your feedback! We will investigate this issue and release an update soon!",""
