"
  Forest: Focus for Productivity ","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu9Tlxe3Oo_icJgCWU2wiKDSTtJ3sN9Fvb9SxRq5=s32-rw","Monjul Hazarika","Show review history","October 10, 2022","A really good way to track your time while doing tasks. The concept of gamification of time management means it provides a fun quotient to the tasks that I'm tracking. I could also view my progress in the form of a forest that is really intuitive. One thing I'd have liked to see was custom tags on the free version. That would have made tracking progress even simpler and intuitive. Also sometimes it doesn't notify when a task is completed which can be frustrating.","24 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_pB-7yCdXu-BERLUpmtytYDbKntvjZ_MAOZqkIrQ=s32-rw","Aman Tiwari","Show review history","October 17, 2022","Hi. I have been a long term user of Forest. I really like using it and am therefore a pro member. However, one major concern I have is the absence of Pause button. At times there are many occasions that I had to run for work in the middle of the schedule, hence unable to track my work effectively. Also, option for timer or stopwatch will be beneficial. Kindly incorporate the feature in the next update. As of now I have shifted temporarily to Engross. Hope to get back soon.","210 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8CfDaOmZv6G18nLRTWfm8qlmAYrrT5Afs5fwKjZQ=s32-rw","Prama Maji","Show review history","September 9, 2022","I'd say it's a good app but the reason I give 3 starts because I planted a tree for 10 mins as an example, to see all the features. There's a ""give up"" button but I can still just press home button, use other apps and the plant still grows. I'm a big procasinator lol. And my phone's ""focus mode"" is better, doesn't let me use my phone for the set time, has exceptions for 4 apps and emergency calls. This app doesn't fullfill my needs and most of the features are behind a paywall.","167 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_Qm1mpXmlHc5n-rKNiqOMIkjrNjtg84uX_hrJw=s32-rw","the TOP stop","Show review history","October 14, 2022","I have an issue that I want to be fixed in this app and that is there is no pause button in the timer. so if someone wants a break or wants to have a pee or something there is no facilities to stop the timer and it keeps running and includes the brave time in it.so there shall be a pause button to facilitate a small break between large sessions. other than that this is a very productivity boosting app which promotes healthy work habits. love it.","88 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-9-BR-DBkLA-3jfu1EGZkDMn47IxbSyFCEvfrkzQ=s32-rw","Akhilesh Bonde","Show review history","October 1, 2022","I like forest. I've reduced a lot of distraction from my phone. But I'm facing a issue since months. I could not add my friends from my side . They have that 'adding friends' option on. Even on clicking on add friend symbol, it doesn't do anything. Doesn't do anything means doesn't do anything. I've tried everyway to add. But it doesn't work. If there's a way, please reach me. I even switched the device, the problem is same. Ofc I've reinstalled and all. Please look into this. (I've premium**)","20 people found this review helpful","Seekrtech","October 3, 2022","Hi,
Sorry about this, we have already relayed the issue to our development team and are currently working on it. Thank you for the report and please let us know if you need any more help. Thanks once again!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8A8_EjaWcurlvk8BH2O1tf_9v6oAviiQxz_wySvA=s32-rw","Roshni Chourasiya","Show review history","August 20, 2022","It is a good app to track your activities but it won't notify you when it's completed lol. And also when you check it on the main screen it shows more than you did today and when you check it again after closing the app boom it's decreased. I'm facing this problem for so long that I had to give it this rating. Please fix it causes this is a big issue asap. And also if you add an option to calculate your focused time in hours it'd be easier for users to understand","79 people found this review helpful","Seekrtech","August 23, 2022","Hi, sorry about this. This article may help if you didn't receive notifications: https://faq.seekrtech.com/Forest/articles/106. The problem of incorrect focused time on Home page may due to synchronization delay. Please sync your data manually in Forest's Settings and try again. If the problem persists, please email to android.support@forestapp.cc"
"https://play-lh.googleusercontent.com/a-/ACNPEu8fHJuamshEf5pqLhIbKSfy0QFcqfG0Gwa57lEK=s32-rw","Lyricia Rupsa Desarkar","","August 4, 2022","There should be an alarming system at the end of the focusing lap. Otherwise irs very difficult if you have to keep checking the screen whether the time is over. It's a major mistake. And another major mistake is It doesnt track.other apps .suppose my focusing lap is on and I used YouTube, the tree diesnt wither, it depends upon me to press GIVE UP. This doesnt work","139 people found this review helpful","Seekrtech","August 5, 2022","Hi, Sorry about this. Please refer to the following article and adjust your settings so that Forest will give a notification sound after each session: https://faq.seekrtech.com/Forest/articles/106. Besides, a block screen should appear and block you from using other apps. If this isn't the case, please email us: android.support@forestapp.cc"
"https://play-lh.googleusercontent.com/a-/ACNPEu8aPy5p9XLshuYHtSYgqL7ToPoiHlDQC-QAqoCg=s32-rw","Adhiswari Kar","Show review history","June 13, 2022","I would just rate it five stars for being the best app for studying ! Honestly it deserves five stars but the only tiny thing that I dislike is that in the free version, we only have a few species available to purchase with coins earned. While the pro version has so many beautiful trees that cannot be accessed by me yet. So it would be really appreciated if some really pretty species could be unlocked with coins :) It's just my request though, and other than that, it's the best!","20 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-1bHZo6AQRAwzM_vRTeyuf-Nb6jA8JDISP58_gFQ=s32-rw","Sabyasachi Sahu","","August 5, 2020","The App has a very good story behind the focus aspect and has gamified the whole concept. However, anyone looking for just a pomodoro technique so that they take timely brakes should not be using this. This is primarily to increase focus and not to remind people who get too engrossed in their work to take a break. There is no alarm at the end of a session.","56 people found this review helpful","Seekrtech","August 6, 2020","Hi,
Sorry for the inconvenience. Please go to Settings page, enter FAQ, and go to ""Tree-planting and counting"", then "" No notification sounds after planting is finished"". If it isn't solved, for the free version, please email android.support@forestapp.cc. For pro version, please email premium.support@forestapp.cc or contact us via in-app feedback."
"https://play-lh.googleusercontent.com/a-/ACNPEu8PcZ6zyGf9AUcc4KDlwN_dr9RwCLv00LF6NYRY5Q=s32-rw","G","Show review history","May 2, 2020","This is the worst update ever! It upright draws up on your home screen and you literally can't do anything. You can't use the whitelisted apps then what is the deep focus mode even for? Such a waste and you basically need control of the whole mobile including notifications. And the response team they don't even care. The best thing you can do now is roll back to the previous version. If anyone is facing the same issue, hit the post was helpful button, it at least helps them to notice this issue","95 people found this review helpful","Seekrtech","May 6, 2020","Hi there, 

Please contact us via our in-app feedback system! 

To visit our in-app feedback system, please go to Settings and enter our FAQ first. 

Once there, please tap on the top-right icon and you should be able to contact us. Thank you and sorry for the inconvenience.

-Forest"
"https://play-lh.googleusercontent.com/a-/ACNPEu-WONLziGkPRg6l1nV59HDPSi3foA1HXB4IuIJCQA=s32-rw","prakhar rawat","","May 23, 2020","I usually don't review apps but have to do this one. Really impressed by the design and flows. But what's even better than it makes you do work. The deep mode is well crafted. Kudos to the minds behind this app. My only suggest would be the back button used once the tree is planted. That button looks more like an email button to reply. Changing that would surely not make a big difference but it'll be more pleasing to view things in unison.","153 people found this review helpful","","",""
