"
  Fun Habit - Habit Tracker","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu_698q_89Z55ZitkFDsp3gpH-Kmh2n3PSVMpAR7lIc=s32-rw","Karishma V.P.","Show review history","July 21, 2021","I have sampled many Habit trackers but was never satisfied until I found this one. It is the only one that has all the features that I need. I love the interface, it's very easy to use and see. Just what's required with minimum fuss, no complications, and nearly everything has been thought of. A very reasonable yearly payment too, though the free version is also enough. I also get quick responses to any question from the developer. Well done and thank you!","18 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_rK6meLKlLm_SCjC9VgUKdUx6W1QpbdIROe8olIZY=s32-rw","Molly","Show review history","September 24, 2022","Edit - Random range isnt working, or needs an explanation. Reward = 1 & Range = 100 gave me both 0.59 and 1.91. I don't understand. I just want a simple range of 20-35 coins for example. Other feedback: 1. The ""Set Habit Type"" option disappears. To change from ""Repeat"" to ""Single"" I have to make a new habit, disrupting my data. 2. I can't disable ""Timer"" in ""Custom Modules"". 3. Please add a duplicate habit/wish function. 4. I wish you could long-press then slide to edit habits. Thanks so much!","","SimiDev","September 26, 2022","Hello, the random range of 100% means that the final amount obtained is -100% to +100%. Once a habit is created, it is not possible to change the single/repeat  type, because changing the type may cause statistical distortions, so it is prohibited.Other problems will be fixed or considered as soon as possible. Thank you for your advice"
"https://play-lh.googleusercontent.com/a-/ACNPEu8SuEzp6t5CK9OEip1zBcUsQwDR14R9V7xvJPip=s32-rw","K. Patrick","","September 11, 2022","I don't understand why the reviews are so low. The app is working great and despite the learning curve, its powerful and very customizable. Pros: a functional widget you can check your habits off and see number of days completed, customizable reward system, affordable one time premium fee (RM 18+), easy tutorials, not many ads. Cons: undo tick for a habit is a bit tedious. This is the best habits app with a flexible rewards and punishments system.","4 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9b-vu-PbF6Ab8puoYH8fET2FkhnnmF33yuFpdB=s32-rw","Rohit Gupta","","September 24, 2022","Everything is best... but you should have given your own notifications instead of integrating it with calender.. There should also be a ""complete"" button in the notification","3 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_cmMMg2xSvm1oz9vtnFtUioBmnVX9rP28huL6X=s32-rw","Otter Modular","","November 16, 2022","Simple and clean UX, responsive dev. If habit trackers that give you a virtual pet to take care of stress you out, this is a great alternative!","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1wFhr6NR6_VDSHmn8p-SZAkut7JGO-7CL_0_VD=s32-rw-mo","Waylon","","September 20, 2022","This is the app I've been looking for but would really want the following features: Different coins for certain rewards, such as 10 workout coins = 1 food Wish or 10 cleaning coins = 1 hour games Wish, but you cannot spend 10 cleaning coins on 1 drink Wish, etc. Also would be nice to have a tier/conversion Wish, such as converting 4 drink Wish to 1 bad food Wish, or 4 drinks + 1 food Wish to 1 Brunch, etc.","3 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8st4p3dkCDWaHRGh-R85jXFGbMQr7PjFI8-_2g=s32-rw","Mike Lee","","June 23, 2021","Very nicely designed habit tracker app. It has beautiful user interface that is easy to understand. You can add icons to your habits, describe them, etc. There are also charts where you can see your progress. Note for devs. The text on the 3rd page of welcome screen is cut. It goes beyond the the screen.","10 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-dmqAd8IFlJwvA1tVj29RfzYahVNcdMpOmGQSPLA=s32-rw","Daniel Halíř","","October 15, 2022","Very nice app. I tried lots of habit-tracking apps, but this one has everything I need. Thank you!","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_ZY3CrlUnWQOp8rGBIVJccbiuUJLIdKErwchGByw=s32-rw","October","Show review history","October 15, 2022","Add a pomodoro timer and this is the best habit app! love it","","SimiDev","July 22, 2021","Hi,  one time payment"
"https://play-lh.googleusercontent.com/a-/ACNPEu_moiKOdd7iM1glb24LmGRGdkrXll5KJGxGdl3YYg=s32-rw","A J","","July 8, 2022","It's a really good app! I love how easy it is to use and the reword system. But I don't like when the app uses the phones calinder to remind you. I","1 person found this review helpful","","",""
