"
  GitHub","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu8hrrVFcUMcKza32VXlkSIG-15c_rigB9HzaWiYyvI=s32-rw","Nicolas Noble","November 2, 2022","The UI/UX of the app is really bad. It offers less features than the website overall, and unlike other applications, it forcibly captures ALL github links without offering to go to Chrome first. Actually opening the website on Chrome is a challenge now. BUT I can't uninstall it if I want to keep the two factor token it provides. I hate it.","22 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu1ieUlT45krPeFw-SHVouot31-xBAu9ANF6vaQS=s32-rw-mo","Nils “bash0r” Jonsson","November 12, 2022","The functionality is still pretty limited. But what is there works without any flaw. I would really appreciate an overview over the github actions and at least a simplified kanban board. As soon as the mobile app reaches a greater feature set, I'll be happy to give more stars. TLDR quality software but still limited features","5 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-7BYkUMY8TKdb2nlmI7xwrxf1do95XBEWUKCuCXw=s32-rw","Jørgen Kalsnes Hagen","November 1, 2022","Decent. Not as intuitive as the website, and a few features are missing. Usually I just end up opening GitHub up in the chrome mobile browser since it's easier to do things there","8 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8h3WSYj8frTQn296fSTZ261pN-nhlmlS2RBV4d8V0=s32-rw","Jordan McRae","October 28, 2022","Has pretty much everything you'd need for quickly referencing things on the go. Obviously not as robust as the desktop app, but absolutely does the trick. It's nice being able to review and merge PRs through the app.","13 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu2k0_ucPyuuiyN9NKKsYPrV1wUq5ZRLwdq_Oosu=s32-rw-mo","Maksim Beliaev","September 8, 2022","First of all, why cannot you enable the same amount of notifications as via email? That is missing Second, There is clearly an api issue. I have a triage role in org, but in app I cannot even change a label due to permission error. I have to open mobile browser to do that. Button to share feedback via community doesn't work, since there is no guarantee that somebody will pick it up. My question is untouched for months","40 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_nN-zGFwLx6tbSn0JMHCUHnCXZD-9sADR8XmAM2g=s32-rw","Ngelemar Weapons","September 16, 2022","The Approve popup for Two factor authentication doesn't automatically pop up or show as notification in the taskbar or dropdown notification. I have to launch the app first and still refresh the app so I can see the popup. It's annoying sometimes.","12 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9AER7lAEEJasdX9fbqPW_sj7TO4LcgUzcJ8VNkJho=s32-rw","Róbert Papp (TWiStErRob)","August 11, 2022","I've used it for a year or two, but I'm uninstalling now because it's still an extremely frustrating experience compared to the Mobile web or even the ""Desktop site"" in Chrome. Missing functionality, buttons, cannot share code, deeplink, highlight lines, navigate easily. Oftentimes I got stuck in the app, with the back not putting me back to where I was. Automatic capturing of GitHub links means that I can't escape the app even in situations I know can't use it. Please make the app open-source!","111 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu97lYX3zce2NTs_jBnVgqxbQ8K7X6o1t0pRm2cLz8M=s32-rw","Adam","October 14, 2022","Use to be great platform but I own my account since 2017, have nothing bad on my account. Actually nothing had changed with my account since 2017, only thing I added was a guide on steam deck windows guide and my account got flagged. I contact the support and no reply back for over 1 week. I give up on github. To this day I'm still waiting for a reply the ticket is still open and account still flagged.","26 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8VQ_PRqVijLcrNbcDlOKAq_jqffQ6MPWVqS_N35g=s32-rw","Zach Cake","July 19, 2022","I feel bad, the PC version of this we use for work but the mobile version is genuinely one of the most frustrating app experiences I've had in years. Hard to find anything, no obvious way to change an issues category within a project, things aren't where you expect them to be or just flat out can't be changed. Others might have a fine experience but I did not, sorry devs! Coming from a fellow dev I hate writing bad reviews, but this one really frustrated me to no end :/.","229 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8QTp-jLurMQBBQASTVpBAls5N8A4npbLdgXES-=s32-rw","Mihail Chifligarov","September 6, 2022","Works good as expected, with a couple of hiccups: 1. I couldn't find the funcion to download a repo as a zip file. 2. Markdown Math Symbols (such as $/frac{x}{y} $) are not being rendered at all, although the browser version has no problem with them.","5 people found this review helpful",""
