"
  Google Assistant","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu-jDGi_TLfPaX6I6WnI08uoiHamRMp3A7fyaWmr0w=s32-rw","Mohammad Mesum Hussain","Show review history","October 24, 2022","It's one of my favourite Google app. But recently it has become very buggy. It answers my question and then when I go to so other app after that, it repeats the answer.....even when it's not in the recently opened apps view. This single bug is annoying me a lot. Otherwise it's just perfect. I use it very extensively and love it a lot. Very handy for doing some basic and repetitive tasks handsfree and quickly.","269 people found this review helpful","Google LLC","October 24, 2022","Hi Mesum. Thank you for reporting this issue. Can you please submit a feedback report and tell us a little bit more about what you're experiencing so we can investigate further? Open Google Assistant App - More (three-dot menu) - Send feedback, this will help us ensure that this gets reviewed by the right team. Thank you!"
"https://play-lh.googleusercontent.com/a-/ACNPEu_bMaP8wn8RwmpL0EPoT67civhQvwVysSLzsWXGbg=s32-rw","Varshith Gowda","","July 10, 2022","App is good. It's actually too good. The app is compromising device security. Many OSs disable quick settings access on lockscreen for security reasons. But Google assistant can disable data, wifi and Bluetooth from lockscreen with a voice command. Even though it responds to owner's voice only, voice can be easily mimicked. To prevent this, we have to disable assistant on lockscreen, then we will lose other functionality as well. So it will be better if there's a option to prevent this.","1,329 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_CzPUJyeft3s2Wh5KqiY-XcoCoAYVpAIdXiom9=s32-rw","Michael Shirley","","October 30, 2022","There's a lot of 1-star reviews here, particularly for Driving Mode, for very good reason - it's rubbish. Android Auto for Phone Screens worked much better. There's a ton of functionality issues with this app, but I suppose I don't need to worry about them anymore as I now see a pop up telling me that the Driving Mode app will be disabled next month, but will be available via Maps. Hey Google, how about a dedicated, fully functional Driving app for all of us who don't have car multimedia?","99 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0AfrqB3TUAmuSZ_vVmBxtM2hOq3ubtqw0kTdXe=s32-rw-mo","Ray H.","","October 24, 2022","It used to work perfectly until 2/3 days ago. Now it keeps saying it doesn't recognise my language which is English. Tried varations such as UK, USA, Canada, Australia and New Zealand but to no avail. Very frustrating, albeit irritating to the extreme. Why can't Google sort out these issues instantly. Undoubtedly I'm not the only one pulling their hair out!!! 😡","51 people found this review helpful","Google LLC","October 25, 2022","Hi Ray. Thanks for reporting this issue. Have you tried these steps to retrain the voice model (See ""Teach the Google Assistant to recognize your voice"" section): https://goo.gl/TBeJX7? If that doesn't resolve the issue, please submit a feedback report here: Open Google Assistant App - More (three-dot menu) - Send feedback. Appreciate it!"
"https://play-lh.googleusercontent.com/a-/ACNPEu9AmZn11XANlTscyIv6Pb4BN1_3y7XaIDhsnFnQHA=s32-rw","Mark Mcdonald","Show review history","September 26, 2022","It works when it wants to. I loved using it, what happened? Something I did? I retrained it multiple times. Rebooted multiple times. Sometimes works, most times it doesn't. Please fix ASAP! Any updates? I work in I.T. and this would NEVER be acceptable. Taking way too long to fix. How about backing out your update which seemed to cause the issue. And stop telling people to retrain. I've done that multiple times to no avail. Epic fail Google!","498 people found this review helpful","Google LLC","September 11, 2022","Thanks for your review, Mark! If your application has a problem, try the steps from the article: https://goo.gle/2H5hF5N. Alternatively, if you continue to experience issues with this, please create a post in our Google Assistant Help Community for our experts to assist: https://goo.gle/2Ts2BnR. Hope that helps."
"https://play-lh.googleusercontent.com/a/ALm5wu1GuFpa2F-l55se6mJJz8o_9a_c80VCkQ_0H0BE=s32-rw-mo","Bilal","","November 19, 2022","Generally misunderstands very often. Keeps turning on all the lights when requested to turn on only a specific one or when asked to do a completely different task. This seems to be a problem many people have. I have it for over 3 years now, still not fixed. Otherwise helpful. That's why the 3 stars.","1 person found this review helpful","Google LLC","November 19, 2022","Hi Bilal. Thanks for sharing your feedback with us. We're constantly working to improve the Assistant experience across all devices, so we'll be sure to pass this along for you."
"https://play-lh.googleusercontent.com/a-/ACNPEu8k25DkZrVNGlTwx5FKhBaxpJG13233q26SSJ3-TQ=s32-rw","Kyle Juelfs","Show review history","October 27, 2022","All of a sudden I can't access settings and it won't work with Android auto. Beyond frustrated at the moment. I can no longer get assistant to do things while I drive. she replies with ""I'd like to help you but first you need to check the notification on your phone"" so I tap the notification, a brief window appears then disappears and back to square one","135 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu95qd8_VoPHz00qrrSBdZQ754xB3LEc9JuWziKJ=s32-rw","Corey Beth (Aquarius Dawn)","","September 17, 2022","When Assistant is working properly, it's great! Unfortunately, that is almost never the case. Saying ""Hey Google"" (or OK Google), 90% of the time she doesn't answer. Voice recognition is set up correctly, & since she does answer the rest of the time, I'm not sure what the problem is. Also, she tends to go off randomly. I guess it hears ""Hey Google"" when I'm talking to a friend, or something on TV sets it off. But it's really annoying that it answers when I DON'T want it more often than when I do","427 people found this review helpful","Google LLC","September 17, 2022","Hi Corey. Thank you for reporting this issue. We've identified the problem and we appreciate your patience as we work to resolve it as quickly as we can."
"https://play-lh.googleusercontent.com/a-/ACNPEu8q9XW6cj2Ph7pii7_sbm9m8EsEvWKj34rL_bvsOg=s32-rw","Erin LeBlanc Wilder","","November 7, 2022","Attention anyone who ever used a reoccurring reminder, you can't delete/edit them. The buttons you see are useless. If you set up a daily reminder that is no longer relevant, too bad, I hope you enjoy seeing it every day for the rest of your phone's life. I spent over 2 hours with the help desk trying to fix this and the ultimate answer was- you can't fix it, but maybe try doing a factory reset. You mean I have to lose everything on my phone and MAYBE your delete button will work again? Nope!","74 people found this review helpful","Google LLC","November 8, 2022","Hi Erin. Thanks for your review! If your application has a problem, try the steps from the article: https://goo.gle/2H5hF5N. Alternatively, if you continue to experience issues with this, please create a post in our Google Assistant Help Community for our experts to assist: https://goo.gle/2Ts2BnR. Hope that helps."
"https://play-lh.googleusercontent.com/a-/ACNPEu9nDspI1xOKvVNZmBT8_X1THQsqWV7JnvihxjWZ=s32-rw","JSF Echo","","November 4, 2022","This app will not respond to my voice or the microphone at all. I am inputting this with my voice feature on the keyboard. So I know the microphone works. When I push the microphone button on the bottom of the screen to open assistant, it does nothing. It does not respond to my voice at all. This just started like 4 hours ago. I've tried to look at permissions. It's grayef out. I've looked a notifications that's also grayed out. It just stopped working. I've rebooted. I've reinstalled. Nope.","163 people found this review helpful","Google LLC","November 5, 2022","Hi there. Sorry to hear you're experiencing issues. Please create a post in our Google Assistant Forum for our community of experts to assist: https://goo.gle/2Ts2BnR. Appreciate it!"
