"
  Google Photos","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a/ALm5wu09lKm8bwwbGAbgtxaYV5yYri6g7wF7clu0_wpJ=s32-rw-mo","Hannae","November 3, 2022","The greatest photo app in my opinion. I really wish you remove the ((+ new album)) option from library.. or place it at the bottom of the library as it really hinders the visually immersive experience. There is no need for that option in library at all as clicking it doesn't let you add photos from folders. You have to manually go inside folders to add pics into it, which I don't mind as the app is smooth and pleasent and it is easy to find photos & move them around. Lens & othr features run gr8","3,993 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-_tMz6Emz6WDltfp2cLiqQ7f_8pb7Jv3wkozdotk4=s32-rw","Wesley Mani","September 24, 2022","I would give 3 stars, cut away two. The app is great… to look back on specific events to find memories, and to know their timeline. Happy.... however I reduce two stars because it doesn't have another option like creating a new folder to store photos, organize them to reorder photos alphabetically, reorder them by size. Due to that, its difficult to access photos easily. There is an option for that in Windows.","13,634 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_2VudKeYHjp0iGXdrFb7CPiL7uwGqbNwwtmqx3qw=s32-rw","Satyendra Kumar","October 29, 2022","👎👎👎I've been using this app for more than 5 years, never had any issue with the app. But last week I saw that almost half of my backed up photos are not there, the contacts that shared photos with me, are also not there and everything was also saved in the library but it's empty now. Everything got deleted by itself. And I never delete any backed up photo. They say everything is safe, secure and private to you, how can this happen then?👎👎👎","2,731 people found this review helpful","Show review history","Google LLC","May 25, 2022","That doesn't sound good, Satyendra. Try following the steps in this article to find your photos: goo.gle/362y6wg. If these didn't resolve your issues, can you please post your question in our Help Forum so product experts can work with you to resolve this issue: goo.gle/3o5JIVl? Thanks."
"https://play-lh.googleusercontent.com/a-/ACNPEu8RiQf9SztudKCF4f9hfBf-ooEZADwWDdVt0endYA=s32-rw","M Webbily","November 19, 2022","The photo suggestions are fantastic! Sometimes ill tale multiple photos of a landscape and stitch them together, but Photos will have that as a suggestion if I don't get to it right away. I also like the slide show option you can add to your phone's home screen. There are several settings so you can cycle through your most favorite photos and moments. There's even frams and size choice. The editor isn't too bad, either. Although I prefer photoshop or paint shop pro. 🤔 😁❤️","440 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu201xSPFX3Nuk93egG1rjwRVZEHvnTpLmKUtk0h=s32-rw-mo","Christina","November 19, 2022","All the photos have the correct date when you click on them but when you search for a date they are all under the wrong. When I search for Christmas photos from last year, those showing as 25th December are actually from the 18th November and you can only see this by clicking on each photo. What I can do in editing seems to vary by picture and I recently had an issue with double of every photo which resolved itself after a day or two.","294 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2OwyyNCSjP7wijZ1nPSOCkWrAnXN-_mXfCUyZUb_U=s32-rw-mo","Isioma Obiora","November 20, 2022","I'm not happy with the service the free up space tool wiped out all my photos and videos on my devices which have been backed up. Now I can't restore them back because they aren't backed up in folders. I'm so pained. I tried to cancel it but it didn't have a stop option. This is so bad. How can I get them back. Let all photos be showed in folders not date to make location easier. I'm still not happy. I think you should remove the free up space icon or make it possible for it to be disabled.","30 people found this review helpful","Show review history","Google LLC","November 20, 2022","That doesn't sound good, Isioma. We recommend that you take a look at the steps in this article: goo.gle/3sMNu9A to learn how the free up space option works. If you want, you can also share your feedback with our team here: goo.gle/3sPwq2I. Thanks."
"https://play-lh.googleusercontent.com/a-/ACNPEu-V_G9ym2JCNjLooio4IqrscgUqUSxaJgMBvAsZsms=s32-rw","Alex Felix","October 30, 2022","I'm honestly getting annoyed at this app. For this being the default app for my phone, it's lacking some key features such as sorting my albums. And within those albums you cannot sort either. And upon updating, they have once again cleared my bookmarked photos. I could find a better photo gallery app in my toilet. The one positive is that you can look at your photos. But good luck finding a specific one in a timely manner or doing anything beyond that.","3,900 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1LIFSuY7g3Eokf6gvSrNZEozcKC8csJrHFBMsf=s32-rw-mo","vic_ramsden","October 30, 2022","Usually good, but every update breaks it more. After editing photos, either with the markup tool or by cropping them, I can't save the changes. The ""done"" button exists, but nothing happens when you press it. Can't uninstall/reinstall as it's a system app. Tried force stopping it and clearing the cache. Nope. I wish there was the option to install the previous version of the app.","1,973 people found this review helpful","","Google LLC","November 7, 2022","Hi there. We're sorry to hear you're having trouble. We suggest that you take a look at this article: goo.gle/37eSSXM to fix problems with the app. If the problem persists, we ask that you post a topic in the Google Photos Help Forum to get help from our experts: goo.gle/3o5JIVl. We hope we helped."
"https://play-lh.googleusercontent.com/a-/ACNPEu_yTHjzMtclLTlwPgavTWOcuyi1tTIl8lKC7FpH5Q=s32-rw","Laura Jordison","November 7, 2022","Easy to organize photos in different albums. I really like the Locked Folder option to hide some photos. Limited editing, but I do not do much editing so it is perfect for me. I prefer this program to the Gallery program preinstalled on my phone. There are fun things to do such as animations and videos. Links right to an option to make photo books and so on. Any ""glitches"" or such have been minimal for me and I have been able to figure them out myself. Thank you!","203 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_Z50AliHmx3shcj53Frbmt95XGxaqCG1sY7YZMZg=s32-rw","Titanium X","November 19, 2022","The new update sucks! There's a new bug and it causes a video to freeze, unfreeze, freeze and so on. No matter if I'm connected to WiFi or not. It didn't do this before and I was wondering if it was something wrong with the video itself, but when I tried it in a video player that I installed it ran smoothly and perfectly fine. I'll change my rating to 5 stars if you can fix this issue. I'd appreciate it. 🙂","117 people found this review helpful","Show review history","Google LLC","November 19, 2022","Hi there. We're sorry to hear you're having trouble. We suggest that you take a look at this article: goo.gle/37eSSXM to fix problems with the app. If the problem persists, we ask that you post a topic in the Google Photos Help Forum to get help from our experts: goo.gle/3o5JIVl. We hope we helped."
