"
  Google Tasks","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc"
"https://play-lh.googleusercontent.com/a/ALm5wu3YNloMoTLCT4REDLefzgYJrYLuslJzwOtf3g0xefs=s32-rw-mo","Raghunathan K","Show review history","November 12, 2022","Very useful to keep tasks on hand from going out of sight and mind. Integration with Google Calendar is a bonus, and really useful. An option to add notes to tasks and sub-tasks would be helpful. While deleting completed tasks keeps the app clutter free, sometimes I felt the need for looking somewhere to see what all has been completed over a period of time.","36 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8tSgLvhXwYd8HEEGL-RyoKQL6Hj3C_i0XpJ6GkVA=s32-rw","Matías Alejandro Sasso","","November 19, 2022","App integration into Calendar is faulty. Can't have repeating Tasks beyond the month. They are set to repeat indefinitely and there's no ""till date"" parameter. And when trying to fix it things just go haywire. Deleting and creating similar ones one adds to the problem. Specially aince it does not allow to add tasks in the past. It is really helpful to keep track of things. Please add this functionality Devs, after repairing the core functionality.","6 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu0-Lb_YDv_mkQcpNZwhkxEgaq3XM3jB0MSSkBuY=s32-rw-mo","Chad","","November 9, 2022","Wish I could choose to re-arrange the starred items list. And also that it was possible to change which list a task is under AFTER setting it as recurring. Doesn't seem to be possible. Also wish it would allow to re-arrange the order of the list headings with a long press and drag. Additionally! Would also also be nice if it were possible to re-arrange the order of tasks within the day they're set for while the sorting option is set to 'date.' Works mostly well with some annoying issues.","49 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8tNo2y-vp7Ukd_ibs3oRkmJx2vBVYHpdSySk-QDN8=s32-rw","Chance Evans","","October 26, 2022","This app is lacking. The fact that I can't move a repeating task to a different list is just inexcusable. I mean, why? I really hope Google puts more time and effort into Tasks. I'm a fan of using the native apps with an OS. I'd also like to be able to drag and drop tasks in Calendar. Doesn't work for all day tasks for some reason. I'm holding out hope! Don't let us down, Google.","289 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu1zGfn_LhLw12ZXEJvWYV6tdodxpmKz0dvHeVgr=s32-rw-mo","Cathy Freese","Show review history","October 10, 2022","Completely useless if you have recurring tasks. Recurring tasks only appear once. Once you complete it the 1st time, it doesn't reappear on your list until the DAY IT'S DUE. You can't plan ahead. You have to open GCalendar in order to plan ahead for recurrences. If I have to open GCalendar anyways, I might as well just make recurring reminders and not even bother with tasks. Tasks is supposed to be an easy to view ""to-do"" list, but completely fails with recurring tasks.","327 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8nEOEQ8_EaTDnH5OLO-Hp9_PnmFYpiiFKsUgEsXQ=s32-rw","Cindy Guthrie","","November 14, 2022","The app is very useful. Having the subset task to the named Task works really well. And the Details option under each Task, I use to ex: contacts name or who to speak with while performing said Tasks. if necessary.Each Task also can be assigned a time/Date Option and/or repeat so also nice. Overall it's an easy install, focused on user preferences Subset Tasks option). and layout is simple but all you need is covered, I believe.","13 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu0acikm0iuLa8eVX0Ojy48_SpCyh0WmojAPr2s1=s32-rw-mo","Betty Peterson","","November 13, 2022","I've been using Gtasks for years. I would use the send to put a copy in my email as a backup in case something happened in Gtasks. I lost all my reminders a few years ago! Now the send feature isn't working. Nothing happens when I hit send. I miss this feature. Please get it working again.","2 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu3eAn12yuCT4Ygf2N4Y9_l63AjImaF2UeuRa2yw=s32-rw-mo","Matt R","","November 5, 2022","Would love to have sharing capabilities for the tasks. I was looking for a task list for some groups I'm in and I like this one, it's easy and simple, but I can't share. Not real time time anyway. I think having an option to keep completed tasks on the list instead of disappearing would be nice too. I know completed tasks are still viewable, but the order changes.","64 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-XvVUYwzjomXMXnmoEa8UGjuONQjTOflQMt8HvQg=s32-rw","Bryan Buckley","Show review history","November 3, 2022","Used to be the better tasks/canvas website. That worked reasonably well. That website is no longer alive, so am using this app now. Within the first five seconds of using the app I can tell a lot of features are missing, most notably: search... something Google is supposed to be pretty good at!! what a joke. Can't print/select and copy all tasks in a list.","108 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-nBUgndIV8bIJuOgpqEH12yePksQh2Yplkx0L7LA=s32-rw","First-Thought // Giver-of-Will","","October 16, 2022","it's great, but could use more features and integrations with various things such as Google Assistant and Outlook or Google calendar. also all these task apps have one problem which is it's easy to accidentally delete a task by swiping in my opinion, this doesn't really bring as much convenience as it does nuisance. also, I wish I could collapse subtasks as they make my task view polluted.","151 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-P6FDLdw7ZH8t5O-aKSE2C6Qid_2fnWZlo4x_2qJQ=s32-rw","Steve Millar","Show review history","November 3, 2022","Update: I've sadly had to change it to 3 stars, as twice now it's lost important information I've entered by the time I reopen the app. Google, please fix this frustrating bug! Awesome for making notes of what you need to do. I am pleased you can make different lists. Only reason I've given four stars instead of five is that there's no option to add new tasks to bottom of list - they automatically add to top, so I have to reorder them every time. Small price to pay for otherwise perfect app imo!","31 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9ZsektiRUNmkQnyU9y9Y0mZQXfihj6Hr_5zIDKNA=s32-rw","Ekko Brown","","November 2, 2022","Definitely helps keep me organized. This is the 4th task taking app (to do list type app) I've tried. So far, this one is the most functional and useful. Adding color for the more visual learners of the group would be nice, and maybe a pleasant come for completed tasks. Not necessary for the functionality, just pleasing. Overall, pretty great.","50 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu1WajI268UCrL-Z40UmnBKDZ2toMPOZn1UypLg=s32-rw-mo","Ben 000","","November 10, 2022","It's overall great but the way it's displayed on my screen is infuriating. It's listing it from the latest task at the top. I'm being hyperbolic but it's about medication so it would be great to have more control over the displays of the widgets.","3 people found this review helpful"
