"
  Habit Tracker","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu_w9OyFNrAoUS1dk573-8_ZsnA--SPszyxVawmC3g=s32-rw","PRASIT DE","November 2, 2022","This is a great no frills habit tracker app without any pesky ads. Does exactly what it's supposed to do with a clean and minimalistic UI. A couple of suggestions to the Dev would be to add a threshold option while setting up a habit(like no more than x); if it's crossed then the streak would be broken. Also to add time as a unit, if my wake up time is 7am and I wake up at 7.30, it should show as failed and not aggregate the daily time in the stats. Thanks a lot for creating such an amazing app","5 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-jqcXxrE5Nu4bsLtV-6_Pjqz-lm0sI9mHzDMx3zA=s32-rw","vivek singh","September 16, 2022","First of all I would like to say that this is a great app with a very clean look which shows the progress which you want to see. Only, one feature that I like you to add would be for the Habits where we need to put values, if it can show a threshold line for the minimum requirement, or if the bar colour changes for the days you were not able to achieve tour goal that would be great. I hope it gets added in a future update","20 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9XBX_dCpgTkCxD6d8jAYVrxeET8vrgA6OqP3spwg=s32-rw","A.R.C","November 11, 2022","You are an absolute Chad for making such an App Free and Open Source. Its Clean, Simple and Intuitive. I have a few feature suggestion. A target that increases by a set amount after a set amount of time could be helpful. Say you want to improve a habit by 1% everyday. Then the target amount should also increase by 1 percent everyday for that task. This would allow for gradual improvement over an extended time frame, which in my opinion is better than completing a static target amount.","3 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9Suuhl4vb33jGdKPouUyWcHLOWncxazRYIWDoblw=s32-rw","rosily rajan","July 12, 2022","Dear Alinson, The app is phenomenal, simple and great one. It has been a great value ad. Please can you help by adding ""Search Field to Find a habit"" on the menu. Please help with provision of updating time schedule across each habit, it would add more to the benefit because habits when developed consistently across the same time, builds a human being's character. And lastly a provision for compartmentalising set of habits. Thank you so much for this lovely gift. Take care.","56 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-N_S6Bh2T1pjQNq2C5Aj8RAu2WX7QPD0bL6eQ=s32-rw","Shubham Jambhulkar","March 5, 2021","The app is all great!! Using it since a long time. While using i always feel that there is one thing missing. Because of that one thing i have to look for other apps. I like all the features of the app but also i don't like the calender layout. Can u pleaseee make changes in it and give it a traditional calendar look. Or at least give the option to choose among the 2 layouts.","12 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_4GHivfC20KnaAokEgwO5BvuDgZS_ahG0T-942WV8=s32-rw","Bhaskar Paul","July 18, 2021","This has been my favourite app to track and develop habits. It also seems to incorporate the idea of habit inertia where you're allowed to miss a day or two if your overall commitment is strong. The ux is simple and intuitive and dark mode looks great. Unlike other so-called premium apps, there are no distracting bells and whistles (or ads). Overall, a simple and effective way to build your habits. Is there a way to support via donations?","80 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9t5lChCVcAuhnBuYQXVw659horXu4dYvA0FDBvWw=s32-rw","Ayaz Akhtar","June 23, 2021","This is exactly the app I was looking for!! Simple interface, minimalistic design, no-nonsense app. On top of that: no adds or in app purchases. And a powerful analysis tool. What else could one ask for? Brilliant work I must say👏👏 Has made my day😊. The only issue is that sometimes, the notifications fail to pop up. Then it gets a little annoying. So, if you can bear up with that then this is the perfect app for you. I hope this bug gets removed soon","97 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","January 15, 2019","Excellent app. An app which has a holistic and simple interface for activity scheduling. Its very easy to understand and use. Its a checklist cum schedule. It gives you a live report card which is the most important aspect. If you are addicted to the screen, avoid ticking the list after every session to reduce screen time. Just mark it on a paper and tick off at the end of the day. You can set reminders to check mails and messages. No adds or any unwanted suggestions.","232 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu1MJayAymBq43aECexf5cIZdXz8j4zA33XX6sk6=s32-rw-mo","Ankitha Vinod","June 23, 2020","It was a great experience using the app. It does help us to stick to our goals.The graph and statistics part provides an insight into our performance so far. The sticky notifications is the best part , because we feel so irritated with the notification that we end up doing the task just to avoid this notification pestering us! So it might be a great choice for people who procrastinate a lot but would love to get their tasks completed on time . Also , this would be a good Digital Habit tracker !","2 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","April 23, 2020","Absolutely love this app and the service it provides. Really clean interface and helps that it has these widgets that make updating information a breeze. Would be great if you could add some more colour options for the highlight colours, within the app as well as the widgets. No big deal. The app is near perfect for all my needs. Have recommended to a bunch of friends and clients as well.","146 people found this review helpful",""
