"
  Habitica: Gamify Your Tasks","username","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu8EDLtTlLeMRpyV6dSXR9RTh2H4WsBHr3lA3ppfFg=s32-rw","Suleiman","February 12, 2022","The app is good enough and kinda unique because of the gamification system. Although I found it a little confusing to use, not a big deal though, I just had to see two YouTube videos and read a beginner's guide (sarcasm intended). My complaint with it is that it works only online — if I were to make a task while being offline and I connect to internet later, all of those tasks get deleted. This is not a fun thing at all!","85 people found this review helpful","HabitRPG, Inc.","February 16, 2022","Thanks for your review and feedback. We plan to add offline mode in the future. In the meantime, if you’d like to let us know what features you’d use the most offline, you can do so via Menu - About - Support - Send Feedback.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_FINDFLyEe5Mqk5_hjpKTGn0P9jkXCyoJ2i0EoZw=s32-rw","Kushagra Chandak (Kush)","November 22, 2020","This is what everyone should have. It is the ultimate game. But it has a lot of bugs. I can't delete tasks, I can't edit tasks that were premade by the app. 2-3 basic features are missing. I'll change the rating to 5 stars once it is fixed. No, I'll not contact your team or email them the problem. It is basic and you should just fix the goddamn app. Edit : I have updated it from 2 to 4 stars cause major bugs have been fixed. Will make it 5 if the experience continues.","18 people found this review helpful","HabitRPG, Inc.","October 21, 2020","Hey there, sorry to hear about these issues. Please try updating to the newest version, and let us know if you're still having trouble via Menu - About - Report a Bug.","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","February 17, 2019","A very interesting idea. I would give 5 stars, but there are minor bugs in the apps. I can't choose my user name, it says there are all taken. (I'm sure No one else would use it) and I cant add a daily task. It shows an error when I try to add one. ""is not the enum for frequency "" or something similar. please fix this, I really love this idea.","21 people found this review helpful","HabitRPG, Inc.","February 20, 2019","Hi Ravi, thanks for your review and sorry to hear about the trouble! If you send us a direct report via Menu - About - Report a Bug, we'll certainly look into the issues you mentioned.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9UydFKsNN-WeOLww718t4jSGStuP40UuffrMIG_A=s32-rw","Aalhad Sawane","November 3, 2020","Just change the colour of delete/save button in dark theme and I'll recommend this app to everyone I know. Edit 1: They fixed it. Very happy that the devs are so active. I've recommended this app to many people. If you could somehow enable inviting people to parties through links then I'd invite even more friends (as sending a link on my group chat is way easier than emailing everyone individually). Really looking forward to this essential and much needed feature.","","HabitRPG, Inc.","October 21, 2020","Hi Aalhad, thanks for your review! We'll keep your feedback in mind as we continue to work to improve Habitica. You can contact us directly by going to Menu - About - Send Feedback if you'd like to give us additional details.","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu2lg2DIIKLCPCbGQRS9-pDbr68e3ED_352DjcLf=s32-rw-mo","Aayushi Mittal","May 1, 2020","It's an amazing app which makes you stick to your routine. I will surely recommend this to friends and family. I would like you to add some more feature like a timer (Pomodaro Technique) and please provide a option for adding attachments to the tasks. Also if possible instead of notifications reminder alarms are better. I f you could add them I would be highly grateful... Thanks for such an amazing time management App. 😄👍","43 people found this review helpful","HabitRPG, Inc.","May 5, 2020","Hi Aayushi, thanks for your review! We'll keep your feedback in mind as we continue to work to improve Habitica. You can contact us directly by going to Menu - About - Send Feedback if you'd like to give us additional details. In the meantime, there a bunch of productivity/pomodoro-related guilds and they might have recommendations for timers. :)",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9XEQ2_MMjyqUDOeLkIzGd985rBjMyReNTHNl5wbQ=s32-rw","NavySaw23","May 4, 2020","I love this app and all my friends use it and compete against each other. This is a brilliant concept! however the app seems a bit buggy. I was in beta programme and then I was unable to send invites or buy certain items. I thought it's because of beta being unstable so I opted out of beta and reinstalled the app, still didn't fix the issue. I'm the party leader and the group isnset so that only I can start quests, still anyone starts a quest without me knowing and I don't face this on browser.","32 people found this review helpful","HabitRPG, Inc.","May 5, 2020","Hi Navinya, you can send bug reports directly to the developers with Menu-About-Report a Bug, and that will send the team some information about your device to help them find the problem. However, all users in a party can start a quest; that isn't a bug. (There's a setting so only leaders can make Challenges, but that's different). Hope that helps.",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","February 14, 2020","This app is really unique. It has made me interested again in being productive. It's almost like adopting a lifestyle! However, the app is currently having a problem with task reminders. It doesn't work most of the time and when it does, the alert is usually delayed by approx. 10 minutes. Also, it would be nice if the developers provided the ability to make task lists even when offline. Other than that, the app is perfect! Definitely recommend experiencing it!","4 people found this review helpful","HabitRPG, Inc.","May 12, 2020","Hey there, thanks for the thoughtful review!  If you're still having trouble with task reminders, please contact Menu - About - Report a Bug to let them know. As for offline, we wish it was there too, but it's really complicated and we have a very small team because we don't run ads or sell user info. Maybe someday!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu--DYoZoL7MIvyHUDrYN6uZplpBYL55nMDTT1FIAA=s32-rw","Pratyush Sharma","September 10, 2021","The concept of this app is really nice. You can gamify habits, dailies and to-do lists with it. The UI is easy to navigate through and, it is clean and simple. It is helping me a lot in developing new habits and keeping up with my daily tasks. The fact that it is open-source is also amazing.","18 people found this review helpful","HabitRPG, Inc.","September 10, 2021","Thanks so much for your 5-star review. We're happy to hear Habitica has been helpful for you! If you’d like to share any feedback with us directly, you can do that via Menu - About - Support - Send Feedback.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8t26QxO52IbJkFGGyyqSyH_MaNrFOT2jsQYT3saL8=s32-rw","Liane Silva","November 17, 2022","While there is some fun to habit tracking with RPG elements, the app lacks severely in some key aspects. It'd be great to have the ability to organise habits by tags, groups, or colours, and also to set up notification reminders to check if you've fulfilled your habit. It also significantly looses some of its usefulness and fun by encouraging time wasting (unnecessary clicks, clunky menus) and grinding (the diamonds can't be won in any way, and have to be bought, as far as I could tell). A shame","1 person found this review helpful","HabitRPG, Inc.","August 1, 2022","Sorry to hear you’re having trouble learning to navigate Habitica! You may find the resources at Menu - About - Help and FAQ helpful. There's also a wiki that might help answer questions: https://habitica.fandom.com/","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu22PqdVJCNbdzvU4EFvcjb3lz8wGH3iTl2yeUQP=s32-rw-mo","Ivan Martinez","November 12, 2022","I'm enjoying the app so far. I couldn't figure out how to make a group for my family and close friends. It seems like the Party feature isn't customizable and the Guild feature requires currency which I'm not that far into yet. Also, I find it annoying that I can't organize my tasks by dragging it around the way I see fit. The filter is the only option which I have to redo that everytime which gets a little annoying. Overall, I'm enjoying this app as it did help with my productivity.","7 people found this review helpful","HabitRPG, Inc.","November 14, 2022","Hi, Ivan. Thanks for using Habitica, and we hope it continues to be useful! But sorry to hear you’re having trouble learning to navigate it! You may find the resources at Menu - About - Help and FAQ helpful. There's also a wiki that might help answer questions about creating parties: https://habitica.fandom.com/",""
