"
  Memorigi: To-Do List & Tasks","username","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","October 13, 2019","The previous version was kind of better! I gave 4 out of 5 only because of the reduced user experience. The new one - although it supports black theme - is not as eye-picky as the previous version. The font size on the Widget is not adjustable. The icons and the texts are difficult to read and comprehend. I was relying on the icons before. Now the icons are small. For the repeating tasks, instead of the date of the task, it shows the creation date (from the past), which is meaningless.","17 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-9-qZGhqM1z18_FOE4LpGFTOI0LVmOYSgu5eIv3lY=s32-rw","tapan mishra","August 17, 2020","I have been a early adapter of GTD, a variety of them. However each one had its own issue. Some were too tedious and some were just not enough. This one is the latest one i tried and i upgraded just after 15 minutes of use (its that good). Though 4(🌟) is because of only 1 reason - its not cross platform. But the maker is sincere and we know he is trying to come up with web version at least. Best of luck.","8 people found this review helpful","Memorigi","August 17, 2020","Thank you Tapan for your review. Memorigi Web is going to be released very soon. Please don't forget to subscribe to our social networks and recommend Memorigi to your friends, and don't hesitate to contact us at support@memorigi.com if you have any questions or suggestions. Be safe! BTW, if everybody gives Memorigi 4 stars rate will go below 4.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu80KmNaQ5_JvHfMC8MmPdISa3P8ctXAlf61DrG4EFc=s32-rw","Rajeev Kaushal","May 6, 2020","This is a fantastic app here. Beautiful UI and equally good task reminder and segregation. The developer has gone into the minute details and has customised it to suit the needs of all. It has various list to segregate tasks, you can assign sub tasks to task and add notes. In nagging mode it keeps reminding you of your tasks throughout the day. It's an amazing app. You can stick with it.","11 people found this review helpful","Memorigi","May 11, 2020","Hello Rajeev! Thank you for your AWESOME review. Don't hesitate to contact me at rylexr@memorigi.com in case you need help or have some awesome suggestions. Be safe and have a great productive day!",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8EDLtTlLeMRpyV6dSXR9RTh2H4WsBHr3lA3ppfFg=s32-rw","Suleiman","April 17, 2021","Maybe the app is good, but the UX is horrible. At first when I opened the app it was just a blank screen with a '+' button, took me a while to figure out that swiping down from top shows rest of the features 😑 Now, if I want to see my schedule for the next day I need to swipe down, click on schedule button & go to date. When you have to do it over and over again it gets too much annoying 😒 Premium price is too much as well, Tick Tick has far more features and its premium costs like half 🤷‍♂️","6 people found this review helpful","Memorigi","April 19, 2021","Thank you for your review. Feel free to contact us at support@memorigi.com if you need help or want to share your feedback. Regards.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8yp2aIRASWkaqA5leCqUfoqPzMkjfqueN3-IXmXQ=s32-rw","Samarth Enosh Harrison","January 23, 2022","The app is great the UI is the best and snooze feature is just the icing on the cake. I used the free version and it's great. But the lack of a desktop app made it a deal breaker for me as sometimes i keep my phone away and I need to be reminded of important tasks (the web version isn't as convinent and doesn't give reminders). If the app developers are looking at this i would please request y'all to launch a pc app thank you!","11 people found this review helpful","Memorigi","January 23, 2022","There's already a desktop web app. Contact us at support@memorigi.com and we'll gladly help you.",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","March 5, 2020","Beautiful app. The clean UI makes you wanna finish your tasks. Also, very intuitive with different lists for different needs. Don't have to make separate lists for different kinds of agendas. I'd love to see a pomo timer in the app. Overall, a beautiful, minimalist app which actually makes you wanna be productive.","7 people found this review helpful","Memorigi","January 19, 2020","Hi Durwa. Thanks for reviewing Memorigi. Don't hesitate to contact me to rylexr@gmail.com in case you need help or have suggestions. Have a great productive day!","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-P5aKGp_vkzsdmodmPaTe5oHqkJIaJR40L8zbI=s32-rw","Suleman Khan","April 25, 2022","The best thing about this app is that it only looks good, nothing special other than this. They could have focused on UX design as well, but nah. When you open the app you only see a blank screen with a + button, if you want to see your schedule then you have to swipe up, go to upcoming/inbox to see what all you have to do. Well, just try to do this over & over again, and see how annoying this app is. Paid plans are quite expensive too (while the app is unusable)","28 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_h8k2KyiQUjekQ3lxnDDnXFL6m0G1nN_Eol6jW0yY=s32-rw","Zubin Ronnie","September 17, 2021","This app is genuinely brilliant, I've never used a list app this organised and diverse (other than Notion). Even the free version is so useful when used right, no ads, clean platform and UI, clean widget, great notification and reminder functions. All round a great app. Wish they would add a start-end time for events and allow recurring events to be free. Also, when you change colours on a list the existing elements don't change colour. But these are nitpicky semantics. This app SLAPS. 4.9/5.","28 people found this review helpful","Memorigi","September 20, 2021","Dear Zubin. Thank you for reviewing Memorigi. Please don't hesitate to contact us at support@memorigi.com in case you need help or have suggestions. Have a great productive day!","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","February 22, 2020","Great app for managing different tasks at one place. Segregation is very easy. But two important things I really need : 1. A ""Timeline"" feature. So that all the tasks for a day can be previewed in a timeline in one go. 2. A ""Sync"" option for windows or Mac. It will be amazing if we get this feature.","7 people found this review helpful","Memorigi","February 26, 2020","Hi Subham. Thanks for reviewing Memorigi. Don't hesitate to contact me to rylexr@gmail.com in case you need help or have suggestions. Have a great productive day!",""
"https://play-lh.googleusercontent.com/a/ALm5wu1omg3POY6HLzsX2kI_Cqr7TxFZNIetU9waCl1B=s32-rw-mo","Rohit Rastogi","August 18, 2020","Ive been using this app for a few months now, and i absolutely love the UI, especially the widgets and the customisability of the whole thing. But recently, since the last update, it keeps crashing every time i try to open the application and it keeps doing that even though i uninstalled and reinstalled multiple times. Please look into this devs. Thanks!","1 person found this review helpful","Memorigi","August 18, 2020","Sorry for the inconvenience. Contact us at support@memorigi.com and we'll gladly help you.",""
