"
  Microsoft Excel: Spreadsheets","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu-cGBwXhX2oV4pH7oU93Ns_bg6Q7ubZHrSkIncq2K8=s32-rw","william vivian","June 6, 2022","Last update killed the Android Version. As another user reported, the toolbar (which used to be on top), like the full desktop version, is now at the bottom, and very difficult to use. Totally counter intutive. It's become like the mobile version, which is difficult to use. It fails to take advantage of the larger size of android tablets. Microsoft. Please fix!","2,782 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu2_NgYyhYZ5VpP8CIDNIYfn8b4uvLhoEVPm4J__=s32-rw-mo","Leela Gawde","September 12, 2021","Create powerful spreadsheets. Easily edit documents and collaborate on the go. The Excel spreadsheet app lets you create, view, edit, and share your files with others quickly and easily. Sheets can easily be checked, edited and shared on the go. Excel makes it easy to review and analyze data, budgets more while you view and edit workbooks attached to email messages. Edit documents for data analysis, accounting, finance, or any other fields with confidence. When on the go, your data and office.","5,650 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu10jkOlttkWSfl0NcQzeB5QGET9GN5GEXTu9plV=s32-rw-mo","Jason Armstrong","November 11, 2022","I remember the years when excel was a necessary evil. And there were sooo many years like that. They've shown marked improvement over the past 6 or 8 years which has made me an excel fan boy. Their Android app is amazing!! Simple, easy to use, yet has so many features for a mobile app. Don't think that you'll even come close to the full desktop version, but you can do more than you would think. Great job MS!!","160 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu3erW0pb5H6-316DCa6aLMbqJ_cFNd7OeYheqGH=s32-rw-mo","Richard Furtick","October 19, 2022","It is pretty good especially on a tablet. The larger screen helps. On my phone it is okay to view, but to enter anything or manipulate the borders of cells is nearly impossible. I don't know what the solution of that would be because that is a constraint of the size of the device. In general, regarding the tablet, it would be nice to have things like cell size and word suggestion behave more like the PC/Windows version.","154 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8zNsbYO29j7nhh-dJ7E2c3TWcLuWGRoTroXvDNRQ=s32-rw","Chris Evans","October 13, 2022","It's not bad for an app based spreadsheet. I use it for tracking my workouts so it's a pretty basic use. It did upload well from my original sheet and I can download it into my PC Excel to extract data, so that's good utility. Navigation is a bit difficult on a small phone touch screen. I dont know if it would be of much use with a more complicated spreadsheet but I haven'ttried that. So, ya, it's ok.","684 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_0dHRSZc2tmTck5Y5fWRNMjG_Ox75DsIhdWhV_ag=s32-rw","Darren Laberee","September 14, 2022","There's not really a lot to say about the industry standard. Kinda like saying ""using metres is good"". How others are judged against excel is more telling. I don't enjoy the interface on a screen rather than mouse and keyboard, but there is little else to do about that. I do appreciate the 'numbers keyboard, it covers most of the thing you need in that regard.","760 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu21n9gPXxvwntDIW8N09F6r-2sR0CZFnuErtlky=s32-rw-mo","Memphis Richmond","November 2, 2022","Absolutely fantastic. Was a little tricky at first, but keeping graphs has never been easier. I didn't know about the ads until I went to review the app, and I still haven't gotten any! This app is a must-have for busy people, with it's calculation format, and conditional formatting. Amazing job, Microsoft","175 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8jSPJErZ2GZnEm4KHsK9vpYBEEhkT63aj0Trkn=s32-rw","Sugar Bean","September 28, 2022","I've been using excel mobile for years, and after the recent update noticed that I can no longer freeze panes. I primarily use it to track my workouts, and not being able to freeze the column with my workouts in it as the weeks go by is extremely tedious and frustrating, especially since I was able to do that for so long, and now it's just gone.","462 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9FZsYmIqyJN_6rJiCfmpwR7s3KXGN0xjM-zlpaKQ=s32-rw","Tom P.","September 9, 2022","There is a bug (perhaps with dark mode) where the entry box to type in a cell show the text font color in the same color as the background. So the cursor will act like there is text there but I can't see the text to edit it. I have to jump from one app to any other app and back again, then the text is visible. Happens a lot.","375 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-glB70Hs9kLpWGCiBlxvpe3eOxjSRRpwhLLt11_2c=s32-rw","Peter Lupia","August 27, 2022","Useless. Cannot edit page layout, margins, or view page borders. Cannot use select all or any other select command. Plus, it's missing about 100 other features. I put the simplest features because they are the most basic features this software should offer. This is the most broken database software I've ever used. Even the DOS versions I used on an old 286 NEC were more complete than this garbage. Don't install, and if you did, just delete it to save a headache.","627 people found this review helpful",""
