"
  Microsoft OneNote: Save Notes","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu-_9ODKlLTUt6AfYXYb6v7kOpDsXrvVQqNHNVMdlA=s32-rw","Parag Kashelkar","September 4, 2022","I have been looking for something like this since a long time. Using it for my trip right now. All my data, documents, bookings, itineraries, photos that I have on my laptop are automatically synced as I go on booking, researching and adding on my laptop, I have them all on my phone. Working very well across all my devices. I think it's better than Samsung Note and Evernote.","139 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-qJ_m6Afhkvv9yy1uQ49uSXoKowUx7WYgSdIx9NA=s32-rw","Gott Man","June 19, 2022","Edit: it seems they have reformed the interface, so there is a comparability issue with older notes. But it does sync. I got to know it when I added a new acc. But some drawbacks still exist- e.g., we still cant insert tables on the app. Some years back, it was good, but now it's not that good. Pages don't even sync properly. Even what you write in the note may disappear suddenly. For example, the whole article may disappear, or words from sentences may disappear randomly. It doesn't save well.","194 people found this review helpful","Show review history","Microsoft Corporation","April 28, 2022","We're sorry you're facing issues. Check the stability of your network and try syncing again, and make sure your data is uploaded on the server at www.onenote.com. If that doesn’t work, back up your data and reinstall the latest version of the app. If you have issues, send feedback in the app or send email to onandroidfb@microsoft.com"
"https://play-lh.googleusercontent.com/a/ALm5wu2nu2ZzERBoot5ZPqnhg1W9WolaVrMHE7XY-mcY=s32-rw-mo","Sakshi Singh","June 13, 2022","Amazing app for making mind maps since it has infinite pages and you can write anywhere randomly. You can type, edit, draw, sketch, and what not. It also syncs into multiple devices instantaneously, and you never have to worry about not having saved you last work (which I find is the best). However tables and diagrams are not that convenient.","164 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-3AqUdHXJ97w1xW_3nlwdrvUbTfNCO0-a9UEZ52w=s32-rw","Orateng Motsoe","November 17, 2022","Great App, but it is disappointing that some of the features, like (draw to shape, different types of pens, etc..) that are available on the Windows and Ipads are not available on the Android mobile devices. This is taking away from the full experience of this super great app. I am on the Premiur version where this whole experience is paid for.","2 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8tOWfvIhTvriEerKkzDgg3yPG_rD2DejrEwyZKJdE=s32-rw","Ly Smith","November 16, 2022","Ive been using this app for a when now, both on PC with a writing tablet and on a smart device with a stylus. PLEASE add a way for pages to be scrollable. Like other note writing apps, it would be amazing if I could write on normal sized pages, one next to the other. I like exporting to PDFs, using an infinite page makes this difficult. The way ""pages"" are set up right now treats them like completely separate documents for each new page, which is weird.","9 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_cHFLlOtOh9IEmEpagqqKlE2Xl21JXwtlr-AFEig=s32-rw","Damien Widick","November 16, 2022","It serves as my go to place to save everything I would not be able to remember otherwise. The accessibility across all devices and super quick word search function allows me to pull up information almost as quick as retrieving it from my own memory. The quick and accurate search function and accessibility makes this app the most important tool in my personal and business life.","8 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_wz5ljyUAW83E8sPpz39EuoYdzXxd20rO28Yy75TQ=s32-rw","Thad Caperton","November 20, 2022","Nov 2022 Update: Still a buggy garbage app, and it's hard to believe this is a legit Microsoft product. Spacing, punctuation, capitalization, fonts don't work correctly plus lots of other bugs like a password protected page timing out while I'm actively typing in it. Should be amazing. Could be amazing. Shamefully, embarrassingly bad app from Microsoft.","81 people found this review helpful","Show review history","Microsoft Corporation","June 24, 2022","Thanks for sharing your feedback! We’re actively working on addressing your concerns and should have something to share with you soon."
"https://play-lh.googleusercontent.com/a/ALm5wu1-GQ_tBvO455i0S6OM3QyiGj4ulYdCH74wzNQA=s32-rw-mo","John & Ilaria Faleye","October 31, 2022","Not user-friendly when used in a mobile device. What's the point of having the sync feature if I can only access it on my laptop. Secondly, I wish the ""keyboard"" option was the default layout rather than the ""handwriting"" option. Trying to find that former has been extremely frustrating that I'm just about ready to ditch the app altogether and use something else, both, for my phone and pc.","77 people found this review helpful","Show review history","Microsoft Corporation","November 3, 2022","We're sorry you're facing issues. Check the stability of your network and try syncing again, and make sure your data is uploaded on the server at www.onenote.com. If that doesn’t work, back up your data and reinstall the latest version of the app. If you have issues, send feedback in the app or send email to onandroidfb@microsoft.com"
"https://play-lh.googleusercontent.com/a-/ACNPEu-j_eGe-sOXTbV-oZqUO9eqBQJgJdKqGBVbiSq97g=s32-rw","Jeanette Rodgers","October 24, 2022","Used to collect and arrange all sorts of information. A modern way to keep the bits of paper, the quotes, the poems, the articles, corralled and searchable. Loving books and all things paper, in the past, left scattered notes or unwieldy collections that are now in one place and accessible. Personal, general use only, nothing fancy, so as long as it opens and syncs and saves the information, I'm happy.","57 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_tQ5Y67aNu9d4Naceqym45wctPxlE36kS-2_ni_yY=s32-rw","Timur Tenishev","November 3, 2022","Really good for taking notes, especially for studies when you have lots of complex formulas. However, I would like to have an opportunity of additional customization if buttons, for example I would like to add more pen and marker buttons on the Insert tab. Besides, I cannot find an option to draw a straight line in my tablet for some reason, hope you add it 😄","6 people found this review helpful","","","",""
