"
  Microsoft To Do: Lists & Tasks","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu_tI5nyKKokfJ4NLCzeHlHYGSL0g07bIJMuZrjZXA=s32-rw","Eshan Prashar","September 4, 2022","I like the simple interface and integration with Office 365. Small feedback to PMs: as a user, if I have multiple lists in left hamburger menu, I'd like to prioritise ones with more unfinished tasks. You can make that easy by showing unfinished/finished numbers instead of total tasks against every list. Once all the tasks are done, you can show a green/blue tick instead of numbers and give me the option to archive the list","80 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9Qjr8_NI33JAZenOilWU8KF3Fpz3oAub-KrnT2d1E=s32-rw","Eduardo Righes","November 6, 2022","Really good (most of time). My issue is dismissing the text input on a pixel 6 pro. I could not find a way of doing that. It always leave something on screen (I cannot see just the list). I need to leave the list or reopen the text input and swipe from the edges to be able to see just the list. Please fix that. Also an option to clear completed items.","13 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu1XwMav9HX9lcKuGTbk2g2UKTd5317x-7feerS9=s32-rw-mo","Vonnie Chapman","November 12, 2022","I used to be extremely organized & keeping a small notepad with each day's to-do was the key. Over the years I've fallen away from that with more use of the digital calendar - which just isn't the same. This app is PERFECT for a list making person like me. I love the way it's formatted, that you can make sub-lists, and that your flagged outlook emails are noted! There's a certain satisfaction in checking things off your list. Great app!! 👍👍","20 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu2D-FrGuVl0_MjSwcpTTFnRokABaYk_U-WdPNsD=s32-rw-mo","Roberta Driver","November 12, 2022","New to this app but so far seems to be a good app. I have some short term memory loss, so this app allows user to get things done/scheduled on a daily basis. Disappointed when I checked a specific item as completed & it kept coming back on my list as an open task. After searching I found it was previously marked to be reminded ""Daily."" Suggesting some type of message to confirm completion so the user would not waste time trying to figure out what's what.","2 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_Tbf3oSGPCDKS87HEMoH0ATHNrPMQUp1DchnEAQQ=s32-rw","Deb Laakso","November 6, 2022","The app is working very nicely. Like the way it picks up flagged emails from outlook. One functionality I would like to see is an in progress status. Helping me organize my work. Would also be nice to have category priorities. A,B,C etc. Also it would be nice to be able to assign tasks to a specific day. Setting priorities for tomorrow arranging my list.","26 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu2jz0xpBJ9bn_FzQCOlQRAfPjG4MaF2r8fe_bCb=s32-rw-mo","Laura Okada","November 16, 2022","APP DELEATED ALL OF MY LISTS AND I CAN'T GET HELP RESTORING THEM I've been using Microsoft's app for a few years and it was working well until suddenly all of my lists disappeared and I can't create new ones because I get an odd message that says ""initializing please wait"" then nothing happens. I opened a help request but haven't heard a thing! I'm now looking into other task list apps. I had so many lists and so much organization that it's going to be hard to recreate!!","4 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9dXzzl93gN6dmqNboZurACqPKof_VdWZmZK9q7-A=s32-rw","Dominick Dupont","November 5, 2022","I've used it for a couple of days now, and haven't had a single fullscreen ad pop up, where you have to watch 5 ish seconds of it before you can get back to what you're doing. On top of that, the actual app is amazing. Simplistic, but amazing. It has honestly helped me organize and get on top of my life, as I have pretty bad memory issues, so remembering to do things can be tough. With the app, I just write stuff down as they come to me, and if I ever get bored I check the app and get stuff done","5 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-SejVp3gp6pBKJ9qaF4odzmvlckp5EdL4Gbjz6tQ=s32-rw","Cameron Svoboda","October 23, 2022","I use for many reminders, some weekly, some monthly, even some yearly. I love the ability to organize tasks into folders and set recurring reminders. Lately, reminders have been hit or miss, often not going off. I hope this is fixed soon. I also just had a big scare where many of my recurring tasks disappeared, but they returned after I updated. I would still recommend this app... but don't rely on it too heavily.","106 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9yXGr1oxCvx_1hRdXPRAXUsSXFA-gSWV3alFpQ9g=s32-rw","Susie Cox","October 23, 2022","I tried Microsoft right after Wunderlist was discontinued several years ago, and HATED it. However, I decided to give it another try, and I'm glad I did! I like it MUCH BETTER NOW! The dark theme, unlimited open source categories, and ease of use brought me back. I would, however, like to see more solid colors added to the themes, and the capability to add your own photos to use as themes. Otherwise, it's perfect!","63 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8BFpNFAqaAKACokCalh_S_IdVPqjhWuvqUtFIdz8E=s32-rw","Mateo Plavec","November 5, 2022","Good app all around. Works well with my workflow. But something that I miss is an option to 'undo' an action. Specifically in the widget. I sometimes accidentally mark a task as completed and want to undo that. Currently it's a bit hard as I have to open the app and find the task manually to mark it as 'not completed'.","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_XgB1ghaR_nQiKNHTwPGiYbrHOIvdDiEXgFaV3wbg=s32-rw","Kristine Aguilar","November 13, 2022","this app is minimalistic, easy to understand, and organized. it has been my go-to for when i have multiple tasks to go through. the only real issue i've encountered with the app is sometimes my lists and tasks will stop being visible, which is inconvenient and results in me having to either use the desktop version or my ipad.","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu--llQts3Q0-5lz_XE49yt-pckmA0_zDaa2GbA3mzQ=s32-rw","Craig Mills","September 25, 2022","The best of what I've tried and that's a lot. No list or task app really handles recurring tasks well. This one is no different. Most things are great. I like having an app version in windows. Good for sharing. Sub groups would be nice. Moving and organizing can be difficult. Overall 3, that's still the best of the lot and this is the one I still just.","76 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_sQsGAHp_kuIjNNDa2CoHLLwuU2P02IWjxSePszw=s32-rw","Bruce Ogilvy-Morris","October 16, 2022","Just what I was looking for. I am 80 and forgetting lots of short term memory items. This enables me to add all sorts of "" things"" to my space in an unstructured way v easily. Being able to open files without searching for them on a tree and many different entities gathered together for easy access and then being to able to regroup. I look forward to using tasks and reminders compared to Google calendar. Using too on a tablet can be frustrating when lists become long.","21 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu0gXvKzFQINhZpVIc_JzJTrcxX-aYCI9FWg462F=s32-rw-mo","Brittany D","October 22, 2022","I have ADHD. I make lists for everything. I love the apps ability to make several lists, and the ease of adding items to ""My Day"" list. I also like being able to add due dates and reminders. Where it's lacking though, is the ability to schedule the task within the list. I wish there was a way to schedule or time block tasks on my day list so I know what I should be doing and when, and to help visualize realistic expectations for what I can accomplish in my day.","19 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_06JDXeYCiOjtg0UOp6_RxVNHOzxnoMaRULYYViEI=s32-rw","Dominik Bongarzone","October 3, 2022","MS To Do is great, it does everything I want it to, however the feature I use the most, the widget, is very bugged. It generally work but breaks completely if you open the app in any way, it doesn't display new tasks added (even if refresh is pressed) and doesn't allow you to complete them. I have to remove it and add it again. It also bothers me that if a new task is added via the app, it won't automatically show up on the widget unless it is refreshed, which can't be done without Wi-Fi.","39 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9uy70VoQJnRzCItaNBnVjHTb14jtNvd293YvnAPDA=s32-rw","Salvador Muñiz","November 3, 2022","I used to like Tasks (Google) but I was no able of doing certain things like seeing in a single place all tasks scheduled for ""Today"" from the different tasks lists I have. Well, I've found that feature and several others in this app that I'm liking a lot. Real happy with the change from previous app to this one. Edit: Daily reminders stopped working for some reason. I've tried all the debugging steps advised by Microsoft with no success.","6 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8w0B6gQ_6E8hZjRRK9Y553p5p050J0dDCssGr2=s32-rw","Kaleb Cole-Wood","October 25, 2022","Update: in most recent update, all of my list backgrounds were erased and set back to a default blue color. Is there any way to get my backgrounds restored without manually changing all of them? I had a lot of lists. Great app, helps me keep organized. One suggestion; I think that events with a due date set should be able to be automatically be added to the my day list on the day they are due if they are not on that list already. This should be an option that users can change in settings.","33 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8JkfAeyxoKXqIhjBQtfrrj8GKszKLpMvxBu3vchh0=s32-rw","Christian","October 7, 2022","Great app! Keeps me on track. What I'd like to see though is reminders also repeat when a task repeats. Repeating tasks can't be set for a particular weekday for monthly, but yes for weekly...odd. Like I want a repeating task for Sat. once a month...can't do that. A calendar view would be great. When the app updates, my tasks in the status bar disappear but don't return after (minor thing).","31 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9jQDiZ9iUd-7lwxtVfv6LgG-R4JfIYkfK40LteSMM=s32-rw","Frazer","November 8, 2022","I couldn't function without this app. I suffer severe adult ADHD and my short term memory is the worst because of this. I found this app and my life changed! I not only use this app all day at work, but I am also able to share lists with family members who can update with things I need to remember like appointments and engagements as well as being used for a shopping list by both myself and my wife. This app is simple and easy to use. Would be great to add to outlook calendar though.","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8-f08YqUAzhGGx7E2UblWWuGMw_KCgoJuUchA8bwY=s32-rw","Henry","October 4, 2022","Great for household management, it has everything I need, including reminders, which some task managers force you to pay for! Only a couple of things, I would love to see a calendar view, and there's a weird issue when you add an emoji to the beginning of a new list name, it doesn't always replace the default list icon; however, this is a really small issue.","24 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_pEv3HsFBzcrZtoMR1boSBwDy3JMIQPAEE0WJKY1s=s32-rw","Suave King","October 26, 2022","I would like to be able to select all completed tasks and delete them with one click. Its quite a tedious task selecting hundreds of completed tasks when i need to. Please fix this. However, I've seen a few improvements from my last rating which is great. I'm definitely enjoying the app. Keep up the good work!^_^","30 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu9r9oAmKJVMuCG_8T7xGO4h38k5pUtHvD3RoDZu7A=s32-rw","Whitney Millikin","October 11, 2022","Last ""never miss a notification"" update made it WORSE! Loved this app. Now it barely functions. I have so many tasks & lists; so many reminders, recurring or single. 90% of them don't remind me anymore. At all. Some will just fall off after being snoozed, if I'm lucky, & others I won't get notifications for at all. I've done all the settings for not getting reminders, pin the app (though it somehow still closes), talked to support, for nothing. I installed their suggested app, nothing. Useless.","350 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu2Q4PzjxXH2rgALW5axdbR2bGQSQmAx-eiQmZvOPm4=s32-rw-mo","Stacy Peterson","November 4, 2022","Switched to this from Wunderlist and I enjoy it for the most part. I'd like to be able to hide or remove some of the main categories since I don't need anything that says assigned to me. I like the tasks and my day features, as well as being able to add new lists.","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9yoKS14JvUZYiwGelWFtRmDzM0rMK3FTQrcuCW8A=s32-rw","TJ Mills","November 20, 2022","Drains my battery quickly. Often slow to respond and takes a long time to start up. Does not sync attachments from Outlook tasks. I wish Microsoft would write efficient software. If my work didn't use this, I would uninstall it.","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_c-bKjkORUzztYEiNiYc5GXj8IIoeZpSuiQ-e6BA=s32-rw","Katie Woodcock","October 28, 2022","Update: have removed a star. This app is great when it works, but it keeps stopping me from doing anything and saying that I don't have permission to complete the action. I've uninstalled and reinstalled again as I've done many times before which is getting very annoying, especially as this time it hasn't reloaded my recurring tasks so I'm going to have to set them up again. Not good.","17 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_1AuKXoQYVCeijYjSReI2fYbbxKGI2GM5EN3gVLw=s32-rw","Gehad Qaki","October 22, 2022","This is my favorite tasks app. I had Google keep for years but one day at work i used this tool and realized it's easy better at taking your tasks long and short term, and contextualizing them down to what you can do TODAY. Very well designed. Only gripe is i wish there were more color choices for the backgrounds of the lists because i like using different colors for every list.","7 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9o5sg9VzY4fUPP3QNwjw5FT6ShfNQhZx7e4mJUvg=s32-rw","Robert Carlson","November 14, 2022","Stuff just dissappars and has to be regentered, no explanations, just gone. Does not handle grocery list management well. Followed developer's sync instruction, no change, about 100 records just gone. Still an untrusted app. Switching to something else and walking away from TO DO.","3 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu1ZlLWI9JMO796SQnLAEWrf3u_JNmY-_76OxoTk=s32-rw-mo","Mike Appleby","November 7, 2022","It worked fine until MS did an update. All of the sudden I'm seeing some messages in my ToDo list that most people don't want to see (sex messages). I think these were ones that I reported and marked. You gotta love the way they update (and ""improve"") an app after it works fine.","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9PA9pHqAK2eRM9ylDx4zn-dQ9LsttdZ_XpkjxTRw=s32-rw","James Gann","November 17, 2022","Very helpful app. I wish it was possible to assign tasks through phone number and maybe social in addition to email assignment. Other than that great app, easy to use. Can really make divying up tasks super simple. In addition to work use, it's helpful for family get togethers and holidays.","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8KnTUqhSIuV1zD4iyK_z8EoQD5iWG-4jTOESUvdA=s32-rw","Riva Vivienne Joy Parejo","November 17, 2022","Loved it but the widget will not update after few hours. I need to remove and add the widget again to refresh my list. I've tried resyncing, switching between lists, adding a task (it gets added but I don't see it until I remove and add the widget again) none of them worked! I don't know what to do anymore.","",""
"https://play-lh.googleusercontent.com/a/ALm5wu36grztTe60EuYuAA2pMY05Ux777kKanIFX_8yF=s32-rw-mo","Valeriy Filchenkov","November 17, 2022","I need to see exactly when the repeated tasks will be repeated without opening their details (in a day/daily, in a week/weekly, etc) if I mark them as completed on the specific date. Reminders app for iOS is ok with it. That is why I can not use To do app for Android and have to use Reminders app for iOS.","","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu3ywj6nRYOIVOrjkbUKyln0M9L1ErgWJFmDO2UK=s32-rw-mo","Bx Gee","November 9, 2022","Does a nice job works well with desktop, butI like to see the snooze function improved, like and more one click quick options. And ability to set more then one alram per entry. Like 10,60,2 hours - just like in Google calendar!! This is a revisit and I took a star off the alarms still bad","5 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-nraeGrhtP-9K3aYCox7cguKXczE-lUZK4vH9geA=s32-rw","Spannow D","November 20, 2022","Great to see improvement requests being implemented. With the suggestions for quick adding, would be great if they are not starred if they were when they were done. Now need to unstar all and they are not sorted by star anymore. Keep it up though","","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu38XM40fRxklDUR5ePg2rN8y9vUq4uaa0q1iSoz=s32-rw-mo","A F","October 17, 2022","I am very satisfied with this app. I think that it would be great if it has a text to type feature (not sure if that is an app function or a phone function). Also, I think it would be great if you could add things to the my day list before the actual day (this is common feedback on forums). A good work around is to use the planned task function, but this can't be pulled into the phone widget.","20 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8b8rYwSBKdanAITi4jF6e1M0c5oPrTg_Pm_mfVxRg=s32-rw","Laura L. Garcia Andrade","November 13, 2022","I use it for repetitives tasks at home and works really good. I wish it could let you add weekly tasks with not specific day of the week. Example: doing laundry twice a week but with no specific day of the week to be completed on","","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_LDXbS9_Az3GHpRKWiv93QcMplvTEf2m41ZwUgkA=s32-rw","Vivian Thayil","November 10, 2022","This is the best Todo app of all the ones I've tried. The ding when you mark a task as done is also so perfectly tuned IMO. They also recently added groups to lists which makes them easy to organize. Love it!","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8jNV2sBDSzXSqthp3qHncBl1KQj4yEZk_NdMYdJw=s32-rw","Deborah Jacobs","October 22, 2022","I would love the app if spam /junk emails in my Microsoft Outlook email were not automatically flagged to my 'To Do: Lists'. I will be uninstalling the app due to garbage being added to my lists without my consent. Let me know when you have corrected this obvious flaw. I would love to try it again when I have complete control over the lists.","2 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9fud8kyWp9JmEshwsHhWGdY9I12R6zrMGVhEf3EA=s32-rw","V N","October 12, 2022","The app doesn't save my tasks many times in real time, and when I add some step inside a task and come out of it, then when I open the task again, it doesn't add that step, as if some bug has not allowed to save the last changes I made to the task. It should work real time just like 'Keep Notes' of Google. Should have inbuilt app lock just like the Telegram app. It's difficult to move the blinking cursor to the starting of the line and when tried a lot it just swipes the task to delete it.","16 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu3lgt17FTHWvn_Yj0qA_59gpjRwYBPnroqJV8s=s32-rw-mo","KobyS KONG","November 7, 2022","Great App. Kindly add task percentage for both main task and subtask. You can even animate it with the crossing out being the indicator. And also put the percentage selection in the drop down menu.","1 person found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8XdtzkfD-J3OYy1qycgJ3VJbkhLlETmaIKrAwtWw=s32-rw","Neelesh Gajender","October 25, 2022","Great app does a lot of things right. Good integration with the desktop app as well. Has just the right set of features to keep you using the app without being distracted with non essential features. Overall I can't find a flaw. Good job Microsoft ✅","2 people found this review helpful",""
