"
  MindMeister","username","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a/ALm5wu1tKwSk0LcoBU78Z4mTqW4wFu8NKUjLsXv-Fk12QA=s32-rw-mo","Sharan K","July 25, 2020","Needs a bit of work. The app experience is inconsistent on slow connections. For example, creating a new topic would not reflect until a long time. Something like a loading bar would be great to show that the request is still processing. Since there's no feedback, I tap on the ""new topic"" button repeatedly and after some time (after all the requests go through) I see several empty placeholder topics. Also the UX could be bit more intuitive.","120 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1-bVZzXUVXnleE-I_cHFmCGdXZQ2oZ7HuLXh51Wg=s32-rw-mo","Shabnam Rafi","February 25, 2021","The sync function doesn't work and doesnt indicate when I move in and out of a map either. The map on ipad shows the data is present but doesn't get sync even with good internet connectivity for 15 days. I have to redo 15 hours worth data which is brainstorming again because of this! The history function also doesn't help because of this! Absolutely disappointed!","92 people found this review helpful","MeisterLabs","March 1, 2021","Hi Shabnam, very sorry to hear about the issue, may I please ask you to contact us at support@mindmeister.com so we can investigate the issue and further assist?"
"https://play-lh.googleusercontent.com/a/ALm5wu2D8RhlZyGRRUk4I-v7lWugDfNcV5-K-CLM5TL7=s32-rw-mo","Kasey Robb","October 24, 2022","It's a nice looking app, but the android version seems to be buggy. Whenever I try to move a subtopic it will disconnect from the parent topic and connect to the central topic. It will only reconnect to the correct topic in a specific place making it impossible to arrange subtopics in a different order or to fix overlapping topics or messy layouts. Extremely frustrating.","1 person found this review helpful","MeisterLabs","October 26, 2022","Hi Kasey, thanks for reaching out. I'm really sorry to hear you're facing issues with the Android app, it sounds very frustrating and this absolutely shouldn't be the case! I've passed the info on to our developers. In the meantime, could you write to support@mindmeister.com so our team can look into this for you? Best, Miša @Meister"
"https://play-lh.googleusercontent.com/a/ALm5wu0MYFK8_R4inlPZn1LLUg94x7mTqwvPFRvuVpiy=s32-rw-mo","Rowan Erickson","October 4, 2022","Easy to use interface. I've only used the ""map"" option and its really really useful if you're into world-building or if you're a dm/ttrpg player in general. Love the variety of color options and simple ui. The addition of image bubbles in the free version would be incredible","1 person found this review helpful","MeisterLabs","October 5, 2022","Hi Rowan, thanks for reaching out. It's so great to hear you're enjoying MindMeister! Be sure to check out our brand new Community for updates, inspiration and tips on how to use mind maps: https://community.meister.co/. You can also add your feature ideas to the Community and vote on the ideas of others! Best, Miša @Meister"
"https://play-lh.googleusercontent.com/a/ALm5wu0xsUS9qFLyFSnN-tzgtGvvHlf-M7cGJgYYRmCi=s32-rw-mo","ibai santillan","September 9, 2022","Meistertask since 8th of September of 2022, it's limited to 3 projects, much better trello right now. I've been using it for years and recommend it to many people, not anymore, this is the first time I've been pissed off with a company, cos to make money they let us down. What a shame. I've created a new hater in this world, thanks meistertask. And Mindmeister is more of the same, but at least it was limited from the beginning to 3 projects.","6 people found this review helpful","MeisterLabs","September 12, 2022","Hi Ibai, I’m sorry you're disappointed - we introduced the 3-project limit to MeisterTask Basic in 2019 and your account was not affected then. In the interest of fairness, we are applying the same rules to all users. We ’re happy that you’ve been enjoying MeisterTask and we hope you’ll consider upgrading to a paid account. Best, The Meister Team"
"https://play-lh.googleusercontent.com/a-/ACNPEu_B49nhJNCKu6o1Je05Jg-UVI-90wYjDdPMObqDtQ=s32-rw","Mohammad Ghous","October 23, 2022","Its just keep showing "" we are working on our new editor, switch to the old one to start editing"" on all my maps. I don't know how long they are going to work on the new editor. Seeing it for few months.","","MeisterLabs","October 24, 2022","Hi Mohammad, thanks for reaching out. I'm sorry to hear you're frustrated with the absence of a fully functional new editor. We're working hard to develop it and really believe in its superiority over the old. This is our priority and we hope to release it soon. Thank you for your understanding. Best, The Meister Team"
"https://play-lh.googleusercontent.com/a/ALm5wu018P1KSga5tCDx9sV15AtYNRqM53B1X3F8y6C5IA=s32-rw-mo","Mia Alexandra Cardoza Hernandez","September 17, 2022","I used this app for an important homework, I searched for all the information and started working, when I was done I was trying to share by pdf and it wouldn't let me, I tried many different ways and I got stuck, for a moment the app DELETED MY WHOLE TASK I was so angry and the whole time she was erasing parts of it when I went back to writing. I will never use this app or the website.","4 people found this review helpful","MeisterLabs","September 19, 2022","Hi Mia, thanks for reaching out. I'm sorry to hear you're disappointed with MindMeister. If you are on the free Basic plan, you cannot export to pdf as this is a paid plan feature. You can, however, share a link to your mind map for free. If you're on a paying plan and you can't export to pdf, please write to support@mindmeister.com. Best, Meister"
"https://play-lh.googleusercontent.com/a-/ACNPEu_YA413bdhII6DP8G_X9bknfpsq9n8sUpNqqiU07vw=s32-rw","jack handy","August 25, 2022","The app doesn't support the 'new editor' aka any map created on the website without messing up the map. It's been like this for a year. Their support said there is no timeline to updating the app. I was a paid subscriber. I'm going else where. It seems Mind meister spends/cares more on advertising then actually developing their Android app","15 people found this review helpful","MeisterLabs","August 19, 2022","Hi Jack, thanks for reaching out. I'm really sorry to hear about this and completely understand your frustration. All I can say is that we are working very hard on improving the app to be more compatible with the new editor. We appreciate your patience greatly. Best, The Meister Team"
"https://play-lh.googleusercontent.com/a-/ACNPEu9iNH_OppKz_QlxUatodp0kc-YwJLiej4AMW9LFy8A=s32-rw","Joel McKay Smith","October 4, 2022","I've been a user for over 12 years I love the product I don't love new version. There's functionality in the old that I hope we never lose.","","MeisterLabs","October 5, 2022","Hi there, thanks for reaching out. It's so great to hear you're enjoying MindMeister! Be sure to check out our brand new Community for updates, inspiration and tips on how to use mind maps: https://community.meister.co/. And rest assured, we're working hard on developing the same features for the new version! Best, Miša @Meister"
"https://play-lh.googleusercontent.com/a-/ACNPEu_cjtImoZnzytmNUathWOIISGltBaDNbhudGZEsXA=s32-rw","Fauricio Gómez","September 21, 2022","Total scam. It says that you can create stuff ""for free"" but you have to pay to download all you have created. It should say that none of that stuff is free","","MeisterLabs","September 22, 2022","Hi, I'm really sorry to hear you're disappointed with MindMeister and feel mislead. Our pricing page states what is and isn't available on the free Basic plan so that users can be aware before they begin building maps. Best, The Meister Team"
