"
  Minma Icon Pack","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc"
"https://play-lh.googleusercontent.com/a-/ACNPEu8MQsBiJk3LystPCm1FZLVA7jZ_cQ9zHGHyb6qClg=s32-rw","Ashutosh Anand","Show review history","May 7, 2020","Really good , considering that it is a new icon pack . This only con/bug I found was in the feature present in which the non designed icons get a dark ring even covered a thin color ,And the feature by which we can change the color is pretty unique , however I thought that one tap will change the ring to the displayed color, but it was random , so I did it , and kept doing it until I got my desired color , please fix this and make the method easy, other than that it's a 5🌟","271 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8tXjqm7RDeIxoUcIqWc3Waudy3MU0hx5LPcnWp=s32-rw","Derp Derpington","Show review history","February 16, 2022","*!!!!ATTENTION NEW USERS!!!! * Don't get the premium version. Stick with the free version. The creator is not actively updating. It's been 8 months since the last update and premium icon packs should be getting an update at least every 1-2 months. And judging by how other apps made by this creator, this is a trend. Make something then neglect it. I would look for alternatives which is a shame because these are actually really nice icons. Alternatively get outline icon by RandomVector.","562 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9JFGsjgc87nXivpHHSiE7q-_cn3fulU6Ajm4ahpw=s32-rw","Nigel Price","","November 16, 2022","Very good for a free pack. It has a nice Clean and Consistent style. There aren't icons for some fairly popular apps (mainly games) but I will still rate 5 stars because this is free and the expectation is lower.","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8AYaiCvaOnvVmr90zzKarC3h6KdR6WuZR0PEY9BA=s32-rw","Pat K","","February 28, 2021","Amazing icons, they look great. I mainly wanted them to try to help with battery life and prevent screen burn. Oled screens don't use any power for black areas of screen and of course darker areas of screen use less power. I use a primarily black background and combined with the reduced graphics coverage should help (even if marginally) with battery life and maybe image burn. The icons are designed really well which is a bonus","88 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu0zA7TAa3X5ZDbbmddHs95eVrZTwbbzpN55s2Ye=s32-rw-mo","Andrew Gray","","March 18, 2021","I tried multiple icon packs, and liked this one the best by far. The only real caveat is that it is, as noted by the dev, quite limited so far, with only about 1/4 of my apps having icons. It works for me because I really only needed it for my homescreen and can find suitable icons for the apps I have pinned there (I just leave the app drawer with native icons), but if you want an icon for every app this might not be the pack for you.","117 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","January 17, 2020","Not that bad.. some icons like Gmail, Drive and YouTube did look cool but some others like Play Store, the Google app and Play Music were a bit disappointing to look at. Overall, I recognize the hard work that is being put into this icon pack since it's still getting updates so I can say that the app did have a positive impact on me.. Keep up the good work, we might cross roads again and it hopefully will last longer next time :)","13 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","December 20, 2019","I hope the developer sees this. This pack worked really good and I'm using it from the last 3months and matched my theme perfectly. I'm on Poco F1 and now I'm unable to apply it. The icons are not turning into black themed but they look like default icons. This is happening since the last time update if I can recall correctly. 5stars for serving me good but I'd really appreciate if you can provide a solution on how to get back the black theme borderline icons. Thank You.","73 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_mG4uW8OfURxwB7zrBLOqub4EgUikU3nKeJVGa=s32-rw","Isa Swain","","May 11, 2022","A great looking pack. If the dev reads this, I wasted my app requests coz he seems not to have entered his email address. I was taken straight from the app to Gmail to send my list but it ended up bouncing back because the address to send (which admittedly I didn't check) is just a generic 'your email here' placeholder which dev should have replaced with his. Also I was surprised that a couple of common Microsoft apps aren't supported: OneDrive & Office kept their icons. Still worth 5 stars","127 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_59FXjVlMTf3tZ7VCjMTw_Z_4IM9wUuI4MKeqSOFU=s32-rw","Rishikesh R","","December 28, 2021","An icon pack that does well with the icons it has. For the ones that it doesn't have, the adaptive version of the original icon is used, which looks pretty nice as well. Overall, amazing work.","103 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu3q2CukumfNzFFEZF7l_ggDNJjaJLzEcQfTTznbJA=s32-rw-mo","K Walker","Show review history","March 4, 2022","This is a relatively common design, but this pack stands out. A solid design that goes well with various wallpapers and themes. Unfortunately there haven't been any updates since mid 2021. With regular updates, this could be 5 stars, but that must be earned, not given as encouragement.","26 people found this review helpful"
