"
  Music Widget Android 12","username","bp9Aid","review","I9Jtec","ras4vb","AJTPZc"
"https://play-lh.googleusercontent.com/a-/ACNPEu9X4PMbOHbwl5jO_lxnX-Cm1A_1o0JwPrKjJg9YLA=s32-rw","Pavel Dimens","October 26, 2022","It's really nice and mostly works. The biggest issue is a bug that the setting for the default music player always defaults to the highlighted player, even if the toggle is set to Off. The devs need to fix that and it would be perfect.","October 28, 2022","Thank you for reporting the problem, we will work to fix it.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-6qhbiYJs4Y9ud3DHpMzZ23EfTWiXxlyBNDfLOzQ=s32-rw","Tashen Dinal","November 17, 2022","Good looking aesthetics but the album art doesn't change with the song automatically in spotify eventho the controls work. (I have given both the required permissions to the app)","November 17, 2022","Hello. Thank you for contacting us.
This situation is resolved in this video https://www.youtube.com/watch?v=vak1uwBIYCc, try this tip disable and re-enable access to notifications. If you needed write us to lst.developer.10@gmail.com.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-kQj11V6uUMxFGrlF1-xwdjyxZpMpZxrYhB_ennUM=s32-rw","Daniel Casey","October 17, 2022","Just about perfect. Works with Spotify and Pocketcasts. A slight resizing (or placement change) of the volume up/down icons needed. Reasonable pricing to purchases additional skins. Prefer something like this over KWGT.","October 18, 2022","Thank you for your great review, it is very helpful. We keep working to improve our app and will consider your suggestions for the next update.","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-_WSSU6nQXiDH7b6QfYHV8KO13VzdewutvvCS-kg=s32-rw","Lewis M","July 18, 2022","Great looking UI with good use of material you and other colour schemes, no complaints there! However when I actually use the widgets they come out misshapen and just outright ugly compared to the pictures provided, the radius controls do not give any insight into whether that is the problem or whether it requires resizing my launcher doesn't offer? This may just be a personal problem and if so, is a great music widget","July 19, 2022","Hello. We are sorry for your bad experience with our app, you can try to use another launcher.
It would be very helpful if you tell us which launcher you use on your phone, write to us at lst.developer.10@gmail.com, we await your communication.","4 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8La_SwQbwyzygs2E9b0ZyH3_mL8vjpUdeZRgH1CA=s32-rw","Debojyoty Datta","September 29, 2022","Can you tell me at what resolution the cover images are shown correctly without any blurring or cracking. I mean to say the cover images within the widget. At present I am using musicolet.","September 29, 2022","Thank you for valuing our app. Unfortunately Musicolet does not provide the covers as most players do, so our app uses the image that is shown in the Musicolet notification. You can try another player like Muzio Player and you will see the difference. Write to us at lst.developer.10@gmail.com.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9Mh59ljhy8SEmsa8KPcHYveO0mq9CMOw9vWMd8XA=s32-rw","Deebo","August 16, 2022","Probably one of the best music widgets currently, I would use KWGT but I like how this resizes when changing the app grid size and rotating the home screen. The only issue I have currently is that the material you widgets don't stay themed, it seems to revert back to the static blue theme a lot.","August 16, 2022","Thank you for your great review and reporting your problem. We are working to improve our app.
To review your problem please write to us at lst.developer.10@gmail.com.","2 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_77-gcOtRbIjB2JlNTCW-iA5j-lED3C4U6K61QDg=s32-rw","Chris L W","July 2, 2022","It's not bad. My only complaint so far is that, on Musicolet, the cover art is very pixelated. It will start out crisp and clear, then, a split second later, pixelated. Spotify looks fine though. Hence why the two stars","July 2, 2022","We are sorry for your bad experience with our application. Thank you for reporting the problem. Unfortunately, Musicolet does not provide the quality of album art like Spotify. We are working to find a specific solution for Musicolet.
If you have more suggestions and want to help us, write to lst.developer.10@gmail.com and we will reward you with a",""
"https://play-lh.googleusercontent.com/a/ALm5wu2R2BduY4u1BzNJVRb_pUpntaMk5vZeTSgRoLlz=s32-rw-mo","Reilly De Leon","July 22, 2022","It was great at first and I could've rated it 5 stars but after 2 days of using it, the widget suddenly stops working. Even though I remove it then place it back again. Something seems wrong. Please fix it but I will not download this app again since I found another one better.","July 22, 2022","We are sorry for your bad experience with our app.
Thank you for reporting the problem, we are working to fix it.
It would be very helpful if you could tell us what music player you use on your phone.
Please write to us at lst.developer.10@gmail.com.","2 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-Kzw504LSsSq2roE1lwZkbNT1VCm8HXvC5UVQ1IA=s32-rw","Egor Osaulenko","September 1, 2022","Looks nice, feel good. But doesn't display song info after getting back from sleep mode (android head unit in car + nova launcher + Spotify). But controls working correctly. Unfortunately unusable :(","September 1, 2022","Thank you for reporting the problem. Unfortunately your device restarts the applications when it is in sleep mode and that deletes the widget information.
We are working to solve this situation.","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_wiCKTICZ_wvEYfVbDbmSf_mceLfQH4qa0S-Vpv4c=s32-rw","Daz Underwood","June 15, 2022","Nice needs more. Wish music controls could be on the widget instead of invisible. Maybe an option to toggle them on or off. Good but can be amazing.","June 15, 2022","Thank you for your review and suggestion.
We keep working to improve it.
If you have more suggestions and want to help us, write to lst.developer.10@gmail.com and we will reward you with a gift.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8Fa1Bi_2I2wzK8e3t-i-pe9US0xcD0ktQlGOaTSg=s32-rw","Pierre-Jean De Villiers","August 2, 2022","Much better after the update so far everything work as advertised on my samsung s21 ultra. Excellent app. Esthetically pleasing as well. Much better than the standard you tube music widget.","August 2, 2022","Thank you for your comments and for taking the time to evaluate our app. You help us a lot. We keep working to improve it 👍.",""
"https://play-lh.googleusercontent.com/a/ALm5wu1Och4nN3ii1-p281_5cej1cEHppyQhGoKytdXp=s32-rw-mo","Koushik","July 23, 2022","Finally, I got this. I am really satisfied with this widget. No lagging. Free version is good enough. Just one thing you can select only 1 widget at a time. This is main restriction otherwise everything fine.","July 23, 2022","Thank you for your review, you help us a lot.
We will take your suggestion into account for future updates.
If you have any other suggestions and want to help us write to lst.developer.10@gmail.com and we will reward you with a gift.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9ucyo8BM1Jk8df5S8Nfgn3gJ40PsVoBWurzCDHuQ=s32-rw","person not man","September 29, 2022","This worked for my music player when KWGT did not! (substreamer)","September 30, 2022","Thank you for valuing our app, it is very helpful.
We are constantly working to improve our application.
Greetings, Lst Apps",""
"https://play-lh.googleusercontent.com/a/ALm5wu3u5IrIQXZalykneGFwDtWKzqApkMoWBPIp8Z9I=s32-rw-mo","Alick Kio","April 28, 2022","So far the best and most consistent of 3rd party music widgets! Works flawlessly with YouTube music and I am super happy with the aesthetic. I only wish there were more options for the play/pause/skip buttons, as the current ones are a little aged in appearance.","April 29, 2022","Hi! Thanks for you feedback. Great suggestion. We take this into account and will change the icons in future versions.

If you have any other suggestions, write to us at lst.developer.10@gmail.com , and we will reward you with a gift.","4 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_VFQ6stkJubAYtVEQrCAOWjfg39_uhoZ1so23yro8=s32-rw","Quakka","November 4, 2022","One of the best music widget i have tried ever on Android ⭐⭐⭐⭐⭐","November 4, 2022","Thank you for rating our app, we really appreciate it.
We keep working to improve our app, if you have any suggestions write to us at lst.developer.10@gmail.com",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-oYf18067tWEJPaS9G9kxYySAu7bceFDFQqrtp2ew=s32-rw","Naufal Mukhbit","June 11, 2022","great, simple, and easy to use. my only issue is when the widget is at 4x1 size, the bottom padding is missing, while 4x2 just leaves empty spaces above and below the widget itself","June 11, 2022","Thank you for rating our application and for your suggestions.
If you have more suggestions and want to help us, write to lst.developer.10@gmail.com and we will reward you with a gift.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8FGTGEcNgIxCSgfbKYcyKb0BprQs3Xr4IYGkvn9g=s32-rw","Loi","July 31, 2022","Well, sound cloud has a widget but it's very ugly and doesn't match my theme. But this here fixes it, and only around 60cents too! What a deal 😃","August 1, 2022","Thank you for your great review of our app, you help us a lot.
We keep working to improve it.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_QCK2XjrbsZEqmEOyEMst1gRS1hSCXvsiPusk-=s32-rw","javier crespo","September 4, 2022","looks really nice and the controls worn fino, but it doesn't update the dong info and image when i skip a track","September 4, 2022","We are sorry for your bad experience with our application. You can try disabling and re-enabling access to app notifications. Write to us at lst.developer.10@gmail.com so we can help you, we await your communication.","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-d9tU7-1vb4JcRbe6wsdSoqpoimllDVhog4XxPGA=s32-rw","Rick","August 3, 2022","Don't trust this developer. I purchased an app (Spotify Widget) and the app get removed the day after. Paid for nothing. Never again!","August 3, 2022","We are sorry for your bad experience with our application and we apologize. Google removed our app from Google Play due to problems with Spotify.
If you write to us at lst.developer.10@gmail.com we will find a solution for you. We look forward to your communication.",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_3vxwKmD9ErkOscRrJM1q0uyoCWC1vBkVD4__ZMg=s32-rw","Diju Choudhury","August 31, 2022","Play pause button not working and free 3rd widget is not scaled... It needs more space than my screen... I using realme 6(india)","August 31, 2022","We are sorry for your bad experience. Thank you for reporting the problems, we continue working to improve our app. It is very helpful if you tell us what music player you use, write to us at lst.developer.10@gmail.com",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8UJ_TBv2eReGqhZTAyN8HuTsVMGa3atUV8XpuMnaQ=s32-rw","Gokul Manohar","May 6, 2022","One widget to control all your media players. The free version has a very good widget (the long one) and it is the one I am using. Noticed some glitches on the smaller ones, but overall very good app.","May 6, 2022","Hello. Thank you for your great review, it is very helpful. We are working to improve the application.
If you have more suggestions and want to help us, write to us at lst.developer.10@gmail.com and we will compensate you with a gift.","2 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-sQ4AqOWOUjKTYSXP0MAJzNRf_RQ57769XdE8N=s32-rw","Drevian Maclin","May 3, 2022","So far the app is okay. I tried using the music widget with an circle shape but most of it was cut off at the top and bottom of the widget. So much you couldn't see the buttons at all.","May 3, 2022","Hello. Thanks for getting in touch.
Widgets have hidden media controls, watch the video presentation to see how it works or read the description.
We are aware of the image display issue with some players, we are working to fix it.
Please tell us which music player you are using by writing to us at lst.developer.10@gmail.com.
We wait your answer.","2 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8V3FiAAPnXGLQh3ZhY8ggFp0mHpzOGtu5et9xMjg=s32-rw","Antonio","October 31, 2022","Needs ability to use for more than one widget","October 31, 2022","Thank you for evaluating our application, it is very useful.
We keep improving our app and will work to add your suggestion in future updates.",""
