"
  NETGEAR Orbi – WiFi System App","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu_paPYkkWUaM9IRjneOBHVM3b9GnAKyRqhZKV78sQ=s32-rw","Amit Sharma","December 24, 2020","Overall satisfied, I'd say. However this morning(24 Dec 2020) I find the app shows my satellite to be offline, I did all the troubleshooting as described in the manual only to find that when I login to the router management page from my laptop there wasn't any issue at all to begin with! Seems like a bug in the app. I do intend to write to the email address provided here with the screenshots.","25 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu37vrFF9DMOl9FPzqcCm8kXjYHJYuVH5gNX3os=s32-rw-mo","JD Chason","November 16, 2022","11/15/22 Update: I'll give the devil his due. With the update that just came in today everything is working perfectly again - I'm able to login. Despite having deleted the app and reinstalled a few times in my troubleshooting; when I logged in the updated app it picked up everything just how I initially had it set. If you still have the ""timeout"" error; ensure you've updated to the latest app version. Here's hoping we don't have to experience login issues again in future updates.","2 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu1wEP1rQlbjGZgRD6tw6SYVBKrPjk0pozg3niA=s32-rw-mo","Bruce Quigley","November 4, 2022","It seems to work well. This is my second day with the app. I was able to set up the network very easily. It then downloaded all the available firmware updates for the router. So far, I'm happy. 4 Nov 2022 Update -- Like many other users, the app suddenly encountered a problem. It requests a new sign in, then says it has timed out and refuses to run. Rebooting the router doesn't help, neither does deleting and reinstalling the app. The hardware works fine, but the app is pretty useless.","85 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu3LwqdTPsutWf9TwZCkKyTTpDBRb3-x87Gq8a3b=s32-rw-mo","Scott Rogers","November 16, 2022","Terrible app, won't let me connect to my orbi anymore to do anything. No firmware updates, no speed test. Absolutely useless and can't get customer support anymore since my warranty expired, all you can do is look through posts to try and find a solution. Even going through the computer trying to login in to the router the pages won't load. Guess it's time to find a different mesh system that takes care of their customers.","1 person found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu320bNXscwJEQzPfX77biaJLlu6krVu-8RnS03r2Q=s32-rw-mo","John Higgins","November 7, 2022","App worked well. However, the latest update rendered the app unusable. Attempts to to login to router fail with ""Login timed out"" message. I have rebooted the router, uninstalled and reinstalled the app and still get the same error. Logging in to the router through a web browser still works, but not through this app. Please fix. Thank you.","63 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_Q9UH3bKZ685sVNR0qEXNDf5NaYh5AHvEbZcLgGeM=s32-rw","Kirk Potter","November 16, 2022","*WARNING* Previously...Simple, Useful and Convenient. Now... Reoccurring silly login errors from more than 2 years ago. If simple remote management via a convenient app is what you seek, Do Not Purchase the Orbi products until they solve their issues. If you don't care about the app, then the hardware seems to be some of the best I've experienced over the past 30+ years. (Always use a good battery backup)","1 person found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu122x1R72Jr-6goPzZRyw51We0yXjrF7m8iJpZR=s32-rw-mo","Walker","November 17, 2022","Horrible. Don't buy this junk. After the 1.5 year the system doesn’t work. If you get a hold of tech support who continues to have network issues, they will make you master reset. Tech support can be very rude with background noise. There's no answer as to why I have had to master reset this system so many times. Tell me what the root of the problem is because it goes off line, or I can't access from the mobile app, or it won't download the malware that I purchased directly from Netgear.","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_7x4SGuu5VGcwnerZauqqlhzlYS4F6K6ok475xZpA=s32-rw","Chele","November 6, 2022","11/6/22 their recent release doesn't work with the last 3 Android versions! No way to control our wifi now. I've waited over a week for any update from the company to no avail. Maybe this type if review will expedite the fix and improve their lack of QA. Yes, there have been suggested things to ""try"".. reinstalling the app, reboot the router and use of the anywhere option. They do not fix this issue or even offer a work around. Netgear you can do better!","29 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-lhge6kMIX88MmOkEw1t-KVQCIZ9XkgqrK99x_kg=s32-rw","Mario Dennis","November 16, 2022","Can't sign in. Useless. I've had this app for about 2 years and while I used it infrequently, it was handy. However, I'm unable to sign into it and get a ""logging time out, try again later."" No luck later. After multiple attempts I've decided the app isn't worth the space on my phone. No help on the Netgear site. I like my Orbi/Netgear hardware, but the app isn't working even after reinstalling. Update 11/15/22: Netgear/Orbi fixed the login issue and we're back to being functional. Thank you.","6 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-1gbdWQq00x_r8lI7he6okuJfvLWiGjwGQtdk4tw=s32-rw","Brian Klimm","October 2, 2022","Used to work fine, now doesn't connect to my router at all so had to factory reset the whole system to fix. Very frustrating as lots of features are not availble on app as compared to browser login. Also, Netgear is a bunch of scam artists now, pay out the nose for new router only to be told its $149.99 to talk to a service representative if your having any issues! They recently added parental controls to the router but put it behind a subscription fee!","55 people found this review helpful","Show review history"
