"
  Notion - notes, docs, tasks","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc"
"https://play-lh.googleusercontent.com/a-/ACNPEu8M5gASC2SZNz2-zb2VJgPOjWftwbmqlmNwB0sq=s32-rw","Alvin Cleetus","Show review history","October 29, 2022","This is such an amazing app for overall productivity. It has pretty much everything you need for task management, scheduling, notetaking, etc. I'm genuinely impressed by how much this app has helped me to schedule and get my stuff organised. I would've given it a 5* if it wasn't for the slow UI of the mobile app.","6 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9121GgCtfUd3OC1BR6OYZEEfGCps89pH7bDI4iEQ=s32-rw","MRIDUL VINOD KUMAR","","June 7, 2022","Notion is the best software that I have ever seen or used. But it's Android version is too poor. Not the UI but the speed with which it works. No it's not the problem with the device or network. The loading sign keeps rotating and after a long time, the actual thing comes up. But I must appreciate the quality of desktop version. It's awesome although it lacks few features for perfect productivity system. Feature I wish for is ability to control checkbox like for creating recurring tasks","148 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9edY9IpjeKKBuIXelp1_LQkisr0N6a-DSj7UrRbg=s32-rw","ankit srivastav","","June 27, 2022","Great on desktop. Maybe the best. On mobile it just keeps changing the formating from desktop format (specifically if there are 2 columns side by side) to stacking the columns one above another. And if it did that once that would be fine. But it keeps doing it every 3-5 minutes sometimes in the middle of typing. And then there is the regular margin glitch. On mobile it shows a margin to the edge or screen. But when you start typing the margin lowers down almost to edge of the screen.","84 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9hMYv71ZmHRzK0o-o-6gCCzDBl-3C2TorQJmbAKw=s32-rw","Shouto","","August 23, 2022","Notion in desktop is just a few steps behind perfect but the android app is lacking quite a bunch, the lagging is one of the major issues, the respone rate of app is pretty slow when it comes to writing/typing anything on it, it misses one basic feature that is rearrangements of notes, due to this problem the latest notest that i create stay at the bottom of the list and i can't seem to do anything about it, please fix this if you could.","115 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8zuLEEFAFOIyY_JaLjxmBx0qKk68XaV1X2bmaaVQ=s32-rw","Ok Ok","Show review history","July 23, 2022","I love this app alot but recently I'm having problems,the original layout of the app keeps changing, i have to reinstall it again and again to fix it, idk if it's a update or something but it doesn't allow Some emojis to show on the icon button of a page. Also it is not displaying an option to add another page so i kind of gets me agitated, please fix it if it's a error.","52 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu3fMgcWrEOuINJ7J7L52qO-TV9ZKrj1-KBP0iG5=s32-rw-mo","JITARTH Trivedi","","May 18, 2020","I really like all the features and the hings you can do with them, definitely this is the app which has the most features. Just one thing which is terrible is that every time it re-syncs with the server due to that whenever I try to write some minute thing I have to wait for quite some time. There should be a manual sync option or offline mode in the app","6 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9Ngls1GfPEWhEW6iNCWHP_PvmhKqhhowxtoyEPWg=s32-rw","Arunav Guha Roy","Show review history","May 31, 2020","The app is very customisable which is something that you'd want in a personal organizer app. However, it doesn't support a widget which makes quickly adding tasks/ information difficult. So while this can be a good organizer app, it's not something I'd rely on to quickly take notes. Also its slower on the mobile compared to a computer, and took me around 15 seconds for the app to open on my Pixel 3! So best to not completely close the app and keep it available on toggle mode.","5 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","November 26, 2018","The Android version is dead slow and sometimes the app doesn't even load. No widgets too. Having said this, I like the options that it gives to write notes. You have options of using tables, cards or a plain note format for capturing notes or lists. You can also format the table, the way you want. I love using it in my Mac. The iPhone version is also good. Would change my rating once they fix the loading issue and give us a full offline mode with widgets.","55 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-B8OqIxsnMJrKLyN97ZQMmSbEhouTt050bcE1htfo=s32-rw","Vishnu Subramanian","","November 24, 2020","The most comprehensive Knowledge Management System app I have ever used. You really have to see it to believe just how all-encompassing this app is. It has the potential to single-handedly replace my need for Google Drive, Trello and Evernote all at the same time. The sleek, modern interface and the insane versatility of the application make it one of the most enjoyable apps I have ever used. It's also actively being developed & improved, so can't wait to see what it evolves into in the future.","43 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu1sMoHjH8a7CwRph6gjefvcPe2Y9RWkFndn922H=s32-rw-mo","Nessica Birwadkar","Show review history","June 1, 2020","This is the Best App I've come across! So much Potential too! But the App is so slow on the phone and tablet that it feels like the screen has crashed. I had to wait for a 5 whole minutes on my iPad and the app still wouldn't start. Worked fine on my laptop. That's why I've given it 3 stars considering the design is so intuitive!","6 people found this review helpful"
