"
  Nox Ocean -Cherish everymoment","username","bp9Aid","review","AJTPZc"
"https://play-lh.googleusercontent.com/a-/ACNPEu--9_sDcekyxBfNaFuRy5rgYXgYScPRnqBqbw--FA=s32-rw","Melissa Luna","August 25, 2020","Beautiful app, but some issues. I wish I could delete intake if I accidentally press it. I wish I could customize the goal to whatever I want (80oz instead of 78oz). I also think it would be better if the water graphic rose with the amount you've had. I find the visual motivating. I really want to keep this app but will probably delete.","20 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-8sach2RSDOkE6fDbXO3Rgn5oK3LI5ejFSDWwYPAs=s32-rw","Kamrul Islam","June 15, 2020","Please add sync option, so that we can get the data after reinstall and phone reset. And Pop-up Reminder also which is very helpful than notification.","23 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","November 13, 2019","Fantastic, beatiful, and thrilling, This is most interesting remind application I have ever used.","13 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","November 13, 2019","Love this app. The best drinking water tracker after compared few similar apps.","3 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8kTuWQw_IG4xRgEqJHKfAgd_AKtfPI2tFAzi0L-g=s32-rw","Gabriel Messi","January 26, 2022","Its just a notification pop up. There's no sound. But good anyways","8 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","February 24, 2020","Simple and practicall, but i need the reminder in my mi band 4. Any idea why doesn't arrive? Thank you in advance.","1 person found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","November 13, 2019","Very nice APP! It helps me track my water intake.","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-hTQy7dd3-F7nVpzw5QQd0qZtob57cf6ioQRzh=s32-rw","streak","May 18, 2020","Please enable option to follow system default's theme, which means dark mode!!","3 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","November 13, 2019","Remind me to drink water in proper time. help me keep fit and healthy","2 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","November 14, 2019","I love it ,I love drink water,the app very clean","1 person found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","November 13, 2019","Best free app** like it and use it every day 😉","1 person found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu18IxZ8E5QDgysOV1o_o4EXyOoNDACC3KKbVer1=s32-rw-mo","Ko Ko Naing","April 23, 2021","The reminder is not worked correctly.","1 person found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","November 14, 2019","Drink more water a day keeps the doctor away","1 person found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","November 14, 2019","Drink more water a day keeps the doctor away","1 person found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","November 15, 2019","Help form the habit of drinking water","1 person found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","November 13, 2019","very good app~~",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8W078oJw7f423C75gM2ZwgNHB_NlC4mLPia6TSqZI=s32-rw","Saintiago Default","August 7, 2020","privacy policy corruption","1 person found this review helpful"
