"
  PomoDone App – Timer for your","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a/ALm5wu06wGKCSTHkN3gqdrL1q7uacW4pxe5P6EABpsEz=s32-rw-mo","Shri","Show review history","May 20, 2022","Edit: Thanks to the developers for their quick response to the earlier review (and email reply to my feedback). This is the only app that syncs flawlessly with multiple services like Microsoft To Do, Google etc. It is the best app for task-based pomodoro sessions and those productivity boosters! I wish they worked on making it more intuitive in design and animations (e.g., see the scheme of Engross app). Overall, a great app that does what it says on the label.","2 people found this review helpful","Atgalaikas UAB","May 20, 2022","Thanks a lot for your review, Shri!
We'd love to add My Day support, unfortunately, 1) Microsoft doesn't share any information about ""My Day"" selection via API so we can't sync it. 2) You can see and export your log data in your profile log page https://my.pomodoneapp.com/account/log/v2/ + connect Google Calendar, Zapier or even webhooks!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-WE4RUdhHiMMqFVjcGenvH4vX_tt9vo6FhK69MJw=s32-rw","Manyaa","","April 14, 2022","It was working fine in beginning, but after a while it no longer records my work time. Even though I use pomodoros, I can't find it's record in logs. So when I uninstall and reinstall the app, it works again for a few days, then again same problem occurs. I have provided all the permission for the app. But I don't know why this keeps on happening. Other than that, this app is the best.","2 people found this review helpful","Atgalaikas UAB","April 17, 2022","Thank you for your kind feedback.
Can I suggest re-login to the account in the app if it happened? And can you please contact us, we'd love to invite you to our new version beta testing group!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","October 1, 2019","I really love the concept behind the app....it's really good to see all my tasks and timer integrated into this app... But the main issue with this app is that it's not rich in UI it's too dull and plain looking... no animations no drop down bar etc... It's all there in a junk Please fix this in upcoming update (s) EDIT- Thanks for the quick reply...i will surely be looking for the next update","4 people found this review helpful","Atgalaikas UAB","October 1, 2019","Thank you for your kind feedback. We are aware of this problem and are currently working on solving it.  Please update your app to the latest version when you see an option."
"https://play-lh.googleusercontent.com/a-/ACNPEu8ungXzTyvJyrv5ab_zGgOQkC98-Aveo68PLmBv7w=s32-rw","Mike Michaelson","","April 29, 2022","Good integration with ToDooist, and I really like the option to minimize the clock and have it be always-on-top on a PC. Additionally, I like the level of compatibility it offers across browser plug-ins, operating systems, via web page, and across different device types. My suggested improvements, if anything, would be to add app blocking, white noise, and an additional mode in which the timer can simply be launched without having to create or access a specific task to assign it to,","5 people found this review helpful","Atgalaikas UAB","May 7, 2022","Thank you for your feedback. We are working on such a feature.
Did you try our browser extension already? It can block websites + embed timers into Todoist web app + offers an ambient sound pack + allows to start timer from any web page (and rename the title) + add time to the log directly."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","January 20, 2020","After trying a few pomodoro apps, I feel like I've found the best for me. The PomoDone app model is to integrate into your preferred ToDo app rather than try to replicate the same functionality. This strikes me as exactly right - no pomodoro app can approach the ease and functionality of a good todo app, and PomoDone integrates with almost all of them. It does so flawlessly, is cross-platform and syncs in real time. (The pomodoro that shows up on my webapp is ticking away at exactly the same spot on my phone. Fantastic.) A lot of the reviews note the crappy UI and - in this - I kinda' agree. It is not beautiful. However, when you put this in context - Windows app, web app and integrations that are all slick and feature rich - PomoDone has ""pomodone"" a pretty fantastic job.","10 people found this review helpful","Atgalaikas UAB","January 18, 2020","Thank you very much for your 5-star review!
We're working on the next version with a new UI at the moment!"
"https://play-lh.googleusercontent.com/a-/ACNPEu9NVfPvPu_aWp2P9DEAg5xfmXuhNYCDcuFNZx6bDQ=s32-rw","Andrew Lihonosov","Show review history","June 29, 2020","The main feature (Pomodoro timer) doesn't do long breaks on Android. I expected a long break after four working intervals (which seems to be supported in the web version), but it gave me only 5 minutes. Besides that, the app is slow, and doesn't preserve state between closing and reopening (the clock shows some strange numbers and hangs, and some strange session is recorded).","16 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","September 25, 2018","This App is so good for integrations, but they just need to put the timer up front in the UI. I just want to hit the button and go and decide what I did later, but currently I need to find the task  up front, which is a serious pain and a severe mark on an app that would otherwise be perfect for what it does.","6 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9rVWDFF-Uz0zq-CE8Gso8XPUg3Sve6Ln_Ms4jHOA=s32-rw","Brian Elam","","June 10, 2020","This is a FANTASTIC app! If you are using ToDoist than Pomodone seems like it was built purely to enable your productivity goals in ToDoist! Together, these apps are unbeatable! If you need to plan, schedule or prioritise your time, then you must by all means try using Pomodone along with ToDoist for an unbeatable, smooth and integrated solution! Though I do not use Pomodone by itself, it would indeed be a very good and effective time tracking solution, though there are others paid apps that are likewise good. THE BEST features I find to be the genius way that the app ties in to ToDoist, Trello and other such apps, (syncing all of your lists, schedules and priorities), and also the way that you must choose the amount of time, (5m, 10m, 15m, 25m, etc) rather than having a continual standard of timer minutes running. REALLY WELL DONE!!!","8 people found this review helpful","Atgalaikas UAB","June 10, 2020","Thank you so much for your review! You were able to catch the precise idea why we did it this way! Awesome!"
"https://play-lh.googleusercontent.com/a-/ACNPEu9-LIpTzZDuseh4iylRyhMUGFkS-s-lZ1WCVnSfqw=s32-rw","Konke Radlow","","September 14, 2020","The underlying idea is absolutely fantastic - integrate a feature complete pomdoro timer with the task management tool of your choice. The WebApp does implement this feature set pretty well, even though there are some major pain points - e.g. adding Log entries manually is very cumbersome and the integration with some services is buggy. Sadly enough the Android App is quite terrible (compared to the WebApp), and I ended up using the WebApp on the phone despite it not integrating into the underlying OS very well: 1. The Android App does not implement sleep / power saving properly and requires exceptions from the Android Battery Management System. But if the exception is granted the battery is drained dramatically by the app, so much that the phone runs very hot in my pocket 2. The Project/Task view is unusable - everytime a project is folded and unfolded again all tasks in the project are added to the list of tasks again. This means the list keeps growing and growing and this is persisted beyoned a app restart. The only fix is to clear the app cache and let it re-download the tasks from the connected task management tools (Asana in this case) 3. No configuration of Timer Alarm (e.g. use vibration only) 4. Cannot turn off screen to run in background because the alarms work inconsitently. Even if the app is listed as a priority app in the Do-not-Disturb exception list, the timer alarms don't get through","18 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","December 16, 2019","*good* app but overall polish is missing not just in this app but all other apps associated with pomodone, this is a real shame as the integrations work really well but the user experience is so bad that trying to use the app is so painful at times that it's close to pointless. I do hope the devs look at improving the ui and general user experience. It does not fill you with confidence using this app and connecting third party services when it appears that the attention to detail is missing..","2 people found this review helpful","","",""
