"
  Pomodoro","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu_zC8A3s6qILofdfw6DeXT0YRqeJuca0Ss7Aku0=s32-rw","Preesha's Tips And Tricks","October 11, 2021","This is a really good and simple to use app, it is what it's name suggests and is not overly complicated. However, I do miss a few features. 1) Would really like to pause a pomodoro in between without losing progress. 2) The alarm sound is too short and I would like it to repeat a few times 3) The option to edit the pomo while it is on. Otherwise I would recommend this app as it is very easy to use and has good UI.","142 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-L10b7NgAzTsjwQhfReDF9okWG9CB8Nx_9Lugc=s32-rw","Ramona Fernandez","January 12, 2022","This app is really cute, fun and intuitive. Definitely worth trying out. The colours are pretty and the interface is simple, easy to follow. If you're in a hurry and you need to get work done without losing your peace of mind I'd definitely recommend this. And it's got interesting little quirks. P.S. For all the workaholics out there...you can skip the breaks. (hip hip hurray)","90 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-1XPnGuT_-39LHeQfVVgI-JJEktoqe79MBSHZsNw=s32-rw","Alex Joseph","August 11, 2021","This is the best pomodoro app that I have used till date but I wish the notification tones can be changed. The moment I change it and go back to see the change, the 'cuckoo' option will be the one set. So is the case with the volume. And one thing that I would like to add is the deficit of a clock. A clock with the current colour scheme would just throw every other app out of competition","66 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9sXmmxJORcq43qivt1BKtXmN06WwXknqGJ_3ktJ1I=s32-rw","Jemima","December 19, 2021","I really like this app, its simple and very visually pleasing.The colors are pretty& its nice for categorising &seeing the amount of work done. My only complaint is that for the distribution graph &total time the break time is also included in the data. It would be much better if it only has the Focus time. Including the break time in the total time makes no sense. Thats the only major flaw, it'd great if this can be corrected //The time distribution's bothering me alot Stopped using now😐","109 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu__fSLcVJTWAse4WHjH3I34PROxDmIN-DvYM1GUmA=s32-rw","Granthana Das","September 29, 2021","This app is quite good and easy to use. But I am giving it a four star because there are a few things that should be included . 1. While doing a pomodoro there's no option to PAUSE it. Instead the pomodoro will cancel and go back to the beginning. But I suggest you allow us to pause it. 2. There should be an option for the users to choose their own aesthetic and backgrounds. Rest is awesome and I finally found a good pomodoro app that is hassle free and easy to use.","136 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8uo7QXyDTT39vbJGCzj93P0Wt8LRAoYC3Jrxcdpg=s32-rw","Running Rabbit Hole","November 4, 2021","Very limited if you just set and use. Cant go beyond 60 mins. Cant maintain or export logs of how much we used it productively. Cant have it to full-screen to hide status bar and navigation bar (consider using empty space and increase time font size). Sounds are very limited. Good but below average. What this app does can be done by my clock app through stopwatch. Animation is not needed much. Cant stop if paused as it doesn't consider one time activity, wants to use it continuously & not leave.","24 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8ECjmTQcJ5CED93_yk994BjcirgWpxOhggzkHV_2Y=s32-rw","Dmitrii Lobanov","September 6, 2022","Actually, this is the first and the only Pomodoro app which worked for me, and which I enjoy. It's reasonably simplistic with mostly resembling a ""one button"" approach. The design is also quite pleasant. I like it overall. There are some issues with timer not ringing sometimes, probably due to battery optimization, but kudos to developers for providing an in-app instructions about this issue and how it can be solved. I am still not sure how reliable the solution is so far, but I keep watching.","6 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-H-w_St4idawvl4ZYhJTTHPgm65ypQsm53lODO=s32-rw","Petr Liakhavets","August 22, 2022","The overall experience is wonderful, however, there are a few pain points for me: 1. When a pomo is on pause, the app keeps tracking its time in statistics. For example, if I've paused a 25-min pomo for 5 minutes, in statistics, it'll show as 30 minutes. 2. In statistics' ""History"" section, there's no way to distinguish between different pomos — they're all the same color. 3. In statistics, there's no way to see the number of pomos done, only the total time.","19 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8a8Z4GCd8GdiwvfnYTG1fk_HD5Wo6cPsB4OqYvTA=s32-rw","Marco Boschiero","July 14, 2022","Very useful app! Tips and problems: - I would like to have the option to reset or skip a single pomodoro; - When the app is not on the screen (because the mobile homepage or another app are on the screen), the alarm doesn't activate. It activates once you return to the app, making it not useful.","17 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu-DqK5d-g6JNALf2wXndOS-dKwOni6RRSB7BW2BMw=s32-rw","Ahmad K","October 5, 2022","I like this app I like that it's simple and that u can adjust alot of things for free. Those are the same things that you'd pay 4 in other apps. But i don't like that u put the brakes as a part of the pomodoro. I see that u put a graph to show focus and break in different colors but i think that (today) should be broken to 2 pieces 1-break 2-focus.i see the pomodoro as the number of hours I've studied and i don't want to see the breaks being a part of it because it's not studying.","2 people found this review helpful",""
