"
  Productive - Habit tracker","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu_At7oa521JudJFPDjlFJg6qEpyezN2GsRXh4zMtg=s32-rw","Sujith Kumar","Show review history","November 14, 2020","The user interface is very good. Have been using this for some days now , and it definitely helps u be more productive. The app looks so good and that makes u want to go back to it , and in the process tick off everything you've planned. Lot of options (of course for the premium version) . You have a lot of challenges and when u realise that a lot of other people are doing it, even u feel like doing them. All in all, very happy with the app.","54 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_HHszUZcFK7fFU1zvAbru78rKwjWLjrnvPX_7v_w=s32-rw","Savvy Rose","","August 30, 2022","I really like this ap. However, unless sive done something wrong, it doesn't give you reminders (even when you set them up) about your challenges or tasks and you have to open the app to see them - this isn't very good if you're not great at keeping a habit or are forgetful. Additionally, if you don't open the app for a day it assumes you missed the challenge for that day, as opposed to asking if you did the challenge or not.","9 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8GRhR_LBNKZDJeNZzCvv7fv-hP37CDst0rjR0qrw=s32-rw","Shea Kelly","","July 17, 2022","A good app for tracking a building good habits. It helps me feel successful and slowly build up my health habits, like drinking water or exercise. Start small and grow from there. It does have some limitations. I can't figure out how to make an account to save my data. Also, the reminders, stats, and unlimited habits should be free, not a subscription. It's the primary reason I gave it 3 stars.","29 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-2uPmT2-S66HBCjfv4UKnXJcp69A1SMKQgx5GRXg=s32-rw","Kai Jun","","August 21, 2022","Great looking app. I created an account and I tried it on my device. But when I tried to log in in my other phone, my previously created habits wasn't sync. I couldn't find a backup and restore button, neither I found it mention in the ad for subscription (all the ad show was a countdown and X% off, no detail what premium offers). So I am assuming that the app wasn't sync across device because I didn't pay for the subscription... Hard pass, no, disappoints me before I even decide","7 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2ok69WInzU1Ia5aWnZlmpAhTy4OuQjhotSq4a_=s32-rw-mo","William Hovenden","","June 7, 2022","The app itself does just what it's meant to, without costing so much it breaks the bank. I wish that it had a widget so I could track my progress and see what i need to do without opening the app every time. I find myself forgetting I even have the app over time or not using it sometimes due to not seeing or remembering it. If they had a widget this would be significantly better.","31 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu88xkCZzsQA3fB2rApfLm0ikczmIP2bR1QBUTKTSA=s32-rw","Amanda","Show review history","August 16, 2020","Love the design of this app, it's very easy to navigate and looks beautiful with the colour schemes and graphics. Only complaint is that it's misleading to say the app is free, you don't have to pay to install it, but you do have to pay a subscription to get good use of it. The free trial version only allows a few habits and constantly pop ups to subscribe. Totally understandable from the developers, but I wouldn't advertise it as free. Maybe say free version is limited or something.","124 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8D0DB--U4JZRGyEeOprRriPdblXwwUvqu-f29pTQ=s32-rw","Manuel Kirchen","Show review history","July 30, 2020","This app seems well designed with a smooth and beautiful design. But there is no free version and you can't test the app without engaging to pay after a 7 days trial (not free to me if you have to input a credit card which will be debited if you don't resign, especially if the app will automatically bill you a yearly fee!). The cost is really high too (7€/month!!!!), which is for me way too much for such an app. A one time fee of 7€ would still be a very high price compared to other apps...","34 people found this review helpful","Apalon Apps","July 30, 2020","Thank you for your feedback. We appreciate your comment and will consider it while working on future versions of the app. If you have any further suggestions or ideas - please let us know at support@apalon.com. Thank you in advance!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","December 22, 2019","The app is pretty. I'm happy to find a habit tracker with a beautiful interface for a change. However, as many of the reviewers already pointed out. 1) The free version is way too limited. 6 or 7 habits sound a lot more raisonnable in my opinion, while still incentivizing people to purchase the full version. 2) The premium version requires a monthly subscription. This just won't work for the app right now. A one time purchase seems much more raisonable.","19 people found this review helpful","Apalon Apps","December 23, 2019","Thank you for your feedback. We appreciate your comment and will consider it while working on future versions of the app. If you have any further suggestions or ideas - please let us know at support@apalon.com. Thank you in advance!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","March 5, 2020","The app is generally well-designed and has a pleasing visual style (much more so than other habit trackers I've tried). If it worked consistently as intended, then it would be just about perfect for my needs, but unfortunately this version is still full of bugs and inconsistencies. As an example, some habits' names and history can be edited and others' can't, with no clear indication as to which is which or why this limitation exists.","15 people found this review helpful","Apalon Apps","March 9, 2020","Thank you for your feedback. We appreciate your comment and will consider it while working on future versions of the app. If you have any further suggestions or ideas - please let us know at support@apalon.com. Thank you in advance!"
"https://play-lh.googleusercontent.com/a-/ACNPEu9Ej6KE-KBAhePlU9AW01FEtl-h7Vb80o1eKqlykF4=s32-rw","Nicholas Koukoutsis","","May 31, 2020","I love the app, and I use this to keep track of my daily routine. But I have two major gripes with it. The first gripe is that from the layout and spacing of everything, it's not very compact. I feel like this is more of a fun view than a ""managing"" view. Making things slightly more compact can go a long way to helping actually manage the day, and be more productive. My last gripe is not being able to sync premium subscription with my iPad.","43 people found this review helpful","Apalon Apps","June 1, 2020","Thank you for your feedback. We appreciate your comment and will consider it while working on future versions of the app. If you have any further suggestions or ideas - please let us know at support@apalon.com. Thank you in advance!"
