"
  Quire: Unfold Your Ideas","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu-ITBL922zlatuEvhKB3NYmRpqW2a4VUuOLkIM1=s32-rw","Nicole Walraven","July 7, 2022","so far really liking the free version of this app. I struggle a little bit sometimes trying to move between the home page and specific project task lists, but I think it's just lack of familiarity. I'm using it to manage my own personal projects and to do lists, but from what I've seen it could also be useful in a professional setting. really like the list widget, it is easy to refresh and tick of items without having to actually open the app.","12 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9ouECaYrivhcyDyu7XjMG5N_kkSknI0Co6JzA3ZA=s32-rw","Petre Mbugua","September 17, 2022","This tool is incredibly effective and efficient. So far I have been able to achieve a lot with it and I look forward to using it for forever and a day. I mean it does what is says and much more...big up quire!","6 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8Gz-Op9_HMIwO5OivnK2CNEvCZDPEHi51ovg-2pj8=s32-rw","Tejas","October 7, 2022","Brilliant task manager with a unique and elegant interface, and a good free tier.","1 person found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1UWPFj-LHCFCHbaz5kDcDIJccLCfa1DuvKQIBT=s32-rw-mo","Omkar Kanade","October 31, 2022","Easy to use and simple interface yet very organized and powerfull tool...","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8N8b4mXcJ73NXQ2yX0O-uAJ5MYfVDX8EbzBS8q=s32-rw","Amin Heydari Alashti","May 23, 2021","Its really a perfect task management application. Regarding other similar applications, Quire proposes large number of features that can answer even advanced needs of companies. But I have one problem with the text editor in this app that does not fully support right to left languages, and it is hard to edit a description or comment in this app. If this feature is added to the next versions, it can become the first choice of any one in any place of the world.","11 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu814SlnYCeCvMXNnsUB0SQaZyVC9EjyvhoNwm4xhmU=s32-rw","Greg Brinton","June 2, 2021","Really wonderful app folks! Thank you so, so much for bringing to the market a product that is really needed and has truly been lacking. I have the utmost respect for a how difficult it is to pack so much functionality into a usable interface and you folks are doing one heck of a job at balancing that tightrope. Thank you sincerely for the continuous solid updates and iterations! You have brought to the market a solid offering both in desktop and app experience.Thank you so much!!","26 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2Tgncvu1bH7kEJCKsn9wOYlo7xW2tU5ZvaZWAp=s32-rw-mo","Stead Fast","August 19, 2022","This app is fantastic! It is so easy to organize with sublists, and Quire has the best keyboard shortcuts of any productivity app I've used. BUT please fix the Android widget so that when items are reordered in My Tasks in the app or in Windows, the items should show up in the same order in the widget. Right now, there doesn't seem to be any way to reorder how the items are shown in the widget. Thanks!","1 person found this review helpful","","Quire team","August 29, 2022","Hi, thank you for leaving us the review! It means a lot to our team. To reorder the tasks in your My Tasks or in the desktop version, please use the filter bar and group by Date and then Project. Give it a try and let us know if you have any questions via feedback@quire.io. We would love to help! Have a great day!"
"https://play-lh.googleusercontent.com/a-/ACNPEu9b08Yo-l6umsqZKITTGX4ZaGI08jFmvDiQCtZRZw=s32-rw","Adam Edison","March 5, 2021","Great app with companion webapp Subtasks to almost infinite levels for free. Markdown support in the description and title of tasks. A one touch to stop all notifications for all events. This is a very well thought out design with a UI that is making improvements daily. Support is responsive in getting back to me through the My Feedback section. Can't ask for better. I'll give it 5 stars when this is actually finished.","19 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2OAhYS8IrlNQumaEd33HMCQcvhsHqSCBcVc-0=s32-rw-mo","Farzin Khalilzadeh","April 18, 2021","Quire is a really great task management application (both web & mobile). We use it in all sections of our company for all teams. We had used other tools before and most were either lacking key features or were too complicated since we are a small team of 20 whom not all are technical people. The simplicty of quire while having great features really outshines similiar apps. Also I love being able to customize look of task titles and descriptions with css! :) I wish it was possible in mobile too.","12 people found this review helpful","Show review history","Quire team","April 19, 2021","Thanks for your five start review! It's always great to hear that Quire has been helpful for your team's task management! We do support customizing task titles with CSS. We've done one better, you can scroll to the far right on the edit bar to access the quick color button. Please reach out to us at feedback@quire.io for more questions!"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","September 2, 2019","Best free task manager ever :D i've tried almost every other apps out there, couldn't find an app that could fit both work purpose (asana, trello ...) and personal to-do list (todoist, any.do, tick tick ...). I don't understand why this app is free, although I would happy to make a subscription :) P/s: Log time for tasks and calendar view could be fantastic feature :)","21 people found this review helpful","Show review history","","",""
