"
  Rabit: Habit Tracker & Planner","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc"
"https://play-lh.googleusercontent.com/a-/ACNPEu8B3nxmYQdSB5_B_PAK8-a-rV2HWPIx0LPSgbzC=s32-rw","A M","Show review history","November 14, 2021","Very buggy. Previously there was a bug which set streaks to zero if a habit was paused or a new habit was introduced. The recent update set many of my streaks to zero even if they were not scheduled for that day. I really liked this app. It has a lot of potential and plenty of features in the free version. It is intuitive and easy to use. But so many bugs makes me want to move away from this app.","87 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-G_rPBc56kF8HgqauDBz9eZ33IOVZoAW43mt-a=s32-rw","Edson Rebello","","August 25, 2021","I feel this app would be very good, only if there was some sound incorporated in it. Each time I check of a task there is no sound which is really unpleasant. I know this sounds(pun not intended) very picky but it makes a huge difference to the experience and I didn't expect such a gamified habit tracking app to get this wrong. Very disappointed","86 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9mYT8RoHQIAN5TJHWzYhDXCQ5pWzD-NLTjkdUGBw=s32-rw","prajeet jain","Show review history","January 24, 2021","just started using the app this week and so far the App is good. the UI is so nice and calming.. definitely looking forward to use the app more and hope it helps. The premium is expensive and confusing. this app does not need monthly subscription, as the content does not keep refreshing (like Netflix).. it's a one time premium pay app which ideally allows access to more features. if they change the pricing model, I will definitely switch to premium.","67 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9mPS7ybu9V9QMmn3rYf1dLrb7_2pmH0IGoGBMV4g=s32-rw","Aishwary nigam","Show review history","December 10, 2021","Black screen issue is hefty, almost every day I have to reinstall app, no choice. Even as a premium member I found the issue addresal mechanism is pathetic, No response from the team after mailing them twice. It's annoying Also, there should be an option for 'not to do' habits, it's not can be seen in most of the apps, although I like the UI but developer need to fix all bugs and should come up with new updates and features more frequently. 2 stars just because I like UI.","57 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-YDRcfRA27KnOAnw-AVnliT1PXWGRp1NL2bIIbjA=s32-rw","Joseph Mcqueen","Show review history","April 6, 2021","Best app hands down. Literally every single feature I've ever wanted. And the app itself looks pretty. But the best part is that the price is reasonable. Edit: the paid version upgrades the app into something else completely. I've never seen so much upgrade in premium. Please add options to set routine once a month or give options to perform on one day even if I set 2-3 days. E.g. If I backup on Saturday I don't get reminder on Sunday even if I set it on sat-sun","35 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8HlzGlzTwaLyrZr0Eht56L9A4x_X47fxXqOXmq=s32-rw","lala lucy 4 life","","November 20, 2022","it's amazing and cute I just wish that I didn't have to pay for more plants and maybe give the option of the longer you keep a habit the more plants you get but also have the paying option if you don't want to wait",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9oXsrcPPblf17wkwHMyiNT1nfIbI18_lft3LMS=s32-rw","Muhammed Mayer","","September 5, 2022","The app is decent overall, I loved the UI and I really liked the concelt of this app. It has a lot of potential, it's a shame that it's very buggy. The widget doesn't work at all and I initially wanted to buy the subscription because of the widget. Was a bit of a disappointment. Some features would be nice to add but honestly the bugs and the non functional widget should be fixed first. This app would deserve 5 stars once that happens.","10 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_MUE-0IVi0QLrN_PJaoPg3t97LFTx8qWa_qJER=s32-rw","Debi Higa","Show review history","September 12, 2022","The app is really buggy. Notifications don't work consistenly. Alarms are not working at all. Sometimes the widget does not display info. Poor/lack of customer support. Fonts are small. It's an app that looks beautiful, but from which you shouldn't have any expectations. It's ok if you use the basics and the free version, but I deffinitely don't recommend to spend any money in the Premium one.","7 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu9yukl_hCKPRxHPXhH97pPW4ZnNSC5JgZwMY6ZSTw=s32-rw","Ljubiša Milivojević","","September 14, 2022","Application has few bugs which are making it impossible to use: - the widget doesn't work at all even if you buy a subscription. It displays a message that you need a plus plan, even though you already have it. - when timer is on, the application makes sound every one second snd vibrates every ten seconds. No option to turn this off - there is no option to select a sound for the notifications when due date is reached, so it rings with default alarm sound. Overall - doesn't worth buying","5 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_ejrqtcanCwnTVIra48N_LIk3xEg7ERU-iKLwmpg=s32-rw","Al1C3","Show review history","September 6, 2022","This app is getting worse and worse. Free to use is getting less and less options, I used to have +12 habits and now I can't add more of them, tried deleting some but it didn't work out, now I have less of them and cannot have the ones I deleted back. Another thing is that now I have all the plants available and I don't have a place to spend the coins I own, this makes the experience even worse...","6 people found this review helpful"
