"
  Ratio: Productivity Homescreen","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu_kN3bISceh8lQssQYzme49bnD5yLlpL0UyhijF=s32-rw","Kunal Raje","Show review history","September 18, 2022","While I love the UI and overall look and feel. The launcher with it's subscription model leaves a lot to be desired. The rate at which bugs are patched and previous features are polished is very slow. For example, the currency converter has not had USD in it for over month, though they added probably a hundred cryptocurrencies. I wish the team would prioritise getting the features they have polished and actually fix the usability of them.","15 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8-H2cletqYG9KFqxpvA9ouwgzj_LKOK85vler39sM=s32-rw","Pratik Kate","","July 31, 2022","Initially I felt it would be a very good app to boost my productivity. So, I made a lifetime purchase of the app as well. The app is designed beautifully and also had compartmentalised sections very well. But to be honest after using it for 2 weeks I started feeling uneasy and kind of depressed as all i could see in my phone was minimal UI and no colors. I tried to change settings to add more colors but couldn't find any options. So finally I uninstall it.","48 people found this review helpful","Blloc","July 31, 2022","Hey Pratik! Thank you for the feedback. Ratio offers black and white wallpapers, but it's possible for you to use your own wallpaper that would add some colors and make the design unique! :) Please reach out to us if we could help you with anything: info@blloc.com . Looking forward to hearing from you!"
"https://play-lh.googleusercontent.com/a-/ACNPEu9Yhhhol_8NEqD2hCS4kt0L-CQ9QLkuBhkfeNXFvA=s32-rw","Aarsh Majmudar","Show review history","August 6, 2022","It was good. Bugs were fixed in time...but now i cant say the same. There was a bug I reported tons of times even before Ratio hit Play Store. Its still not fixed. I'm extremely annoyed with it, as I have been a part of it since Beta Testing and this bug is not fixed since last 2 years after so many escalations. BUG : News integration with Mashable seems flawed. I gives articles from 166 weeks ago even right now","9 people found this review helpful","Blloc","August 7, 2022","Hey, thank you for the feedback and letting us know about it - really appreciate it. We are currently working on improving the Root page, so please look out for the future updates! If you would like to share any other thoughts, please reach out to us here: info@blloc.com"
"https://play-lh.googleusercontent.com/a/ALm5wu3iZ0ZQsX3LWODgX7zugdLP8E7nf3MeRI6uxJkZ=s32-rw-mo","Alita King","Show review history","November 13, 2022","Its a really good concept. But, It have a lot of fundamental problems which ruins the UX. ○ It has a bug while showing recent menu (In landscape and Portrait mode).[This is not the Android 10 gesture incompatibility, not seen in other launchers ] ○ High amount of CPU usage (13+%) and high amount of Battery consumption (10+%/day). Hope this because of the tree service. But if this launcher, optimise window transition and tree functionality. It could be the best launcher. Shoutout to developers.","24 people found this review helpful","Blloc","February 4, 2021","Hi Alita, thanks for your feedback! We're aware that the experience with Ratio is not the same on some devices, & we're constantly working to improve & make it the same for everyone. Please bear with us, more optimization is coming! We would also like to hear more about the recent menu issue - please submit a bug report to: www.blloc.com/bug-report"
"https://play-lh.googleusercontent.com/a-/ACNPEu_89KgqC1sweDnLTNwrRI8zCBSNjRrBIbG9iUM_6Q=s32-rw","vishwajeet rai","","October 11, 2022","Needs a lot of work, it is not clutter free. There is no way to hide apps in a bunch, you'll have to do it one by one. Home screen ia pretty nice but app drawer is a complete mess. If i have added apps to my home screen they should not be present in my app drawer. It just created a mess. The app feels jittery and the animations are far from smooth. This concept is great but it can be a lot better.","","Blloc","October 13, 2022","Hey, thanks for the feedback. You can arrange your drawers and apps in a way that fits your needs. We are aware that Ratio can be slow on some devices, but we are constantly working on improving the performance and optimization with every release, as well as fixing bugs. Please keep an eye on the future updates."
"https://play-lh.googleusercontent.com/a-/ACNPEu8K11JtCr-5cIb0gJGVs4EKMP-2obX7hB07hpTbwg=s32-rw","Namit Agrawal","","September 26, 2022","One word to describe the app is elegant. This is one app which I was forced to remove due to the lag. The app requires a lot of polishing. The app works fine for single tasks. But if you are multitasking in emergencies the app will not let you do anything. I booked a cab on Ola and was unable to receive the call from the Ola driver himself. I am not sure I will be able to find a better app than this one in future but it's unreliability in emergency forced me to uninstall the app.","1 person found this review helpful","Blloc","September 27, 2022","Hey! Thank you for leaving review. We would love to take a closer look at this issue! Can you please check if you have ""Display Over Apps"" option enabled in the Ratio Settings > Permissions? :) Please reach out to us with more details, we would like to fix this issue for you - info@blloc.com. Looking forward to hearing from you!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-q9ZzO1IDpB0tbmsMPv0A0vf_6wST-VkMQiM-g=s32-rw","Mohammad Yasir","","August 31, 2021","Needs a few extremely important features. First of all, there needs to be a time card or widget for the home screen and root. It is extremely weird to see the lack of one. Secondly, work profile apps need to be separated into a different tab/drawer/folder. Otherwise, the apps list becomes cluttered. Also add some options to manage the apps grid. Otherwise the launcher is incredible.","9 people found this review helpful","Blloc","August 31, 2021","Hey Mohammad, thanks a lot for your feedback. You can definitely separate your work, in Tiles by moving them around into new drawer; as well as Conversation by creating #tags for different contacts. You will find more info of how to do all of it here: www.howto.blloc.com"
"https://play-lh.googleusercontent.com/a-/ACNPEu_elmP_tkP0TeuAJys63PW9TX7J6OSFKPwtoA3ajw=s32-rw","Biswajit Mohanty","","March 2, 2021","I really Liked this app, I loved the minimalist UI. The whole monochromatic with just a single neon yellow color looks so good. The feature for putting a lock or hiding a particular app is great. I can tell that for some people this can replace the default launcher. But I am giving it a 4 because it's, still at development stage. What I mean is that this launcher does not feel complete. Lock-screen still remains the device default looks. Have to put a dark wallpaper to match the lock-screen with the main screen. The message app is still on development, so there is no reply option for any particular test. The message also takes over the default notification, which does not allow to reply directly from the notification. And there are some other bugs too. For now this launcher is attracts a crowd.","30 people found this review helpful","Blloc","March 2, 2021","Biswajit, thank you for your in depth review - they really make a difference for us. You can set the Ratio wallpaper as your system wallpaper and it will remain the same! Just go to Ratio settings > General > Wallpaper > Apply Light/Dark wallpaper to system. Remember to change the theme to Dark or Light - you can do it by pressing searchbar icon!"
"https://play-lh.googleusercontent.com/a-/ACNPEu8EbFN6wf8QIVwZ_KYj7xfBDyfY53ztWI_4Mjy83VI=s32-rw","Rishi Bharadwaj","Show review history","June 19, 2021","Hello there, Firstly, I love this app. There are some good changes in the new update. But there are also some issues. I cannot change the icon. There is no option to hide. And the separate app drawer, if I swipe up there is the app drawer. Then I feel there is no purpose for app categorising on the home screen. Atleast there should be an option to disable it or any other. When I am playing a song in Spotify the song name is not changing in the root. I hope you can deal with this. Thank you😊","42 people found this review helpful","Blloc","June 29, 2021","Hi Rishi, thanks for your feedback! We're also working on adapting app drawer in the most optimal way for our users - we understand this is a new feature, and we want you to have the best experience with it. Edit: Please make sure to update Ratio - we've reintroduced hide apps and lock drawers in 5.0.2!"
"https://play-lh.googleusercontent.com/a-/ACNPEu-XUJJewqKXjpkFxz12mJIFqiaygxk0v-Vsi0-ZZA=s32-rw","Chinmay Pandey","","April 14, 2022","The app is really awesome for increasing productivity. It has personalized feeds as well as home screen. I like the dark theme of the app alot. It helps to keep a track on the time spent for different apps. The updates are improving the experience more. But I would like to request a feature in ""CONVERSATION TAB"". Please make it such that the messages from all apps don't combine at one place. There should be a feature to seperate messages according to particular app because it takes time to find.","92 people found this review helpful","","",""
