"
  Sectograph. Day & Time planner","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2"
"https://play-lh.googleusercontent.com/a-/ACNPEu8X2jY97FraAKCKKcyB5bbeSkI6dPFbWtzVBC7YMg=s32-rw","Pratyush Bhattacharya","July 27, 2021","I was really excited to see this app's unique approach of using pie diagrams as schedules. Very intuitive, simply genius. However, the interaction with google Calendar needs a lot more work. Often, the app does not update when I add a new event or update an existing one. Even when I delete an event, from google calendar, it still shows up in sectograph. It is possible that I doing something wrong. But unless it is not so, please work on fixing these bugs. I wish you the best.","110 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","October 22, 2019","Has found a permanent place on my home screen. Love the fact that it visualizes my entire day based on my google calendar. Essential if you want to schedule your day or stick to a rhythm. Plus the fact that it gets data from google calendar means I don't have to duplicate my schedule. The visualization, widget & user interface is extremely well done. Have no qualms going for the pro edition to support the developer.","49 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9JGbvlU3B9VWpAOTOwzI46N0QskMXAjMUCiGGB=s32-rw","First Last","November 19, 2021","Possible the most efficient productivity app. Other apps look good and beautiful and all in first sight but they aren't useful. You eventually stop using them. But this app is just WOW!! Awesome! 6 stars! There's a bug tho, it doesn't sync with my account's calander. It does only with the local one.","58 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","May 24, 2019","I really loved the usability of this app and hence i got myself the Pro version. This is where the problems started to creep in. When i would want to go to the app from the widget it throws me an error saying the ""Application error"" - the app cannot open itself. Would be great if there is a solution to this. Otherwise the app is really fantastic.","11 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","December 31, 2019","A very good Pie chart graphical view of your schedule with nice colours and everything is good about the app specially the graphical side. I'm not a pro owner but also rating 4 stars because of the glitch in app today. My whole sector were invisible today and it just showed blue colour filled circle with only an area of 45° looking as faded blue. And nothing else was there. I also have screen shot of the error if developers need it. Else it's a great app. Soon will buy the pro version.","4 people found this review helpful",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","September 6, 2019","This app helps doing amazing Time management. This app saves lots of time and also we not have to worry about our remainders. The Widget feature is what I liked the most, its styles, interface is amazing. Another thing I liked is that we can edit the widget appearance. It automatically updates the remainders from the Google Calender itself, and we and also change the color from Google Calender.","4 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu_ja4QmYk7t6MHNHOQlVRHgcGbdUoFDpqudFtAYmg=s32-rw","Keshav","October 10, 2020","I don't usually do reviews but this app is honestly quite great. It really helps to plan my day visually and the widget helps a ton when I open to my home screen. My only complaint is that it does end up crowding my calendar app because it requires you to add an event to the calendar but past that, it's pretty great. Most planner apps don't work but this blew it out of the park","15 people found this review helpful",""
"https://play-lh.googleusercontent.com/a/ALm5wu0_C4bKQMv7dBSBv6PxRMhmpeqhKHpDjyNLMJC3=s32-rw-mo","Keerthana Christopher","February 12, 2022","Love it!! The colours of the sections are easily customisable. The app allows me to place a widget on my home screen and conveniently access my routine for the day. There's no option to unsync my routine from my Google Calendar so it'd be great if there's an option to be able to do so.","66 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a/ALm5wu1MJayAymBq43aECexf5cIZdXz8j4zA33XX6sk6=s32-rw-mo","Ankitha Vinod","June 30, 2020","This is actually really useful, given the kind of arrangement they chose - showing tasks like the arms of a clock so it's really convenient for us to know , at what time which tasks are there to complete. But the problem is that when there are more than one task at the same time, the texts superimpose on each othr and we can't read thm. Considering they use Google calender to set up the tasks, I feel like Google calender itself & its widget is more useful than this. But 5/5 for User Interface🤩","2 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-FpVgXlDHWGYxBZfkpX0RKInKMQbNGqEjzqitZ3A=s32-rw","Girish Padshala","August 12, 2020","This is really a classic app which is directly connected to Google Calendar, also vise versa to add reminders/Events from either Google Calendar or from directly from Sectograph app its too easy and reflected on both at the same time. Also there are many flexible features that can change look of app as per your requirements. So cool and I love this app very much. Thanks to developers for giving great derivative.","15 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9F45eZnaNfn7eb7MAogAc_fruTsp4vH0EySHh1FWI=s32-rw","Gregory Malinowski","October 14, 2022","It looks very slick, and is, so far, my favorite watch face. It really does help me visualize time until my next meeting and how much time I'm able to work outside of meetings. One possible improvement would be the ability to color all of the events coming from a certain calendar together in addition to being able to color them individually. Edit to add: there is already an option for this... awesome! So...maybe the ability to add some tap-able areas on the watch face?","10 people found this review helpful","Show review history"
"https://play-lh.googleusercontent.com/a-/ACNPEu8ZZGbkXxLIOkIa3TtXEUdxIy4QeQGiPJT6mhzgpKw=s32-rw","Morgan Astreal","September 1, 2022","I have been using this for a few years now without ever running into an issue. It great to have on my home screen to show upcoming work meeting and personal events. It's the beat I have found that show time allocation as if viewing them on a clock face. Highly recommend as it does not push hard on buying the upgrade. You can use the widget effectively without.","29 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8dZhRDEUVsf8o5OMvvzVWZgF5J7nkPaQsSqBJColk=s32-rw","Pernilla Edlund","September 17, 2022","I tried Sectograph a few years back but it wasn't my thing. I thought. But probably I didn't take the time to explore it and understand it, because now that I tried it again, i find extremely useful with time between meetings and a graphical overview of the next 12 hours. Customizable in many aspects, syncs well with Google calendar.","25 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_M5HagEMB3CKb9rXWc__sqtHJIW95bmxn7DV14=s32-rw","Alessandro Buffa","November 2, 2022","I love the app I used it every day but now it's not been working for a couple of months. It doesn't show the events of my google account, no problem with local events but I want to have everything on the cloud and not have duplicate events offline. The review would easily be 5 stars if this problem wasn't there but I tried everything in the faq and more to solve it and couldn't. Please fix it I want my app back","3 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-y4NsHeusLjBvoukBb8uGx2o12AI6-tiY3iUDvvm8=s32-rw","Elijah Kennedy","September 11, 2022","A brilliant idea, an entirely new way to look at the passage of time that strikes me as having advantages to this square-calendar-concept that is the default. I will admit I have used it in a while, but whenever I do I really enjoy this new way of seeing the time available to me and how it is filled. It gives a clearer perspective about how soon things are. If I had a smart watch and this was a function, I might just look at it all the time.","39 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9C6Sbi7EMsQ0TzyNfNCb1zbrRGghMWs9l5RcWy=s32-rw","Rhiannon D'Averc","September 28, 2022","With a little setup effort, I now have a widget on my screen which tells me where I am in my time blocking for the day at any given point. I wish there was more customisation for the widget eg adjusting the range of viewable time, making it more aesthetically pleasing beyond just colours. There's lots of options but not the ones I was looking for primarily. Still, it works.","9 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9K94_Y-V9jQwzbKcu0nOCuy3qgF1JHFBzFilH1NQ=s32-rw","Little Nelsky","October 23, 2022","I like it, I have ADHD and am hoping I can visualise my day easier. I just wish I could use it on my galaxy watch 5 as a tile widget and not have to change my watch face completely. I don't want to have to keep switching between and don't want to see this on days off. Granted there is some improvent Samsung could make here too like allowing 2 simultaneous watch faces by pressing either button. But a tile option would atleast make this useful for those who don't want it as a watch face","2 people found this review helpful",""
"https://play-lh.googleusercontent.com/a-/ACNPEu82hV2NtciF04MdBuZlwsatLW1X_IiwK0EO-vz8lic=s32-rw","Rajesh Kumar Singh","October 30, 2022","This app is just awesome, has found a permanent place on my home screen. I love to see my day schedule on sectograph instead of the calendar. Only one suggestion as I am using more than one calendar with it, if there's a festival its repeated for N number of calendars. This should be merged and shown once only.","",""
