"
  Spike Email - Mail & Team Chat","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu_q2UiArzXZO39i3YKRTv6hdk-NjrdSXyZrJRiHIQ=s32-rw","Amit Chandra","Show review history","January 27, 2022","Hi, I have been using this app for a 5 days now. Everything is pretty fast and neat. There's no need of refreshing it. The messages are sent and received in real-time. Loving it. However, there's a shortcoming for which, my rating fir this app is stuck at 4: there's no way to customise font! Basic underline, italic, bold, font resize, colour, etc. are missing. With inclusion of these customisation, this app would be the best in mobile work-emailing.","211 people found this review helpful","Spike Email - Your Inbox reinvented","January 23, 2022","Hi Amit,
Thank you for your positive words! We are thrilled to hear that you're enjoying Spike, that's music to our ears!
Do you mind changing your rating to reflect the review that you left? 5 stars would be really appreciated 🙏
If there is anything we can do for you, don't hesitate to reach out by sending a message to chat@spikenow.com"
"https://play-lh.googleusercontent.com/a-/ACNPEu-oOjeY-xYgUNYyhDVu4cyYEOfe_1OVT2XxDIKFYw=s32-rw","BODHISATTWA DAS","","December 25, 2021","Great app for mailing. Using this for last few days and working great. Only issue that I faced and development team should aware of , the cloud attached for Google drive is not working well. So , yet not able to attach any file from Google drive. It's taking much time , and fails . And one have to go to the file from drive , then share it via spike . Thats the only way. Otherwise features are working seamlessly.","213 people found this review helpful","Spike Email - Your Inbox reinvented","December 28, 2021","Hi there, thank you for your positive review! Please make sure you have a strong internet connection. Kindly shoot us a message with 'BODHISATTWA DAS - google' in the subject line to chat@spikenow.com, we would be glad to help. ☺️"
"https://play-lh.googleusercontent.com/a/ALm5wu0ozJUjEhb2GYpJqXmp4WEXlJhbTKqXCPJ31sx3=s32-rw-mo","Jim Daniels","","July 5, 2020","Amazing Interface. The major problem with an email discipline is consistency. I think this app enforces that through auto archive on reply. Just install it once. My only caveat is inability to add my profile picture for some reason. It doesnt load my gallery nor ask for permission which it already has. Anyway, this will work as you want. Even you think you are going to stick to your way, spike works the way you want it to. So install it now.","117 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu98lE-drKdpdgwfiM-UCPeX-1NzQPpP6gPhymau=s32-rw","Vlad Shu","Show review history","November 9, 2022","So far, so great! All thumbs up for the awesome work..in the beginning, but the latest version has managed to earn the app a 4 star downgrade. Reason: Following the phone clean up, the app freezes on intro screen and goes into an endless loop. No matter how many log in reiterations I go through, the result is always the same. Don't exactly know what the dev.s did here, but they sure didn't develop anything further. If anything, managed to break a perfectly fine working app. ""All thumbs up"".","3 people found this review helpful","Spike Email - Your Inbox reinvented","November 16, 2022","Thanks for the updated feedback Vlad! We'd like to better understand your statement regarding the Spikeperience you have. Can you please drop us a message at chat@spikenow.com with more details and a video if possible with the subject line ‘Vlad-Gplay-Freeze’ so we can recognize you?? Looking forward to your update 😊"
"https://play-lh.googleusercontent.com/a/ALm5wu2ELTFG-jqYX9wVvui7x1MS41aYORmQtFQVzPAh=s32-rw-mo","Alan Johnny","","October 30, 2022","As opposed to others' reviews which is the reason I downloaded this App, my experience with this App hasn't been fulfilling. At first, I downloaded it and tried logging in, it displayed error. So I had to wait for hours before trying it again. This time, same thing happend, which prompted me to uninstall and redownload it. This time around, a full-screen error msg appears, but all other Apps are working perfectly ok in my phone. I earnestly believe Spike is not for me, so I humbly take a bow.","28 people found this review helpful","Spike Email - Your Inbox reinvented","October 30, 2022","Hi Alan, Spike is trusted and enjoyed by over 1.3 million people. From realtors to teachers and entrepreneurs. People from all walks of life have chosen Spike to streamline their email experience. But just like mix-matched socks and orange soda, Spike is not for everyone. If you have any questions, we're here: chat@spikenow.com 😊"
"https://play-lh.googleusercontent.com/a-/ACNPEu8bozr7kWMOEdJJWs6asynEoIyUssIQdS3i5I-b8zs=s32-rw","Irene","Show review history","September 13, 2022","Update: now you can only have 1 email address unless you upgrade. OG: Really visually appealing and efficient to use! My only problem is that messages with pics often won't send. I'm not sure if it might just be because I'm using cell data which is a little slower than what the app needs? Just wish that the message would send slowly but still send, rather than saying ""can't send"" so quickly. I end up just having to use another mail app to send sometimes.","106 people found this review helpful","Spike Email - Your Inbox reinvented","September 14, 2022","Thanks for leaving a review, Irene. Spike is free for 1 email address. If you need help connecting more email addresses, we'd be happy to help! We'd like to better understand the Spikeperience you have. Drop us a message at chat@spikenow.com with more details and a video if possible with the subject line ‘Irene-GPlay’ so we can recognize you 😊"
"https://play-lh.googleusercontent.com/a-/ACNPEu9mDeTCxpShhgZdra4XJOHDvLZ23a9QzAIkgbiazg=s32-rw","Rhyme W.","Show review history","September 22, 2022","Spike was pretty good at one point dispite a few small bugs, but lately they've been removing features and hiding them behind a pay wall. Limiting the search history's scope was frustrating, but not too bad. Now the amount of accounts you can link has been limited meaning the whole point of the app for me is now hidden behind a subscription fee. Sadly I can't justify paying for an email apps subscription fee on my current budget so I guess it's time for me to move on to another app.","116 people found this review helpful","Spike Email - Your Inbox reinvented","September 23, 2022","Hey Rhyme, In order to see full search history, and add more than 1 account, you’ll need to upgrade your account. We wish we could make Spike entirely free, but we prioritize keeping your data secure without monetizing it in any way (Spike probably has the best value in the market 😎), especially when utilizing all the tools that we offer."
"https://play-lh.googleusercontent.com/a-/ACNPEu-bD8P5QJkYAKWO9LC6YcYLqhRazTbf2KEwsNKyGw=s32-rw","The Variable","","November 15, 2022","I use email, very often to communicate with a certain group of people regularly, this just make it so much more convenient and easier for me to write new mails and look for old ones, definately a very good app in the productivity section of things. I would recommend it to people who use email on a daily basis.","","Spike Email - Your Inbox reinvented","November 15, 2022","Thanks for taking the time to leave this review! 😎 We're glad you are finally able to enjoy email -- that's exactly what we're after! Spike is awesome on its own, but have you used it with friends and colleagues? You'll get all the real-time benefits. Check it out and if you ever need help with anything, we're here --> chat@spikenow.com"
"https://play-lh.googleusercontent.com/a-/ACNPEu9dAW3z9kdGThAbv3bKnDZ54sNhwswxUQ9sjFrw=s32-rw","Mariam Yasser","Show review history","November 16, 2022","Spike is a great app overall and I've reached out to the customer support to help me out with my subscription and they were more than kind and patient and solved it. Thank you so much! And now I have the pro version with 3 emails. Yay!! 😁😁","","Spike Email - Your Inbox reinvented","November 17, 2022","Thanks for updating this review, Mariam! 😎 We're glad you are finally able to enjoy email -- that's exactly what we're after! Spike is awesome on its own, but have you used it with friends and colleagues? You'll get all the real-time benefits. Check it out and if you ever need help with anything, we're here --> pro@spikenow.com"
"https://play-lh.googleusercontent.com/a-/ACNPEu_XYMtb-_Nxl01-TEHpEYcHzxvRv27GPpDl8gnBXg=s32-rw","Renan Vicentini","Show review history","August 26, 2022","Really happy with the app - the best I have worked with so far. The only missing feature really is to enable us to customize incoming sounds - I find the default one to be both too low and ""boring"" (or too common, I can't distinguish if I'm the one being notified when I'm in a group ). Please, please enable it, people - and then a 5-star review is coming your way!","24 people found this review helpful","Spike Email - Your Inbox reinvented","August 27, 2022","Hey Renan, thank you for taking the time and leaving us a review. The feature, customizable sounds, isn't currently available but I’ve upvoted it on your behalf - hopefully, it will be included in a future update🙏"
