"
  Square Home","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu9yOgl5pmmsc5FVyfmSKOrq-DD_MvhYFp8gpQD-E98=s32-rw","Shubhadeep","Show review history","May 7, 2020","It's undoubtedly one of the best launchers I've used till date. Especially the windows style gives you the freedom to keep all your favorite apps in one place, and also keep the look clean, not mess which other launchers dont offer. But I have a complaint regarding the contract set-up. Whenever you open it, all the contacts gather together in grid view which creates problem in finding the one you're looking for. It's also damn irritating. Kindly add an option of list. Otherwise, great job guys.","95 people found this review helpful","ChYK the dev","May 6, 2020","Home options - Contacts - turn on ""List type"". Thanks."
"https://play-lh.googleusercontent.com/a-/ACNPEu8yBD9tixqnMVIdBOZYgPVGn3ZSmP9HjVcLMm7-ug=s32-rw","Ravikant Bargale","","July 18, 2021","Best of all the launchers currently available for Android. Looks awesome, like nothing else. Initially it looks like windows tiles, but you can tweak it however you want, and make it look completely different. It's fully customisable! You can literally create your own interface & look. Comes with its own set of useful widgets. You can stack lots of widgets together in any way you want, and then lock everything at place! Also, effects and styles are cool! Just love it!","87 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","October 26, 2018","I was a fan of Windows phone interface. I loved Lumia series of phones. I loved Android too. I miss Windows phone experience now as Lumia phones are almost unusable now. So I have used many launcher apps on my Android phones to replicate my Windows phone experience. And I was disappointed with all of them. But now I think I found right one. It is too early to comment as I have used it only for 2 days. But I am amazed How good this app works. Some of the things work even better than Windows phone and also some things are missing but it's not a big deal. This app convince me within a day to buy the full version of the app.","11 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_vxLuzBnP56a81cZk6bU3P1UQYdUM9KCmwe0oY=s32-rw","Rishi Vasulkar","Show review history","August 6, 2021","AMAZING! This is the best launcher that I've ever used. It is packed with some excellent features. But I feel that the developer/s need/s to work more on the ""recent app"" transition as well as making switching between app in recent more smooth. The effect is not laggy but it take time to switch between apps when compared to the original phone launcher or other launchers available on the Play Store. Rest everything is perfect. Definitely give it a try. A very nice concept and perfect execution👍","6 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","October 30, 2019","Good, but it can be much simpler to edit. This launcher comes very close to experiencing the windows phone aesthetics. I've missed it so much. --- Editing is a bit tedious. Please make it simpler without getting lost in the settings. Need more color options or styles as in this case. Thanks.","14 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-QDZsLp04n28X_Uguir3O3oo22ul8fnelF9d7g=s32-rw","Kaushal Yadav","Show review history","February 13, 2022","Absolutely perfect. Everything that was possible on Windows phone 10 and even more. Best launcher for anyone looking for that windows phone look. Just keep it updated and maybe add some new widget. And one request, add option to slow down animation speed for some animation in widgets like in photos (more than 60 seconds ) and contacts widget. Purchased full version for lifetime.","94 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu2DFCMq8jKbwS6VX-0LiCdpaNgl-Tble_zmN_J3=s32-rw-mo","Gulam Haider","Show review history","July 2, 2020","I bought the key about a week ago, and had been a user of the free one, for the past 3-4 years, it really is crème de la crème of customization apps, I have bucket loads of suggestions that I would hope can be implementend, just have to find ways to put them into words, first request: if one can individually select in home screen, icons or widgets' rounded feature, on or off, an alternative to applying it to all.","29 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","March 8, 2019","The closest you can get to a Lumia experience. I tried Launcher 10 and it was bug ridden and the memory management while editing tiles was really horrible.  I also think that Squarehome does not really show its potential when you first set it up. Once you spend sometime you cannot believe how personal it can become.   Kudos to the dev. Excellent app. I just wish there was way to have weather tiles as well. I miss that.","3 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_lt6TvwkCB9qxeBD1Ak_85L_Yo8mcqH3PHjDZGVJ0=s32-rw","Ari Rando","","November 6, 2022","It's a delight to use! I have always missed Windows Phones so this launcher does exactly that. I love it! Just a couple of things would be nice to see: double tap on the screen to lock and the battery widget should update automatically when I unlock the screen (sometimes it takes almost a minute to do that). Other than that, it's great!","16 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu3ZnjsHviTZpO7CaBU0xXNTUMeTJlvZC6_jfpZf=s32-rw-mo","Nunayo Bisnez","Show review history","October 9, 2022","This app is the best. I'm one of the people who dearly misses Windows Phone, and I love how this app closely replicates that look. Because it's on Android though, the developer was able to create so many more options for customization than a WP did. Amazing job with this! I gladly purchased. The one thing that I would like though is an option to customize the available colors for the tiles.","75 people found this review helpful","ChYK the dev","August 23, 2022","You have totally 15 tile styles and you can customize them in Home options - Tile size and style.
Thanks."
