"
  Tapet Wallpapers","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu_IsTphyzmfw4W6IzWyGCrot7Wi_iBqIqm4cWTdRZM=s32-rw","Hemanth V","Show review history","May 31, 2022","This app is really awesome, in that it really generates unique and cool wallpapers. It really adds a personal touch to your phone. I never use much wallpaper apps, but this one is unavoidable😁. There was a problem with the app few days ago, to which the developer was really quick to respond and fix, so thanks for that, and really good😁","35 people found this review helpful","Adrian Aisemberg","May 30, 2022","Probably a bug. I'll investigate.
Found the bug and released a fix. Please stay tuned as it rolls out."
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","","September 26, 2019","Look, no doubt a great app. But, the worst thing is that selecting a suitable color from vast verities. I think they should add an option so that different users can upload their bests . So other users can easily pick nice wallpapers. Another thing is that some colors are irritating, I don't think that people should like them, but they are still there.","59 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-dJii7mNkrQMuVdllrQ8fDiFj0Ys942aSiUWTDrEQ=s32-rw","Steve McKinnon","","October 19, 2022","finally a well executed app with an original idea. would love to see more variation in the patterns but the mechanic of how the app works is brilliant. this is the perfect wallpaper app for those who love to dial in the color, look and feel if they're wallpaper.","8 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8J5MobkiFCIalEEYTOJM3C5jvZofad_IKBh_IuJQ=s32-rw","Janet Osborne (JaLyn)","","June 26, 2022","I 'm not quite sure if there's any other wallpaper apps out there that even come close to having the same concept as Tapet because I know that I've never seen one. I'm a crafty person so Tapet is right up my alley. My only complaint is that once I start playing with all of the numerous pattern and color combinations I end up losing track of time and don't get anything else done, oops! A big thanks & hats off to the developers on this one!","55 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1okc8sRLmY8XdmBe-sfq5yCsMVGK7d_cLX4ve2=s32-rw-mo","Bob Raisbeck","","August 15, 2022","Reviewed by me upstream somewhere. But my opinion is unchanged years later. It's invariably the first or second app I download whenever I replace my phone, and I find it hard to picture that ever changing. I also use the KISS launcher with the settings on ""beyond minimal"" (i.e. nothing, literally nothing at all, on the screen; which, as you can appreciate, makes a particularly focused examination zone in which a wallpaper app will pass or fail... Tapet passes.","18 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9qZBlAaJT9ECODtcncIU0D_Bu2vHP-1XJ9Frt8Aw=s32-rw","Scott Almond","Show review history","October 5, 2022","Was good. Now does the opposite of what i want. Forces ugly premium wallpapers even though i don't own the premium version. Cant get it to show the actual wallpapers i want anymore. Huge fail by giving premium features away for free. Would be ok if i liked any of the premium designs","1 person found this review helpful","Adrian Aisemberg","October 2, 2022","Purposely a bug. Would you mind contacting me via the app? I'd like to investigate this with your help."
"https://play-lh.googleusercontent.com/a-/ACNPEu88242BSbAwXVK6c62pLhiSNlznut8CiLhOxqBIzQ=s32-rw","Al-Amin Pathan","","October 8, 2022","I really like this app very much. Their design, build quality, algorithms, everything satisfied me. So I suggest you to try the application at least once, if you need premium quality good wallpapers.","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu3inKh8vyMrOoQWKul2da0KRxximI7ylzn-CJqz=s32-rw-mo","Munashe Mutuswa","","October 30, 2022","Here is the one app that does what the rest can't, be original as well as providing great service for the free version. Amazing app overall and the developer is doing a great job.","1 person found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-D_dUJ65sLTcuGaI-eRo-ji05W3g_qE-qtBi9s=s32-rw","COD warrior BD","","August 20, 2022","If you love abstract wallpapers like i do then you don't need to look for the perfect app anymore because Tapet is here ! This is the best of the best ! So easy to use and so intuitive. Totally free to use. The wallpaper patterns and colour mixings are totally insane ! No ads here by the way so that makes it more sweet ! Try it to believe ! This is a 10 star app !","37 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1uuw3YZDp1BGAkmKEV3Hk9V91tIaHamaOhmCJ2zME=s32-rw-mo","Mozart Archilla","","September 13, 2022","It is perfect, beautiful wallpapers randomically generated a couple times per day, truly everything I was looking for.... if it wasn't for the fact that every few days it gets stuck on one of them and I have to look for the app, open it and ""nudge"" it to the next wallpaper so it gets back to working again.","7 people found this review helpful","Adrian Aisemberg","September 14, 2022","Thank you for your feedback. 
Please contact me via the app (in the About page). I'd like to investigate the issue you mentioned."
"https://play-lh.googleusercontent.com/a-/ACNPEu-z_V9YtQDPC2sJAuM25TyGnCytlAH2bzZOPWvKhw=s32-rw","Leland Robinson","","July 16, 2022","I've been using Tapet for well over a year. I am not the biggest fan of the update, there were a lot of patterns that I liked that are no more. You can only set a max of 5 colors vice virtually unlimited before(I usually stopped at 7), I wish they would bring those options back.","34 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8gJUNhlAmkbjgf-IAo9banby0FZRWGKEeXQWhx-8U=s32-rw","Eric Rybarczyk","Show review history","October 26, 2022","Excellent app, lots of options to get wallpapers you like. The premium purchase is worth it for the added patterns. The app has been very reliable too. Update: October 2022 - still using this great app!","9 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8FjYjJAUgt7cYa2n9397R5CKACoioh8phRX0Prqwk=s32-rw","John C Dyess","Show review history","September 29, 2022","I've used this app for years without a problem. I've enjoyed it so much, and it's been my wallpaper for so long, that I feel like I should pay for it again. Edit: After this latest update, it's so gorgeous and integrated I hit that donate button! So good!","1 person found this review helpful","Adrian Aisemberg","September 30, 2022","Cheers! Thanks for the donation John!"
