"
  Taskade - Tasks, Notes, Chat","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc"
"https://play-lh.googleusercontent.com/a-/ACNPEu-MdFOUuDv67oZPfb9NaJ9pa4clk8nzEcvKonxeTQ=s32-rw","Bhargavi Bhat","Show review history","June 5, 2022","Best productivity app out there! Giving 3 stars because some tasks from my workspace doesn't appear in the ""my tasks"" bar even though the due date and time are set correctly. This made me miss out on certain tasks a few times! Also the extension on chrome isn't working at all. It worked the first few times but now I'm not able to directly add links to my list. Please fox this bug :)","15 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-qsbOETocXlo6C1KOITC8DGP0Qje4Hlkyk3pOALg=s32-rw","Harsh Singh","","August 3, 2022","Excellent app. Ideal for those who want everything ordered and enjoy striking through whichever tasks they have completed. Brilliant for engineering students. You might find it difficult to start with in the beginning but gradually with time you'll find out how much powerful the app is and how easy it becomes to use.","4 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_UjLA0BSqZp5dRHpRTYuYS54UkjPoCgQIxZ3nA=s32-rw","Ifaam","","July 20, 2022","The web version of Taskade is God-sent literally because it has so any amazing features. I was planning to create a Second Brain in Taskade so I installed this app but the app was...not good. It comes nowhere near the web version. I really wish the app starts to look something like that with all those amazing features, especially those different views (mindmaps, calendar etc). The app also lags on my Samsung tablet.","11 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_hwQtzw3dnDr7uugiwkRKD7RACkYRfZewyDB1Y=s32-rw","ROG_SHAKHYAR","","January 27, 2022","The best. Provides the most professional features for free. Plus everything is cloud synchronized, that means all your plans, schedules, can be viewed on multiple devices, and moreover on the web version, you can view your lists as mind map, organization chart, and much more. Even the taskade mobile is getting good updates frequently. And they have lots of free useful templates for us to use. Taskade never disappointed me. THANKS A LOT.","35 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu8uFNSxet_7IdOBKfoTcApiVkvf9-Qc3VelaycLQw=s32-rw","Deepak Surya","Show review history","October 5, 2021","Amazing app for managing projects, routines etc. I love the fact that it's available on all the major platforms including Linux, big thanks to the team for that. The different views are really helpful. I think the UI/UX could be cleaner. Not every project needs to have the chat or call options and few other things like that. The app is very fast and responsive unlike some other similar apps 😅","63 people found this review helpful"
"https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g=s32-rw","A Google user","Show review history","December 15, 2018","I love the App functionality very much.. I was looking to have an app that does cross sync between Windows OS and Android OS. But only concern is that it is not opening offline. Also it needs WIFI connectivity in Mobile.. Otherwise it is not opening in Mobile Data connection.. And it would be good if they provide Widget option in Desktop version.. Other than that the App is awesome.. But currently I uninstalled it and using my favourite app TickTick..","9 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-s9tU5veaRrnc_3G8bbzcnSjvwMOzFHF_yCsxThw=s32-rw","Mimansa","Show review history","December 30, 2020","I love this app. I love organising here and the features are diverse, and the aesthetic is cute and simple. Only problem is it lags a lot. I don't know if it's cause of my phone or anything, but it hangs a lot so I can't edit tasks quickly (often times,random selects happen, intentional selects are VERY slow and causes a lot of trouble) Ps. I think an option for selecting a lot of tasks for deleting and reordering should be made. Other than that, this app is the best app for organising,overall.","15 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu_BxXpaixpInSRDpefplVweu7klCEvI0Sh9J1Wjgg=s32-rw","Cinthia Goch","","November 4, 2022","This app has great features in its free plan! It's more complete than most other apps and it doesn't have annoying limits. It's incredibly flexible and functional, perfect for people who have multiple projects with different structures. If one day my projects and team grow enough to use the paid features, I'll keep using this app and pay for the extra features because they were free when I was small.","2 people found this review helpful"
"https://play-lh.googleusercontent.com/a-/ACNPEu-Vne3tYudkKa9HfP1gCQNbOlcTmY_B6KfJG7pJGg=s32-rw","Denise de S.C.","Show review history","October 19, 2022","The app is terrible on mobile phone! The features don't work at all: can't modify, can't change type (bullet, task, paragraph), lags, freezes, doesn't save properly, when I want to edit a text a blank page appears, even though the editing options appear I can't see my text (I'm not sure how to explain this last issue). I prefer the pc/desktop and online version. Big downside is that you MUST HAVE INTERNET CONNECTION to open and use taskade on the phone. Can't you ""pre-save"" like Notion does?","2 people found this review helpful"
"https://play-lh.googleusercontent.com/a/ALm5wu3czu9UJOe-oKun0Ae_SSOYVxuyy2Vjc0HI-LPg=s32-rw-mo","Beata Kwiczala","","September 15, 2022","The app is great and easy to use. I am really impressed how responsive Taskade's support is. Usually when one sends an email to a help center, it ends up in a black hole with no reply, but when I contacted Taskade's support, I got a reply within 24h. They had been sending me emails with upadates until the issue was solved.","3 people found this review helpful"
