"
  Taskito: To-Do List, Planner","username","VfPpkd-StrnGf-rymPhb-b9t22c 2","bp9Aid","review","AJTPZc","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu8W2ADMtwD34FnR52Roe39F0R_ZbZTKjttaPmlmG8I=s32-rw","Sanjay Joshi","Show review history","October 20, 2022","This is a promising app. I moved to this app from ticktick a few days back and purchased the premium too. The only problem I have ever faced with this app is it doesn't notify for past events/tasks of the day when the device is switched on after the reminder time. For example, if the reminder time was 9 am and I switch on device as 9:05 am, I would miss the 9 am task. My older app used to do that and it was very convenient. You would be a 5 star app if you could also do that.","7 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-P5aKGp_vkzsdmodmPaTe5oHqkJIaJR40L8zbI=s32-rw","Suleman Khan","","July 9, 2022","It is a nice app, it was the first app for which I purchased the premium. UI can and needs to be improved; ""Boards"" feature is not that useful, perhaps, a kanban-view feature can make it better. I like the overall app design, reminds me of my bullet journals. Months ago I send a few complaints and recommedation (from another id) and I do not see any of those changes and fixes being made. Understandably, they receive a lot of those and it is very difficult to program any changes, but still","22 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_zzImgbOsJ7xbJA-_qOTLQGOtg54giLkeHZ_IdpA=s32-rw","Archer Frost","","May 3, 2021","Brilliant, polished and feature-rich. I tried nearly every other popular option available on Play Store—and nearly every one of them misses some crucial feature or is locked behind a subscription wall. I bought the Premium version and it's a great relief to not have to deal with recurring subscription fees. I bought the product and I own it—I feel more in control and that's the point of a task app. However, PLEASE add a ""task duration"" feature (to specify a time period allotted to a task).","42 people found this review helpful","Taskito","May 6, 2021","Thank you for providing your valuable feedback. Please reach out to us at hey.taskito@gmail.com, if you have other suggestions."
"https://play-lh.googleusercontent.com/a-/ACNPEu-9yv9h9P5mhEDztR2GDten_8PupW4j97aNO18H=s32-rw","Smriti","","November 8, 2020","The app is wonderful. I've had many organizing apps but this one stood out the most. Its format is clear and user-friendly. Its not complicated at all. What I like more about this is that all tasks get sorted automatically according to the time set, and that inner checklists are provided. However, I would've given it a five star if it also had an automatic reminder setting, instead of the user manually setting up reminders. Thank you.","5 people found this review helpful","Taskito","November 8, 2020","Hi, thanks for your feedback. We are working on the automatic reminder feature right now. Stay tuned for the updates. If you have more feedback please reach out to hey.taskito@gmail.com"
"https://play-lh.googleusercontent.com/a-/ACNPEu8MQJkhvRb8fwJXV1OqpeoJAAb2vZH-6_kPypzAZA=s32-rw","Ajinkya Pokharkar","","October 24, 2020","I like the UI/UX of the app overall. It's pretty; the colors, the timeline mode, the themes. Nice to have a good widget. Used the app for last 2 days and found that creating a task with a reminder takes a lot of clicks since time-date and repeating it are in different option. Snooze is limited for 4 hours, can't snooze it for a day or change the date from the pop-up window. It isn't cross-platform yet. There is only one widget. TickTick's free version does all this and some more.","2 people found this review helpful","Taskito","October 24, 2020","Thanks for your feedback. Please update the app as we have added a lot of new features including recurring tasks."
"https://play-lh.googleusercontent.com/a-/ACNPEu8N4jbgSiwk9yKaQJCh4lUG72t1iXJ9CuQG0Ij8rg=s32-rw","Arpita","Show review history","March 24, 2021","All features are great, but I just have one suggestion. There should also be an option to add repeating tasks, and not just reminders. Also to add, I find it very neat and handy too, especially the timeline. I enjoy just looking at it! 😊😂 Edit: Or is there a way to make tasks (other than repeating reminders) recurring?","23 people found this review helpful","Taskito","October 26, 2020","Thanks for your feedback. We have implemented recurring tasks feature in Taskito. Please update the app to get the latest features. Do let us know what you think about it."
"https://play-lh.googleusercontent.com/a-/ACNPEu-1WO_TFFV6lmmmuPAEKeTGzPwfbP114iWv0aBo-0U=s32-rw","Abhigyan Banerjee","","December 21, 2020","Love the attention to detail on the UX. The only thing missing is some kind of natural language processing to understand dates and times instead of making me pick in a date picker. That's the one feature that Todoist has that makes me want to keep going back to it. Aside from that, I would switch instantly. Have still purchased it, because the UX is so fresh and I want to support the devs.","16 people found this review helpful","Taskito","December 21, 2020","Thanks a lot for your feedback. We appreciate your kind and encouraging words. Natural Language is a feature that we plan to add in 2021. Stay tuned for updates. Feel free to reach out to hey.taskito@gmail.com if you have more feedback."
"https://play-lh.googleusercontent.com/a-/ACNPEu9mc1y9eD3DLM7rPn4NLOChBSFlVlre0JSy72_A=s32-rw","Jishnu Nair","Show review history","April 12, 2021","I totally love this app. I would love to see the web version of this app since I use my desktop more often than my phone so syncing the task on both the devices will be helpful to me and a 2-way synchronization with google calendar will be helpful. Apart from this I just have one problem that the notification of the tasks sometimes doesn't come at right time either it comes before or never come. So apart from this problem and the above mentioned suggestions, I don't have any other issues","15 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu98G_dj-5b1Td9vddW2bKxjrSlJLuAag-7eC2Q8=s32-rw","Mortal Forever","Show review history","September 6, 2021","Great App !!!! Easily deserves 5🌟 but just a few more features needed. One is colour picker wheel for anywhere colours are used in the app, like tags, projects etc., should be able to choose any colour manually which can be displayed on the screen. Also, custom theme making should be an option too. Another important feature missing here is manual backup. We should be able to manually backup, transfer to another device and restore whole app data as it is. It's really helpful when changing phone.","2 people found this review helpful","Taskito","September 6, 2021","Thanks for your feedback. We have noted down your suggestions. A 5 🌟 rating from you would support us build more features."
"https://play-lh.googleusercontent.com/a-/ACNPEu9aIa_uHpntgMPHrRcWAw1jR9YVkuZQnrA3_gHFDg=s32-rw","Shreshtha Sinha","Show review history","March 26, 2021","This app ended up replacing all my other to-dos apps. It is effective, the timeline flow concept is ingenious, the layout gorgeous. The project management is another notable feature. I like the sticky notifications and separate reminders that I don't wish to see in my timeline. Awesome work! I'll highly appreciate a basic text editing feature though (bold, underline)/Task Days Duration please and if possible, I hope we get the option to attach images/files in the future. Overall, brilliant app!","3 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_LriPAPa37Dzvi3rkzdtXsvvScXbMYTRhIurifxII=s32-rw","SAI KAMESH","Show review history","February 7, 2021","I installed the app. It looks clean and intuitive, so I bought all add-ons to support the developer and I also get some features which btw are basic for Todo. Feedback: add an option to set timers for the tasks, so that we know how much time we are spending on the task to our estimate. (I hope new/upcoming features will be included for those who bought all add-ons pack) :)","6 people found this review helpful","Taskito","February 25, 2021","Thank you for providing your valuable feedback. Please reach out to us at hey.taskito@gmail.com, if you have other suggestions."
"https://play-lh.googleusercontent.com/a-/ACNPEu-s81RCAihALf7vckYyWTssS7sInCc7In7szj5oUw=s32-rw","Bhoomi Khedkar","Show review history","February 4, 2022","I did like the app, it doesn't take up much space and is efficient, but I'd like to give a suggestion which is I'd like it if the app had a calendar view with the events showing at the bottom of the screen instead of taking me to that day (like the default app in the device system). The app is really nice overall.","39 people found this review helpful","Taskito","February 4, 2022","Thanks for your feedback. To get notifications on time, please make sure that Battery Optimization is disabled for Taskito. With battery optimization, the system stops the app from working and Taskito can't send you notifications. You can find more info here: https://dontkillmyapp.com/xiaomi"
"https://play-lh.googleusercontent.com/a-/ACNPEu-cYJf3uSQry--D-C3CihsRYT8Nsn6rfPsNIZpa5A=s32-rw","Yusuf Kathawala","","November 14, 2021","Dear Developers I have just installed the Taskito app and started using it. I am very satisfied with the outlook and the time line list which the app generates. I wished that you could also add a feature to add notes to the tasks or also add attachments like photos or documents. It would really be helpful if you could add the above features. Is it possible?","29 people found this review helpful","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9HwpKVVgxjKVpx7DeJRb1Lm7V2tykWM0m43V3VDQ=s32-rw","Ashish Dalal","","February 27, 2022","I really like the timeline feature. Combining tasks with a timeline and notes is wonderful. I have a few suggestions that I'd like for you to work on. 1. Add a pomodoro feature along with statistics. Currently I have to use another app for a pomodoro timer. 2. Make a Windows based application too. Most of the time I'm working on my laptop and then I have to pick up my phone for marking a task complete which often times leads me to open Instagram and waste 30-40 mins.","55 people found this review helpful","","",""
