"
  edvanza","username","bp9Aid","review","AJTPZc","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a/ALm5wu1ZSVKyqviXi5wrQ67h-IQLKex69PRH-G6B6Fsg=s32-rw-mo","smitha kumar","October 17, 2022","I like the idea of this app - an all in one app for all your career needs, whether it is career transitions or learning. It helps me to have a single stop solution for courses, events, mentoring. I am hoping the glitches that exist will be rectified soon.","18 people found this review helpful","October 17, 2022","Dear Smitha, thank you very much for sharing your valuable & useful feedback. Our team is working towards fixing the bugs and enabling a great edvanza experience. If you have other feedback or suggestions, please write to us at support@edvanza.com. We would love to hear from you!"
"https://play-lh.googleusercontent.com/a/ALm5wu1FGwClqtD1t77EEAjIGA16p2yPcEweuPyF4HB7=s32-rw-mo","Pamela Paschal","November 6, 2022","edvanza app will make job hunting an easy process. You can search for opportunities based on location and job titles, as well as keywords. What’s more, the app will search automatically for new jobs and notify you when a role that matches your criteria is available.","3 people found this review helpful","November 8, 2022","Hi Pamela, Thank you for your helpful feedback. We are happy to support your job-finding endeavors. Feel free to connect with our career advisory at support@edvanza.com. We would love to hear from you! Keep learning and keep growing."
"https://play-lh.googleusercontent.com/a-/ACNPEu9XzNoRQiCSwr9EKaI_0esmHQsJjgFmAjH7MF1YTQ=s32-rw","Miebaka Jenewari","October 31, 2022","I just installed it base on the good reviews and it looks great but I wish it could went beyond just three industries (although the description mention three, I though it had more. My bad). I am in the legal sector and am also a writer. I wish this app covered such industry.","2 people found this review helpful","November 1, 2022","Hi Miebaka, Thank you for your helpful feedback. We are coming up with new features and more options in industries for a richer learning experience. Feel free to connect with our career advisory freely at support@edvanza.com. We would love to hear from you! Keep learning and keep growing."
"https://play-lh.googleusercontent.com/a-/ACNPEu_EavyqDjkUtnBg-pEimS9mq4cW8Ss0g5NYBstwRg=s32-rw","Dauda Gershon","November 7, 2022","I have installed this App...tested and I think it is very reliable,secure,fast and user friendly...Based on previous reviews I believe one can use it when he/she travels to anywhere and looking for rental cars and others...","","November 8, 2022","Hi Dauda, Thank you for your helpful feedback. We are happy to have the functionality of learning on the go even in travel or commute. Feel free to connect with our career advisory at support@edvanza.com. We would love to hear from you! Keep learning and keep growing."
"https://play-lh.googleusercontent.com/a-/ACNPEu9VpjFVT5EotHA98NPGi4BYsh2a-WiGbgFzaWq2=s32-rw","sarzie69","October 25, 2022","I'm unable to move past the sign up screen because its frozen, yet somehow I keep getting notifications telling with recommended courses and jobs that would suit me, even though I can't complete the sign up process","3 people found this review helpful","October 26, 2022","Dear Sarzie69, sorry for the inconvenience faced.
Edvanza has a two step verification process to ensure data protection. Please verify your email ID in our ""welcome to edvanza"" email which may be in promotions or others folder. Once its done, you can log-in to the platform easily. For any concerns, email our team at support@edvanza.com."
"https://play-lh.googleusercontent.com/a/ALm5wu37pTezxE8vtdLf46DMCKRJmiE9lUOFzGC-nRgy=s32-rw-mo","Anoushka Singh","October 10, 2022","The app has a lot of solutions for me, I'm figuring out how to use them to the maximum. I would recommend this to my friends. I dont need multiple apps if this app is made simpler, love the concept","17 people found this review helpful","October 17, 2022","Hi Anoushka, thank you for your favorable review and recommendation. We are constantly working towards enhancing the experience and features to help you grow. We would surely incorporate your feedback & for more suggestions, reach us at support@edvanza.com"
"https://play-lh.googleusercontent.com/a-/ACNPEu-TbITTDrQPU7BV6ycQeKTrvyE4Ih3EpC5qjMIs=s32-rw","usiraire isaiah","October 28, 2022","I like the idea of giving technical support to a career goal is Nice. More courses should be included","1 person found this review helpful","October 31, 2022","Hi Usiraire, thanks for your helpful feedback. We are coming up with new collaborations and partnerships for a richer learning experience. Feel free to connect with our career advisory freely at support@edvanza.com. We would love to hear from you! Keep learning and keep growing."
"https://play-lh.googleusercontent.com/a-/ACNPEu-P5aKGp_vkzsdmodmPaTe5oHqkJIaJR40L8zbI=s32-rw","Suleman Khan","June 25, 2022","The app is so ridiculous that you cannot even login. After I input the ""current/latest role"" and move to the next option, it automatically deletes my entries. As the entries are empty, I cannot move to the next login step. Bugs in login stage are a big loss to companies, eh?","56 people found this review helpful","July 28, 2022","Dear Suleman - Thank you for exploring our app. Could you please try reinstalling the app. Please contact us at support@edvanza.com if the issue persists."
"https://play-lh.googleusercontent.com/a/ALm5wu3NnnTTqLMGFfbz8Fb6ST5tuYaYu70K1HNIuWhR=s32-rw-mo","swarnima siingh","July 11, 2022","At least someone thought beyond courses. Full marks in terms of the concept. Would really work well for the GEN Z. Few things should be made easier like onboarding process, nudges, notifications etc. Are there any events within the app?…I would like to join few.","46 people found this review helpful","July 28, 2022","Hello Swarnima - We appreciate your encouragement. We are conducting events and soon bringing that feature within the app too.
Please write to support@edvanza.com and we will share the events and the dates."
"https://play-lh.googleusercontent.com/a-/ACNPEu90BUD7FHBQayEMZ9D47juRIe2CjLz53okOpArhn7k=s32-rw","Rahul Sharma","October 14, 2022","It is a great place to get the knowledge to get started on anything be it a technical skill like programming or a soft skill like negotiation skills.","10 people found this review helpful","October 17, 2022","Dear Rahul, thank you for sharing your valuable feedback. Thank you for checking out our skills gap analysis tool to strengthen your overall profile. Wishing you a fulfilling career journey. Onwards & upwards. Cheers"
"https://play-lh.googleusercontent.com/a-/ACNPEu-U6u7Ov4KSMFwmO-ZWSym-IwDFpx-xF1UP8Xe3Cg=s32-rw","Olawale Oluwaseun","September 5, 2022","This app is so poor , I can't even login . I tried to reset the password, it was successful but I still couldn't login","4 people found this review helpful","September 7, 2022","Hi Olawale, For first-time users, the first step is verification of account for login to ensure your details are protected.
Please click activate now in the ""Welcome to Edvanza Community"" email & it will redirect you to the app to verify and confirm your email. Check Promotions folder as well.
For further assistance, email us at support@edvanza.com"
"https://play-lh.googleusercontent.com/a-/ACNPEu-suyfg9AHU2BkqoQTxFdUhFZflFEMCHkxjoJX3yQ=s32-rw","Eric Omamuzo","November 9, 2022","The app has a very brilliant and attractive interface with great features to make job hunting easy and exciting","","November 11, 2022","Hi Eric, Thank you for great feedback. We appreciate your thoughts, do let us know how can we improve the rating by writing to us at support@edvanza.com. Also, connect freely with our customer advisory team for any career query, our team will be happy to assist. Onwards & upwards!"
"https://play-lh.googleusercontent.com/a/ALm5wu1Wk2p63cTYRyRhj-GZB73gYtlgNlbk2UMrl7uX-Q=s32-rw-mo","aditi singla","July 11, 2022","I liked how you guys have tried struck a balance of technology and human interaction. But I guess there is still a lot of room improvement in terms of designing the app.","32 people found this review helpful","July 28, 2022","Hello Aditi - Thank you for your motivation. We love to co-create with our users.
Please write to us at support@edvanza.com with your feedback."
"https://play-lh.googleusercontent.com/a/ALm5wu177CiRfSpKUFZhbWShp3CQGTVy9Vin5BllOEHo=s32-rw-mo","Jen 86","November 5, 2022","I was excited to try this app but never had the opportunity. I tried multiple times to sign up but never received a confirmation email in order to sign in. I tried with 3 different email address. There is no option to resend the confirmation code so you get stuck in a loop of not being able to sign in without the confirmation but not having it and not being able to do anything about that. I've reached out for support on two separate occasions but never received any. Disappointing.","","November 17, 2022","Hi Jen,
Apologies for the inconvenience caused, The confirmation email may land in promotions or junk/ spam folder. This bug is being fixed and we will be releasing the new version that would surpass this step in the coming weeks. We request you to bear with us. Please email us at support@edvanza.com."
"https://play-lh.googleusercontent.com/a-/ACNPEu-XQ1iDV6uHZzaJCoh-5JXv0W06OVBXX5iLC6JY8Q=s32-rw","Debjati Pandit","August 25, 2022","Their website is not even well developed. You can't unsubscribe to their emails . I had to delete my account.","","September 5, 2022","Hey Debjati, We regret the inconvenience caused.
Please send us your concern at support@edvanza.com to help resolve these at the earliest. Our team is working on enhancements and will soon be releasing updates to make your experience better. Hoping for your continued support as we strive to give customers like you an ideal Edvanza experience!"
