_id,date,agegroup,cases_unvac_rate_per100K,cases_partial_vac_rate_per100K,cases_notfull_vac_rate_per100K,cases_full_vac_rate_per100K,cases_boost_vac_rate_per100K,cases_unvac_rate_7ma,cases_partial_vac_rate_7ma,cases_notfull_vac_rate_7ma,cases_full_vac_rate_7ma,cases_boost_vac_rate_7ma
1,2021-09-13T00:00:00,0-11yrs,6.24,0.00,,0.00,,,,,,
2,2021-09-13T00:00:00,12-17yrs,13.11,1.92,,0.80,,,,,,
3,2021-09-13T00:00:00,18-39yrs,13.51,6.70,,2.00,,,,,,
4,2021-09-13T00:00:00,40-59yrs,10.91,6.04,,1.41,,,,,,
5,2021-09-13T00:00:00,60-79yrs,9.62,0.00,,0.49,,,,,,
6,2021-09-13T00:00:00,80+,13.64,0.00,,0.64,,,,,,
7,2021-09-13T00:00:00,ALL,9.58,5.02,,1.26,,,,,,
8,2021-09-14T00:00:00,0-11yrs,4.80,5.58,,0.00,,,,,,
9,2021-09-14T00:00:00,12-17yrs,17.33,5.86,,0.48,,,,,,
10,2021-09-14T00:00:00,18-39yrs,11.81,6.75,,2.09,,,,,,
11,2021-09-14T00:00:00,40-59yrs,11.26,7.98,,1.24,,,,,,
12,2021-09-14T00:00:00,60-79yrs,7.57,1.17,,0.61,,,,,,
13,2021-09-14T00:00:00,80+,13.76,0.00,,0.80,,,,,,
14,2021-09-14T00:00:00,ALL,8.64,6.21,,1.26,,,,,,
15,2021-09-15T00:00:00,0-11yrs,4.75,0.00,,0.00,,,,,,
16,2021-09-15T00:00:00,12-17yrs,12.90,1.00,,0.47,,,,,,
17,2021-09-15T00:00:00,18-39yrs,13.39,7.50,,2.25,,,,,,
18,2021-09-15T00:00:00,40-59yrs,9.65,4.28,,1.60,,,,,,
19,2021-09-15T00:00:00,60-79yrs,11.01,2.38,,0.65,,,,,,
20,2021-09-15T00:00:00,80+,5.56,0.00,,1.45,,,,,,
21,2021-09-15T00:00:00,ALL,8.65,5.11,,1.46,,,,,,
22,2021-09-16T00:00:00,0-11yrs,7.24,0.00,,0.00,,,,,,
23,2021-09-16T00:00:00,12-17yrs,13.96,7.06,,0.31,,,,,,
24,2021-09-16T00:00:00,18-39yrs,21.77,7.51,,3.59,,,,,,
25,2021-09-16T00:00:00,40-59yrs,15.77,6.69,,1.79,,,,,,
26,2021-09-16T00:00:00,60-79yrs,14.06,3.61,,1.40,,,,,,
27,2021-09-16T00:00:00,80+,16.84,0.00,,0.96,,,,,,
28,2021-09-16T00:00:00,ALL,13.30,6.54,,2.09,,,,,,
29,2021-09-17T00:00:00,0-11yrs,6.58,10.47,,0.00,,,,,,
30,2021-09-17T00:00:00,12-17yrs,17.47,3.05,,1.09,,,,,,
31,2021-09-17T00:00:00,18-39yrs,19.31,8.67,,2.99,,,,,,
32,2021-09-17T00:00:00,40-59yrs,10.85,4.31,,2.34,,,,,,
33,2021-09-17T00:00:00,60-79yrs,13.74,2.43,,1.33,,,,,,
