date,hosp_for_covid,hosp_other_conditions,icu_for_covid,icu_other_conditions
01/08/2022,0.5302,0.4698,0.7955,0.2045
01/09/2022,0.5395,0.4605,0.8279,0.1721
01/10/2022,0.5468,0.4532,0.8307,0.1693
01/11/2022,0.545,0.455,0.8198,0.1802
01/12/2022,0.5277,0.4723,0.8027,0.1973
01/13/2022,0.5308,0.4692,0.7942,0.2058
01/14/2022,0.5224,0.4776,0.7899,0.2101
01/15/2022,0.5274,0.4726,0.795,0.205
01/16/2022,0.5276,0.4724,0.8166,0.1834
01/17/2022,0.5411,0.4589,0.8253,0.1747
01/18/2022,0.5486,0.4514,0.8115,0.1885
01/19/2022,0.5414,0.4586,0.8167,0.1833
01/20/2022,0.566,0.434,0.8189,0.1811
01/21/2022,0.5559,0.4441,0.7954,0.2046
01/22/2022,0.5588,0.4412,0.8327,0.1673
01/23/2022,0.5539,0.4461,0.8404,0.1596
01/24/2022,0.5564,0.4436,0.824,0.176
01/25/2022,0.5613,0.4387,0.8136,0.1864
01/26/2022,0.5537,0.4463,0.8087,0.1913
01/27/2022,0.5454,0.4546,0.8091,0.1909
01/28/2022,0.5434,0.4566,0.8088,0.1912
01/29/2022,0.5586,0.4414,0.8248,0.1752
01/30/2022,0.5503,0.4497,0.8206,0.1794
01/31/2022,0.563,0.437,0.8256,0.1744
02/01/2022,0.5633,0.4367,0.8253,0.1747
02/02/2022,0.5435,0.4565,0.8345,0.1655
02/03/2022,0.5431,0.4569,0.7976,0.2024
02/04/2022,0.5447,0.4553,0.7837,0.2163
02/05/2022,0.5487,0.4513,0.801,0.199
02/06/2022,0.5586,0.4414,0.8168,0.1832
02/07/2022,0.5585,0.4415,0.8028,0.1972
02/08/2022,0.5526,0.4474,0.7614,0.2386
02/09/2022,0.5368,0.4632,0.8025,0.1975
02/10/2022,0.5432,0.4568,0.8082,0.1918
02/11/2022,0.547,0.453,0.8106,0.1894
02/12/2022,0.5311,0.4689,0.8185,0.1815
02/13/2022,0.5393,0.4607,0.7964,0.2036
02/14/2022,0.5399,0.4601,0.8161,0.1839
02/15/2022,0.5207,0.4793,0.803,0.197
02/16/2022,0.5065,0.4935,0.8065,0.1935
02/17/2022,0.5008,0.4992,0.794,0.206
02/18/2022,0.5089,0.4911,0.8634,0.1366
02/19/2022,0.5115,0.4885,0.7971,0.2029
02/20/2022,0.4925,0.5075,0.8038,0.1962
02/21/2022,0.4911,0.5089,0.775,0.225
02/22/2022,0.4883,0.5117,0.7755,0.2245
02/23/2022,0.4857,0.5143,0.8011,0.1989
02/24/2022,0.4596,0.5404,0.8171,0.1829
02/25/2022,0.4442,0.5558,0.8408,0.1592
02/26/2022,0.4519,0.5481,0.7836,0.2164
02/27/2022,0.4542,0.5458,0.8026,0.1974
02/28/2022,0.4441,0.5559,0.8239,0.1761
03/01/2022,0.4495,0.5505,0.8082,0.1918
03/02/2022,0.4422,0.5578,0.7919,0.2081
03/03/2022,0.4389,0.5611,0.7692,0.2308
03/04/2022,0.4353,0.5647,0.7609,0.2391
03/05/2022,0.4239,0.5761,0.7576,0.2424
03/06/2022,0.4401,0.5599,0.8168,0.1832
03/07/2022,0.4537,0.5463,0.8106,0.1894
03/08/2022,0.4701,0.5299,0.7895,0.2105
03/09/2022,0.4648,0.5352,0.7578,0.2422
03/10/2022,0.4634,0.5366,0.7692,0.2308
03/11/2022,0.4831,0.5169,0.7913,0.2087
03/12/2022,0.4804,0.5196,0.7805,0.2195
03/13/2022,0.4921,0.5079,0.7698,0.2302
03/14/2022,0.467,0.533,0.7857,0.2143
03/15/2022,0.4721,0.5279,0.7544,0.2456
03/16/2022,0.4525,0.5475,0.7838,0.2162
03/17/2022,0.4743,0.5257,0.7981,0.2019
03/18/2022,0.4722,0.5278,0.77,0.23
03/19/2022,0.4684,0.5316,0.787,0.213
03/20/2022,0.4589,0.5411,0.7156,0.2844
03/21/2022,0.4653,0.5347,0.7037,0.2963
03/22/2022,0.4532,0.5468,0.79,0.21
03/23/2022,0.466,0.534,0.7677,0.2323
03/24/2022,0.4797,0.5203,0.7553,0.2447
03/25/2022,0.4812,0.5188,0.7778,0.2222
03/26/2022,0.4688,0.5313,0.7708,0.2292
03/27/2022,0.4691,0.5309,0.7188,0.2813
03/28/2022,0.4918,0.5082,0.732,0.268
03/29/2022,0.4772,0.5228,0.7364,0.2636
03/30/2022,0.4864,0.5136,0.7103,0.2897
03/31/2022,0.4638,0.5362,0.6893,0.3107
04/01/2022,0.4798,0.5202,0.7264,0.2736
04/02/2022,0.4805,0.5195,0.6796,0.3204
04/03/2022,0.4575,0.5425,0.6759,0.3241
04/04/2022,0.4622,0.5378,0.6952,0.3048
04/05/2022,0.4668,0.5332,0.6604,0.3396
04/06/2022,0.4567,0.5433,0.6422,0.3578
04/07/2022,0.4645,0.5355,0.6579,0.3421
04/08/2022,0.4336,0.5664,0.6569,0.3431
04/09/2022,0.4431,0.5569,0.6429,0.3571
04/10/2022,0.4572,0.5428,0.6372,0.3628
04/11/2022,0.4664,0.5336,0.6083,0.3917
